DropRateTable	QL0None	QL1Norm	QL2Unc	QL3Rare	QL4Epic	QL5Leg	QL6Art	QL0NoneL	QL1NormL	QL2UncL	QL3RareL	QL4EpicL	QL5LegL	QL6ArtL	QL0NoneF	QL1NormF	QL2UncF	QL3RareF	QL4EpicF	QL5LegF	QL6ArtF	A0	A1	A2	A3	A4	A5	A6
droptable	0	0	75	300	1200	0	0	-1	-1	1	15	25	45	-1	*	*	*	*	*	*	*	1	1	0	0	0	0	0
dailyreward	0	0	1	0	0	0	0	0	0	0	0	0	0	0	*	*	*	*	*	*	*	1	1	0	0	0	0	0
weeklyreward	0	0	100	1	20	0	0	0	0	0	0	0	0	0	*	*	*	*	*	*	*	1	1	0	0	0	0	0
standard	0	0	25	125	625	0	0	-1	-1	1	15	25	45	-1	*	*	*	*	*	*	*	1	1	0	0	0	0	0
instance	0	0	25	100	500	4000	0	-1	-1	1	15	25	45	-1	*	*	*	*	*	*	*	1	1	0	0	0	0	0
heroicinstance	0	0	45	100	500	4000	0	-1	-1	1	15	25	45	-1	*	*	*	*	*	*	*	1	1	0	0	0	0	0
generousinstance	0	0	45	200	1000	6000	0	-1	-1	1	15	25	45	-1	*	*	*	*	*	*	*	1	1	0	0	0	0	0
generousinstance2	0	0	20	40	100	1000	0	-1	-1	44	44	44	44	-1	*	*	*	*	*	*	*	1	1	0	0	0	0	0
bloodkeep_vajs	0	0	0	0	1	6	0	-1	-1	-1	-1	0	0	-1	*	*	*	*	*	*	*	-1	1	0	0	0	0	0
gamble	0	0	1	4	9	42	0	-1	-1	1	15	25	45	-1	*	*	*	*	*	*	*	1	1	0	0	0	0	0
bloodkeep_valkal	0	0	0	0	1	2	0	-1	-1	-1	-1	0	0	-1	*	*	*	*	*	*	*	3	1	0	1	50	100	500
bloodkeep	0	0	20	40	1	20	0	0	0	0	0	0	0	0	*	*	*	*	hel	hel	*	1	1	0	0	0	0	0
skrillqueen	0	0	0	1	50	4000	0	-1	-1	-1	-1	0	0	-1	*	*	*	*	*	*	*	-1	1	5	0	0	0	0
Grimfrost	0	0	0	1	5	400	0	-1	-1	-1	0	0	0	-1	*	*	*	*	*	*	*	0	1	1	25	100	0	0
