;Option1 is always internally zero so that players can use it even with zero copper.
;Option2 is (Level ^ 3) / 7.5
;Option3 is (Level ^ 3) / 2.5
;Level	Option2	Option3
1	0	0
2	1	3
3	4	11
4	9	26
5	17	50
6	29	86
7	46	137
8	68	205
9	97	292
10	133	400
11	177	532
12	230	691
13	293	879
14	366	1098
15	450	1350
16	546	1638
17	655	1965
18	778	2333
19	915	2744
20	1067	3200
21	1235	3704
22	1420	4259
23	1622	4867
24	1843	5530
25	2083	6250
26	2343	7030
27	2624	7873
28	2927	8781
29	3252	9756
30	3600	10800
31	3972	11916
32	4369	13107
33	4792	14375
34	5241	15722
35	5717	17150
36	6221	18662
37	6754	20261
38	7316	21949
39	7909	23728
40	8533	25600
41	9189	27568
42	9878	29635
43	10601	31803
44	11358	34074
45	12150	36450
46	12978	38934
47	13843	41529
48	14746	44237
49	15687	47060
50	16667	50000
51	17687	53060
52	18748	56243
53	19850	59551
54	20995	62986
55	22183	66550
56	23415	70246
57	24692	74077
58	26015	78045
59	27384	82152
60	28800	86400
61	30264	90792
62	31777	95331
63	33340	100019
64	34953	104858
65	36617	109850
66	38333	114998
67	40102	120305
68	41924	125773
69	43801	131404
70	45733	137200
