level,uncMin,uncMax,rareMin,rareMax,epicMin,epicMax,legMin,legMax,artMin,artMax
1,1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,2,3
3,1,2,1,2,1,2,2,3,2,3
4,1,2,1,2,2,3,2,3,3,5
5,1,2,2,3,2,3,2,3,3,5
6,2,3,2,3,2,3,3,5,4,6
7,2,3,2,3,2,3,3,5,4,6
8,2,3,2,3,3,5,3,5,5,7
9,2,3,2,3,3,5,4,6,5,7
10,2,3,3,5,3,5,4,6,6,9
11,2,3,3,5,3,5,4,6,6,9
12,3,5,3,5,4,6,5,7,7,10
13,3,5,3,5,4,6,5,7,7,10
14,3,5,3,5,4,6,5,7,8,11
15,3,5,4,6,4,6,6,9,8,11
16,3,5,4,6,5,7,6,9,9,13
17,3,5,4,6,5,7,6,9,9,13
18,4,6,4,6,5,7,7,10,10,14
19,4,6,4,6,5,7,7,10,10,14
20,4,6,5,7,6,9,7,10,11,15
21,4,6,5,7,6,9,8,11,11,15
22,4,6,5,7,6,9,8,11,12,17
23,4,6,5,7,6,9,8,11,12,17
24,5,7,5,7,7,10,9,13,13,18
25,5,7,6,9,7,10,9,13,13,18
26,5,7,6,9,7,10,9,13,14,19
27,5,7,6,9,7,10,10,14,14,19
28,5,7,6,9,8,11,10,14,15,21
29,5,7,6,9,8,11,10,14,15,21
30,6,9,7,10,8,11,11,15,16,22
31,6,9,7,10,8,11,11,15,16,22
32,6,9,7,10,9,13,11,15,17,23
33,6,9,7,10,9,13,12,17,17,23
34,6,9,7,10,9,13,12,17,18,25
35,6,9,8,11,9,13,12,17,18,25
36,7,10,8,11,10,14,13,18,19,26
37,7,10,8,11,10,14,13,18,19,26
38,7,10,8,11,10,14,13,18,20,27
39,7,10,8,11,10,14,14,19,20,27
40,7,10,9,13,11,15,14,19,21,29
41,7,10,9,13,11,15,14,19,21,29
42,8,11,9,13,11,15,15,21,22,30
43,8,11,9,13,11,15,15,21,22,30
44,8,11,9,13,12,17,15,21,23,31
45,8,11,10,14,12,17,16,22,23,31
46,8,11,10,14,12,17,16,22,24,33
47,8,11,10,14,12,17,16,22,24,33
48,9,13,10,14,13,18,17,23,25,34
49,9,13,10,14,13,18,17,23,25,34
50,9,13,11,15,13,18,17,23,26,35
51,9,13,11,15,13,18,18,25,26,35
52,9,13,11,15,14,19,18,25,27,37
53,9,13,11,15,14,19,18,25,27,37
54,10,14,11,15,14,19,19,26,28,38
55,10,14,12,17,14,19,19,26,28,38
56,10,14,12,17,15,21,19,26,29,39
57,10,14,12,17,15,21,20,27,29,39
58,10,14,12,17,15,21,20,27,30,41
59,10,14,12,17,15,21,20,27,30,41
60,11,15,13,18,16,22,21,29,31,42
61,11,15,13,18,16,22,21,29,31,42
62,11,15,13,18,16,22,21,29,32,43
63,11,15,13,18,16,22,22,30,32,43
64,11,15,13,18,17,23,22,30,33,45
65,11,15,14,19,17,23,22,30,33,45
66,12,17,14,19,17,23,23,31,34,46
67,12,17,14,19,17,23,23,31,34,46
68,12,17,14,19,18,25,23,31,35,47
69,12,17,14,19,18,25,24,33,35,47
70,12,17,15,21,18,25,24,33,36,49
