level,2min,2max,3min,3max,4min,4max,5min,5max,6min,6max
1,0,0,0,0,0,0,1,1,1,1
2,0,0,0,0,1,1,1,1,1,1
3,0,0,1,1,1,1,1,1,1,1
4,1,1,1,1,2,2,2,2,2,2
5,1,1,2,2,2,2,2,2,2,2
6,1,1,2,2,3,3,3,3,3,3
7,2,2,3,3,4,4,5,5,6,6
8,2,2,3,3,4,4,5,5,6,6
9,2,2,4,4,5,5,6,6,7,7
10,2,2,4,4,5,5,6,6,7,7
11,3,3,5,5,6,6,7,7,8,8
12,3,3,5,5,7,7,8,8,10,10
13,3,3,6,6,7,7,8,8,10,10
14,4,4,6,6,8,8,10,10,12,12
15,4,4,7,7,8,8,10,10,12,12
16,4,4,7,7,9,9,11,11,13,13
17,5,5,8,8,10,10,12,12,15,15
18,5,5,8,8,10,10,12,12,15,15
19,5,5,9,9,11,11,13,13,16,16
20,5,5,9,9,11,11,13,13,16,16
21,6,6,9,9,12,12,15,15,18,18
22,6,6,10,10,13,13,16,16,20,20
23,6,6,10,10,13,13,16,16,20,20
24,7,7,11,11,14,14,17,17,21,21
25,7,7,11,11,14,14,17,17,21,21
26,7,7,12,12,15,15,18,18,22,22
27,8,8,12,12,16,16,20,20,25,25
28,8,8,13,13,16,16,20,20,25,25
29,8,8,13,13,17,17,21,21,26,26
30,8,8,14,14,17,17,21,21,26,26
31,9,9,14,14,18,18,22,22,27,27
32,9,9,15,15,19,19,23,23,28,28
33,9,9,15,15,19,19,23,23,28,28
34,10,10,16,16,20,20,25,25,31,31
35,10,10,16,16,20,20,25,25,31,31
36,10,10,17,17,21,21,26,26,32,32
37,10,10,17,17,22,22,27,27,33,33
38,11,11,18,18,22,22,27,27,33,33
39,11,11,18,18,23,23,28,28,35,35
40,11,11,18,18,23,23,28,28,35,35
41,12,12,19,19,24,24,30,30,37,37
42,12,12,19,19,25,25,31,31,38,38
43,12,12,20,20,25,25,31,31,38,38
44,13,13,20,20,26,26,32,32,40,40
45,13,13,21,21,26,26,32,32,40,40
46,13,13,21,21,27,27,33,33,41,41
47,13,13,22,22,28,28,35,35,43,43
48,14,14,22,22,28,28,35,35,43,43
49,14,14,23,23,29,29,36,36,45,45
50,14,14,23,23,29,29,36,36,45,45
51,15,15,24,24,30,30,37,37,46,46
52,15,15,24,24,31,31,38,38,47,47
53,15,15,25,25,31,31,38,38,47,47
54,16,16,25,25,32,32,40,40,50,50
55,16,16,26,26,32,32,40,40,50,50
56,16,16,26,26,33,33,41,41,51,51
57,16,16,27,27,34,34,42,42,52,52
58,17,17,27,27,34,34,42,42,52,52
59,17,17,27,27,35,35,43,43,53,53
60,17,17,28,28,35,35,43,43,53,53
61,18,18,28,28,36,36,45,45,56,56
62,18,18,29,29,37,37,46,46,57,57
63,18,18,29,29,37,37,46,46,57,57
64,19,19,30,30,38,38,47,47,58,58
65,19,19,30,30,38,38,47,47,58,58
66,19,19,31,31,39,39,48,48,60,60
67,19,19,31,31,39,39,48,48,60,60
68,20,20,32,32,40,40,50,50,62,62
69,20,20,32,32,41,41,51,51,63,63
70,20,20,33,33,41,41,51,51,63,63
