level,2min,2max,3min,3max,4min,4max,5min,5max,6min,6max
1,72,72,73,73,95,95,118,118,147,147
2,144,144,146,146,190,190,237,237,296,296
3,217,217,219,219,285,285,356,356,445,445
4,289,289,293,293,380,380,475,475,593,593
5,362,362,366,366,475,475,593,593,741,741
6,434,434,439,439,570,570,712,712,890,890
7,507,507,512,512,665,665,831,831,1038,1038
8,579,579,586,586,761,761,951,951,1188,1188
9,652,652,659,659,856,856,1070,1070,1337,1337
10,724,724,732,732,951,951,1188,1188,1485,1485
11,797,797,805,805,1046,1046,1307,1307,1633,1633
12,869,869,879,879,1141,1141,1426,1426,1782,1782
13,942,942,952,952,1236,1236,1545,1545,1931,1931
14,1014,1014,1025,1025,1331,1331,1663,1663,2078,2078
15,1087,1087,1099,1099,1427,1427,1783,1783,2228,2228
16,1159,1159,1172,1172,1522,1522,1902,1902,2377,2377
17,1232,1232,1245,1245,1617,1617,2021,2021,2526,2526
18,1304,1304,1318,1318,1712,1712,2140,2140,2675,2675
19,1377,1377,1392,1392,1807,1807,2258,2258,2822,2822
20,1449,1449,1465,1465,1902,1902,2377,2377,2971,2971
21,1522,1522,1538,1538,1997,1997,2496,2496,3120,3120
22,1594,1594,1611,1611,2092,2092,2615,2615,3268,3268
23,1667,1667,1685,1685,2188,2188,2735,2735,3418,3418
24,1739,1739,1758,1758,2283,2283,2853,2853,3566,3566
25,1812,1812,1831,1831,2378,2378,2972,2972,3715,3715
26,1884,1884,1905,1905,2473,2473,3091,3091,3863,3863
27,1957,1957,1978,1978,2568,2568,3210,3210,4012,4012
28,2029,2029,2051,2051,2663,2663,3328,3328,4160,4160
29,2102,2102,2124,2124,2758,2758,3447,3447,4308,4308
30,2174,2174,2198,2198,2854,2854,3567,3567,4458,4458
31,2247,2247,2271,2271,2949,2949,3686,3686,4607,4607
32,2319,2319,2344,2344,3044,3044,3805,3805,4756,4756
33,2392,2392,2417,2417,3139,3139,3923,3923,4903,4903
34,2464,2464,2491,2491,3234,3234,4042,4042,5052,5052
35,2537,2537,2564,2564,3329,3329,4161,4161,5201,5201
36,2609,2609,2637,2637,3424,3424,4280,4280,5350,5350
37,2682,2682,2711,2711,3519,3519,4398,4398,5497,5497
38,2754,2754,2784,2784,3615,3615,4518,4518,5647,5647
39,2827,2827,2857,2857,3710,3710,4637,4637,5796,5796
40,2899,2899,2930,2930,3805,3805,4756,4756,5945,5945
41,2972,2972,3004,3004,3900,3900,4875,4875,6093,6093
42,3044,3044,3077,3077,3995,3995,4993,4993,6241,6241
43,3117,3117,3150,3150,4090,4090,5112,5112,6390,6390
44,3189,3189,3223,3223,4185,4185,5231,5231,6538,6538
45,3262,3262,3297,3297,4281,4281,5351,5351,6688,6688
46,3334,3334,3370,3370,4376,4376,5470,5470,6837,6837
47,3407,3407,3443,3443,4471,4471,5588,5588,6985,6985
48,3479,3479,3517,3517,4566,4566,5707,5707,7133,7133
49,3552,3552,3590,3590,4661,4661,5826,5826,7282,7282
50,3624,3624,3663,3663,4756,4756,5945,5945,7431,7431
51,3697,3697,3736,3736,4851,4851,6063,6063,7578,7578
52,3769,3769,3810,3810,4947,4947,6183,6183,7728,7728
53,3841,3841,3883,3883,5042,5042,6302,6302,7877,7877
54,3914,3914,3956,3956,5137,5137,6421,6421,8026,8026
55,3986,3986,4029,4029,5232,5232,6540,6540,8175,8175
56,4059,4059,4103,4103,5327,5327,6658,6658,8322,8322
57,4131,4131,4176,4176,5422,5422,6777,6777,8471,8471
58,4204,4204,4249,4249,5517,5517,6896,6896,8620,8620
59,4276,4276,4323,4323,5612,5612,7015,7015,8768,8768
60,4349,4349,4396,4396,5708,5708,7135,7135,8918,8918
61,4421,4421,4469,4469,5803,5803,7253,7253,9066,9066
62,4494,4494,4542,4542,5898,5898,7372,7372,9215,9215
63,4566,4566,4616,4616,5993,5993,7491,7491,9363,9363
64,4639,4639,4689,4689,6088,6088,7610,7610,9512,9512
65,4711,4711,4762,4762,6183,6183,7728,7728,9660,9660
66,4784,4784,4835,4835,6278,6278,7847,7847,9808,9808
67,4856,4856,4909,4909,6374,6374,7967,7967,9958,9958
68,4929,4929,4982,4982,6469,6469,8086,8086,10107,10107
69,5001,5001,5055,5055,6564,6564,8205,8205,10256,10256
70,5074,5074,5128,5128,6659,6659,8323,8323,10403,10403
