level,2min,2max,3min,3max,4min,4max,5min,5max,6min,6max
1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,2
3,3,3,3,3,4,4,5,5,6,6
4,4,4,5,5,5,5,6,6,7,7
5,5,5,6,6,7,7,8,8,10,10
6,6,6,7,7,8,8,10,10,12,12
7,7,7,8,8,10,10,12,12,15,15
8,8,8,10,10,11,11,13,13,16,16
9,9,9,11,11,13,13,16,16,20,20
10,10,10,12,12,14,14,17,17,21,21
11,11,11,13,13,16,16,20,20,25,25
12,12,12,15,15,17,17,21,21,26,26
13,13,13,16,16,19,19,23,23,28,28
14,14,14,17,17,20,20,25,25,31,31
15,15,15,18,18,22,22,27,27,33,33
16,16,16,20,20,23,23,28,28,35,35
17,17,17,21,21,25,25,31,31,38,38
18,18,18,22,22,26,26,32,32,40,40
19,20,20,23,23,27,27,33,33,41,41
20,21,21,25,25,29,29,36,36,45,45
21,22,22,26,26,30,30,37,37,46,46
22,23,23,27,27,32,32,40,40,50,50
23,24,24,28,28,33,33,41,41,51,51
24,25,25,30,30,35,35,43,43,53,53
25,26,26,31,31,36,36,45,45,56,56
26,27,27,32,32,38,38,47,47,58,58
27,28,28,34,34,39,39,48,48,60,60
28,29,29,35,35,41,41,51,51,63,63
29,30,30,36,36,42,42,52,52,65,65
30,31,31,37,37,44,44,55,55,68,68
31,32,32,39,39,45,45,56,56,70,70
32,33,33,40,40,47,47,58,58,72,72
33,34,34,41,41,48,48,60,60,75,75
34,35,35,42,42,50,50,62,62,77,77
35,36,36,44,44,51,51,63,63,78,78
36,37,37,45,45,52,52,65,65,81,81
37,38,38,46,46,54,54,67,67,83,83
38,40,40,47,47,55,55,68,68,85,85
39,41,41,49,49,57,57,71,71,88,88
40,42,42,50,50,58,58,72,72,90,90
41,43,43,51,51,60,60,75,75,93,93
42,44,44,52,52,61,61,76,76,95,95
43,45,45,54,54,63,63,78,78,97,97
44,46,46,55,55,64,64,80,80,100,100
45,47,47,56,56,66,66,82,82,102,102
46,48,48,57,57,67,67,83,83,103,103
47,49,49,59,59,69,69,86,86,107,107
48,50,50,60,60,70,70,87,87,108,108
49,51,51,61,61,72,72,90,90,112,112
50,52,52,63,63,73,73,91,91,113,113
51,53,53,64,64,75,75,93,93,116,116
52,54,54,65,65,76,76,95,95,118,118
53,55,55,66,66,77,77,96,96,120,120
54,56,56,68,68,79,79,98,98,122,122
55,57,57,69,69,80,80,100,100,125,125
56,59,59,70,70,82,82,102,102,127,127
57,60,60,71,71,83,83,103,103,128,128
58,61,61,73,73,85,85,106,106,132,132
59,62,62,74,74,86,86,107,107,133,133
60,63,63,75,75,88,88,110,110,137,137
61,64,64,76,76,89,89,111,111,138,138
62,65,65,78,78,91,91,113,113,141,141
63,66,66,79,79,92,92,115,115,143,143
64,67,67,80,80,94,94,117,117,146,146
65,68,68,81,81,95,95,118,118,147,147
66,69,69,83,83,97,97,121,121,151,151
67,70,70,84,84,98,98,122,122,152,152
68,71,71,85,85,100,100,125,125,156,156
69,72,72,86,86,101,101,126,126,157,157
70,73,73,88,88,102,102,127,127,158,158
