level,2min,2max,3min,3max,4min,4max,5min,5max,6min,6max
1,47,47,52,52,69,69,86,86,107,107
2,95,95,105,105,139,139,173,173,216,216
3,143,143,158,158,208,208,260,260,325,325
4,191,191,211,211,278,278,347,347,433,433
5,239,239,263,263,347,347,433,433,541,541
6,287,287,316,316,417,417,521,521,651,651
7,335,335,369,369,486,486,607,607,758,758
8,383,383,422,422,556,556,695,695,868,868
9,431,431,474,474,625,625,781,781,976,976
10,479,479,527,527,695,695,868,868,1085,1085
11,527,527,580,580,764,764,955,955,1193,1193
12,575,575,633,633,834,834,1042,1042,1302,1302
13,623,623,685,685,903,903,1128,1128,1410,1410
14,671,671,738,738,973,973,1216,1216,1520,1520
15,719,719,791,791,1042,1042,1302,1302,1627,1627
16,767,767,844,844,1112,1112,1390,1390,1737,1737
17,815,815,897,897,1181,1181,1476,1476,1845,1845
18,863,863,949,949,1251,1251,1563,1563,1953,1953
19,911,911,1002,1002,1320,1320,1650,1650,2062,2062
20,959,959,1055,1055,1390,1390,1737,1737,2171,2171
21,1007,1007,1108,1108,1459,1459,1823,1823,2278,2278
22,1055,1055,1160,1160,1529,1529,1911,1911,2388,2388
23,1103,1103,1213,1213,1598,1598,1997,1997,2496,2496
24,1151,1151,1266,1266,1668,1668,2085,2085,2606,2606
25,1199,1199,1319,1319,1737,1737,2171,2171,2713,2713
26,1247,1247,1371,1371,1807,1807,2258,2258,2822,2822
27,1295,1295,1424,1424,1876,1876,2345,2345,2931,2931
28,1343,1343,1477,1477,1946,1946,2432,2432,3040,3040
29,1391,1391,1530,1530,2015,2015,2518,2518,3147,3147
30,1439,1439,1583,1583,2085,2085,2606,2606,3257,3257
31,1487,1487,1635,1635,2154,2154,2692,2692,3365,3365
32,1535,1535,1688,1688,2224,2224,2780,2780,3475,3475
33,1583,1583,1741,1741,2293,2293,2866,2866,3582,3582
34,1631,1631,1794,1794,2363,2363,2953,2953,3691,3691
35,1679,1679,1846,1846,2432,2432,3040,3040,3800,3800
36,1727,1727,1899,1899,2502,2502,3127,3127,3908,3908
37,1775,1775,1952,1952,2571,2571,3213,3213,4016,4016
38,1823,1823,2005,2005,2641,2641,3301,3301,4126,4126
39,1871,1871,2057,2057,2710,2710,3387,3387,4233,4233
40,1919,1919,2110,2110,2780,2780,3475,3475,4343,4343
41,1967,1967,2163,2163,2849,2849,3561,3561,4451,4451
42,2015,2015,2216,2216,2919,2919,3648,3648,4560,4560
43,2063,2063,2269,2269,2988,2988,3735,3735,4668,4668
44,2111,2111,2321,2321,3058,3058,3822,3822,4777,4777
45,2159,2159,2374,2374,3127,3127,3908,3908,4885,4885
46,2207,2207,2427,2427,3197,3197,3996,3996,4995,4995
47,2255,2255,2480,2480,3266,3266,4082,4082,5102,5102
48,2303,2303,2532,2532,3336,3336,4170,4170,5212,5212
49,2351,2351,2585,2585,3405,3405,4256,4256,5320,5320
50,2399,2399,2638,2638,3475,3475,4343,4343,5428,5428
51,2447,2447,2691,2691,3544,3544,4430,4430,5537,5537
52,2495,2495,2743,2743,3614,3614,4517,4517,5646,5646
53,2543,2543,2796,2796,3683,3683,4603,4603,5753,5753
54,2591,2591,2849,2849,3753,3753,4691,4691,5863,5863
55,2639,2639,2902,2902,3822,3822,4777,4777,5971,5971
56,2687,2687,2955,2955,3892,3892,4865,4865,6081,6081
57,2735,2735,3007,3007,3961,3961,4951,4951,6188,6188
58,2783,2783,3060,3060,4031,4031,5038,5038,6297,6297
59,2831,2831,3113,3113,4100,4100,5125,5125,6406,6406
60,2879,2879,3166,3166,4170,4170,5212,5212,6515,6515
61,2927,2927,3218,3218,4239,4239,5298,5298,6622,6622
62,2975,2975,3271,3271,4309,4309,5386,5386,6732,6732
63,3022,3022,3324,3324,4378,4378,5472,5472,6840,6840
64,3070,3070,3377,3377,4448,4448,5560,5560,6950,6950
65,3118,3118,3429,3429,4517,4517,5646,5646,7057,7057
66,3166,3166,3482,3482,4587,4587,5733,5733,7166,7166
67,3214,3214,3535,3535,4656,4656,5820,5820,7275,7275
68,3262,3262,3588,3588,4726,4726,5907,5907,7383,7383
69,3310,3310,3641,3641,4795,4795,5993,5993,7491,7491
70,3358,3358,3693,3693,4865,4865,6081,6081,7601,7601
