level,2min,2max,3min,3max,4min,4max,5min,5max,6min,6max
1,2,2,3,3,3,3,3,3,3,3
2,5,5,6,6,7,7,8,8,10,10
3,8,8,9,9,11,11,13,13,16,16
4,10,10,12,12,15,15,18,18,22,22
5,13,13,16,16,18,18,22,22,27,27
6,16,16,19,19,22,22,27,27,33,33
7,18,18,22,22,26,26,32,32,40,40
8,21,21,25,25,30,30,37,37,46,46
9,24,24,29,29,34,34,42,42,52,52
10,27,27,32,32,37,37,46,46,57,57
11,29,29,35,35,41,41,51,51,63,63
12,32,32,38,38,45,45,56,56,70,70
13,35,35,42,42,49,49,61,61,76,76
14,37,37,45,45,52,52,65,65,81,81
15,40,40,48,48,56,56,70,70,87,87
16,43,43,51,51,60,60,75,75,93,93
17,45,45,55,55,64,64,80,80,100,100
18,48,48,58,58,68,68,85,85,106,106
19,51,51,61,61,71,71,88,88,110,110
20,54,54,64,64,75,75,93,93,116,116
21,56,56,68,68,79,79,98,98,122,122
22,59,59,71,71,83,83,103,103,128,128
23,62,62,74,74,86,86,107,107,133,133
24,64,64,77,77,90,90,112,112,140,140
25,67,67,81,81,94,94,117,117,146,146
26,70,70,84,84,98,98,122,122,152,152
27,72,72,87,87,102,102,127,127,158,158
28,75,75,90,90,105,105,131,131,163,163
29,78,78,93,93,109,109,136,136,170,170
30,81,81,97,97,113,113,141,141,176,176
31,83,83,100,100,117,117,146,146,182,182
32,86,86,103,103,121,121,151,151,188,188
33,89,89,106,106,124,124,155,155,193,193
34,91,91,110,110,128,128,160,160,200,200
35,94,94,113,113,132,132,165,165,206,206
36,97,97,116,116,136,136,170,170,212,212
37,100,100,119,119,139,139,173,173,216,216
38,102,102,123,123,143,143,178,178,222,222
39,105,105,126,126,147,147,183,183,228,228
40,108,108,129,129,151,151,188,188,235,235
41,110,110,132,132,155,155,193,193,241,241
42,113,113,136,136,158,158,197,197,246,246
43,116,116,139,139,162,162,202,202,252,252
44,118,118,142,142,166,166,207,207,258,258
45,121,121,145,145,170,170,212,212,265,265
46,124,124,149,149,173,173,216,216,270,270
47,127,127,152,152,177,177,221,221,276,276
48,129,129,155,155,181,181,226,226,282,282
49,132,132,158,158,185,185,231,231,288,288
50,135,135,162,162,189,189,236,236,295,295
51,137,137,165,165,192,192,240,240,300,300
52,140,140,168,168,196,196,245,245,306,306
53,143,143,171,171,200,200,250,250,312,312
54,145,145,175,175,204,204,255,255,318,318
55,148,148,178,178,208,208,260,260,325,325
56,151,151,181,181,211,211,263,263,328,328
57,154,154,184,184,215,215,268,268,335,335
58,156,156,187,187,219,219,273,273,341,341
59,159,159,191,191,223,223,278,278,347,347
60,162,162,194,194,226,226,282,282,352,352
61,164,164,197,197,230,230,287,287,358,358
62,167,167,200,200,234,234,292,292,365,365
63,170,170,204,204,238,238,297,297,371,371
64,173,173,207,207,242,242,302,302,377,377
65,175,175,210,210,245,245,306,306,382,382
66,178,178,213,213,249,249,311,311,388,388
67,181,181,217,217,253,253,316,316,395,395
68,183,183,220,220,257,257,321,321,401,401
69,186,186,223,223,260,260,325,325,406,406
70,189,189,226,226,264,264,330,330,412,412
