level,2min,2max,3min,3max,4min,4max,5min,5max,6min,6max
1,1,1,1,1,2,2,2,2,2,2
2,3,3,3,3,4,4,5,5,6,6
3,4,4,5,5,6,6,7,7,8,8
4,6,6,7,7,8,8,10,10,12,12
5,7,7,9,9,10,10,12,12,15,15
6,9,9,10,10,12,12,15,15,18,18
7,10,10,12,12,14,14,17,17,21,21
8,12,12,14,14,16,16,20,20,25,25
9,13,13,16,16,18,18,22,22,27,27
10,15,15,18,18,21,21,26,26,32,32
11,16,16,19,19,23,23,28,28,35,35
12,18,18,21,21,25,25,31,31,38,38
13,19,19,23,23,27,27,33,33,41,41
14,21,21,25,25,29,29,36,36,45,45
15,22,22,27,27,31,31,38,38,47,47
16,24,24,28,28,33,33,41,41,51,51
17,25,25,30,30,35,35,43,43,53,53
18,27,27,32,32,37,37,46,46,57,57
19,28,28,34,34,39,39,48,48,60,60
20,30,30,36,36,42,42,52,52,65,65
21,31,31,37,37,44,44,55,55,68,68
22,33,33,39,39,46,46,57,57,71,71
23,34,34,41,41,48,48,60,60,75,75
24,36,36,43,43,50,50,62,62,77,77
25,37,37,45,45,52,52,65,65,81,81
26,39,39,46,46,54,54,67,67,83,83
27,40,40,48,48,56,56,70,70,87,87
28,42,42,50,50,58,58,72,72,90,90
29,44,44,52,52,61,61,76,76,95,95
30,45,45,54,54,63,63,78,78,97,97
31,47,47,55,55,65,65,81,81,101,101
32,48,48,57,57,67,67,83,83,103,103
33,50,50,59,59,69,69,86,86,107,107
34,51,51,61,61,71,71,88,88,110,110
35,53,53,63,63,73,73,91,91,113,113
36,54,54,64,64,75,75,93,93,116,116
37,56,56,66,66,77,77,96,96,120,120
38,57,57,68,68,79,79,98,98,122,122
39,59,59,70,70,82,82,102,102,127,127
40,60,60,72,72,84,84,105,105,131,131
41,62,62,73,73,86,86,107,107,133,133
42,63,63,75,75,88,88,110,110,137,137
43,65,65,77,77,90,90,112,112,140,140
44,66,66,79,79,92,92,115,115,143,143
45,68,68,81,81,94,94,117,117,146,146
46,69,69,82,82,96,96,120,120,150,150
47,71,71,84,84,98,98,122,122,152,152
48,72,72,86,86,101,101,126,126,157,157
49,74,74,88,88,103,103,128,128,160,160
50,75,75,90,90,105,105,131,131,163,163
51,77,77,91,91,107,107,133,133,166,166
52,78,78,93,93,109,109,136,136,170,170
53,80,80,95,95,111,111,138,138,172,172
54,81,81,97,97,113,113,141,141,176,176
55,83,83,99,99,115,115,143,143,178,178
56,85,85,100,100,117,117,146,146,182,182
57,86,86,102,102,119,119,148,148,185,185
58,88,88,104,104,122,122,152,152,190,190
59,89,89,106,106,124,124,155,155,193,193
60,91,91,108,108,126,126,157,157,196,196
61,92,92,109,109,128,128,160,160,200,200
62,94,94,111,111,130,130,162,162,202,202
63,95,95,113,113,132,132,165,165,206,206
64,97,97,115,115,134,134,167,167,208,208
65,98,98,117,117,136,136,170,170,212,212
66,100,100,118,118,138,138,172,172,215,215
67,101,101,120,120,140,140,175,175,218,218
68,103,103,122,122,143,143,178,178,222,222
69,104,104,124,124,145,145,181,181,226,226
70,106,106,126,126,147,147,183,183,228,228
