level,2min,2max,3min,3max,4min,4max,5min,5max,6min,6max
1,0,0,0,0,0,0,1,1,1,1
2,0,0,0,0,0,0,1,1,1,1
3,0,0,1,1,1,1,1,1,1,1
4,0,0,1,1,1,1,1,1,1,1
5,1,1,1,1,2,2,2,2,2,2
6,1,1,2,2,2,2,2,2,2,2
7,1,1,2,2,3,3,3,3,3,3
8,1,1,3,3,3,3,3,3,3,3
9,2,2,3,3,4,4,5,5,6,6
10,2,2,3,3,4,4,5,5,6,6
11,2,2,4,4,5,5,6,6,7,7
12,2,2,4,4,5,5,6,6,7,7
13,3,3,4,4,6,6,7,7,8,8
14,3,3,5,5,6,6,7,7,8,8
15,3,3,5,5,7,7,8,8,10,10
16,3,3,6,6,7,7,8,8,10,10
17,3,3,6,6,8,8,10,10,12,12
18,4,4,6,6,8,8,10,10,12,12
19,4,4,7,7,9,9,11,11,13,13
20,4,4,7,7,9,9,11,11,13,13
21,4,4,7,7,10,10,12,12,15,15
22,5,5,8,8,10,10,12,12,15,15
23,5,5,8,8,11,11,13,13,16,16
24,5,5,9,9,11,11,13,13,16,16
25,5,5,9,9,12,12,15,15,18,18
26,6,6,9,9,12,12,15,15,18,18
27,6,6,10,10,13,13,16,16,20,20
28,6,6,10,10,13,13,16,16,20,20
29,6,6,10,10,14,14,17,17,21,21
30,6,6,11,11,14,14,17,17,21,21
31,7,7,11,11,15,15,18,18,22,22
32,7,7,12,12,15,15,18,18,22,22
33,7,7,12,12,16,16,20,20,25,25
34,7,7,12,12,16,16,20,20,25,25
35,8,8,13,13,17,17,21,21,26,26
36,8,8,13,13,17,17,21,21,26,26
37,8,8,13,13,18,18,22,22,27,27
38,8,8,14,14,18,18,22,22,27,27
39,9,9,14,14,19,19,23,23,28,28
40,9,9,15,15,19,19,23,23,28,28
41,9,9,15,15,20,20,25,25,31,31
42,9,9,15,15,20,20,25,25,31,31
43,9,9,16,16,21,21,26,26,32,32
44,10,10,16,16,21,21,26,26,32,32
45,10,10,17,17,22,22,27,27,33,33
46,10,10,17,17,22,22,27,27,33,33
47,10,10,17,17,23,23,28,28,35,35
48,11,11,18,18,23,23,28,28,35,35
49,11,11,18,18,23,23,28,28,35,35
50,11,11,18,18,24,24,30,30,37,37
51,11,11,19,19,24,24,30,30,37,37
52,12,12,19,19,25,25,31,31,38,38
53,12,12,20,20,25,25,31,31,38,38
54,12,12,20,20,26,26,32,32,40,40
55,12,12,20,20,26,26,32,32,40,40
56,12,12,21,21,27,27,33,33,41,41
57,13,13,21,21,27,27,33,33,41,41
58,13,13,21,21,28,28,35,35,43,43
59,13,13,22,22,28,28,35,35,43,43
60,13,13,22,22,29,29,36,36,45,45
61,14,14,23,23,29,29,36,36,45,45
62,14,14,23,23,30,30,37,37,46,46
63,14,14,23,23,30,30,37,37,46,46
64,14,14,24,24,31,31,38,38,47,47
65,15,15,24,24,31,31,38,38,47,47
66,15,15,24,24,32,32,40,40,50,50
67,15,15,25,25,32,32,40,40,50,50
68,15,15,25,25,33,33,41,41,51,51
69,16,16,26,26,33,33,41,41,51,51
70,16,16,26,26,34,34,42,42,52,52
