level,2min,2max,3min,3max,4min,4max,5min,5max,6min,6max
1,52,52,61,61,79,79,98,98,122,122
2,105,105,123,123,158,158,197,197,246,246
3,158,158,184,184,238,238,297,297,371,371
4,211,211,246,246,317,317,396,396,495,495
5,264,264,307,307,397,397,496,496,620,620
6,316,316,369,369,476,476,595,595,743,743
7,369,369,430,430,556,556,695,695,868,868
8,422,422,492,492,635,635,793,793,991,991
9,475,475,553,553,714,714,892,892,1115,1115
10,528,528,615,615,794,794,992,992,1240,1240
11,580,580,676,676,873,873,1091,1091,1363,1363
12,633,633,738,738,953,953,1191,1191,1488,1488
13,686,686,799,799,1032,1032,1290,1290,1612,1612
14,739,739,861,861,1112,1112,1390,1390,1737,1737
15,792,792,922,922,1191,1191,1488,1488,1860,1860
16,844,844,984,984,1271,1271,1588,1588,1985,1985
17,897,897,1045,1045,1350,1350,1687,1687,2108,2108
18,950,950,1107,1107,1429,1429,1786,1786,2232,2232
19,1003,1003,1168,1168,1509,1509,1886,1886,2357,2357
20,1056,1056,1230,1230,1588,1588,1985,1985,2481,2481
21,1108,1108,1291,1291,1668,1668,2085,2085,2606,2606
22,1161,1161,1353,1353,1747,1747,2183,2183,2728,2728
23,1214,1214,1414,1414,1827,1827,2283,2283,2853,2853
24,1267,1267,1476,1476,1906,1906,2382,2382,2977,2977
25,1320,1320,1537,1537,1985,1985,2481,2481,3101,3101
26,1372,1372,1599,1599,2065,2065,2581,2581,3226,3226
27,1425,1425,1660,1660,2144,2144,2680,2680,3350,3350
28,1478,1478,1722,1722,2224,2224,2780,2780,3475,3475
29,1531,1531,1783,1783,2303,2303,2878,2878,3597,3597
30,1584,1584,1845,1845,2383,2383,2978,2978,3722,3722
31,1636,1636,1906,1906,2462,2462,3077,3077,3846,3846
32,1689,1689,1968,1968,2542,2542,3177,3177,3971,3971
33,1742,1742,2029,2029,2621,2621,3276,3276,4095,4095
34,1795,1795,2091,2091,2700,2700,3375,3375,4218,4218
35,1848,1848,2152,2152,2780,2780,3475,3475,4343,4343
36,1900,1900,2214,2214,2859,2859,3573,3573,4466,4466
37,1953,1953,2275,2275,2939,2939,3673,3673,4591,4591
38,2006,2006,2337,2337,3018,3018,3772,3772,4715,4715
39,2059,2059,2398,2398,3098,3098,3872,3872,4840,4840
40,2112,2112,2460,2460,3177,3177,3971,3971,4963,4963
41,2164,2164,2521,2521,3257,3257,4071,4071,5088,5088
42,2217,2217,2583,2583,3336,3336,4170,4170,5212,5212
43,2270,2270,2644,2644,3415,3415,4268,4268,5335,5335
44,2323,2323,2706,2706,3495,3495,4368,4368,5460,5460
45,2376,2376,2767,2767,3574,3574,4467,4467,5583,5583
46,2428,2428,2829,2829,3654,3654,4567,4567,5708,5708
47,2481,2481,2890,2890,3733,3733,4666,4666,5832,5832
48,2534,2534,2952,2952,3813,3813,4766,4766,5957,5957
49,2587,2587,3013,3013,3892,3892,4865,4865,6081,6081
50,2640,2640,3075,3075,3971,3971,4963,4963,6203,6203
51,2692,2692,3136,3136,4051,4051,5063,5063,6328,6328
52,2745,2745,3198,3198,4130,4130,5162,5162,6452,6452
53,2798,2798,3259,3259,4210,4210,5262,5262,6577,6577
54,2851,2851,3321,3321,4289,4289,5361,5361,6701,6701
55,2904,2904,3382,3382,4369,4369,5461,5461,6826,6826
56,2956,2956,3444,3444,4448,4448,5560,5560,6950,6950
57,3009,3009,3505,3505,4528,4528,5660,5660,7075,7075
58,3062,3062,3567,3567,4607,4607,5758,5758,7197,7197
59,3115,3115,3628,3628,4686,4686,5857,5857,7321,7321
60,3168,3168,3690,3690,4766,4766,5957,5957,7446,7446
61,3220,3220,3751,3751,4845,4845,6056,6056,7570,7570
62,3273,3273,3813,3813,4925,4925,6156,6156,7695,7695
63,3326,3326,3874,3874,5004,5004,6255,6255,7818,7818
64,3379,3379,3936,3936,5084,5084,6355,6355,7943,7943
65,3432,3432,3997,3997,5163,5163,6453,6453,8066,8066
66,3484,3484,4059,4059,5243,5243,6553,6553,8191,8191
67,3537,3537,4120,4120,5322,5322,6652,6652,8315,8315
68,3590,3590,4182,4182,5401,5401,6751,6751,8438,8438
69,3643,3643,4243,4243,5481,5481,6851,6851,8563,8563
70,3696,3696,4305,4305,5560,5560,6950,6950,8687,8687
