level,2min,2max,3min,3max,4min,4max,5min,5max,6min,6max
1,50,50,61,61,79,79,98,98,122,122
2,101,101,122,122,158,158,197,197,246,246
3,151,151,184,184,238,238,297,297,371,371
4,202,202,245,245,317,317,396,396,495,495
5,253,253,306,306,397,397,496,496,620,620
6,303,303,368,368,476,476,595,595,743,743
7,354,354,429,429,556,556,695,695,868,868
8,405,405,491,491,635,635,793,793,991,991
9,455,455,552,552,714,714,892,892,1115,1115
10,506,506,613,613,794,794,992,992,1240,1240
11,556,556,675,675,873,873,1091,1091,1363,1363
12,607,607,736,736,953,953,1191,1191,1488,1488
13,658,658,798,798,1032,1032,1290,1290,1612,1612
14,708,708,859,859,1112,1112,1390,1390,1737,1737
15,759,759,920,920,1191,1191,1488,1488,1860,1860
16,810,810,982,982,1271,1271,1588,1588,1985,1985
17,860,860,1043,1043,1350,1350,1687,1687,2108,2108
18,911,911,1105,1105,1429,1429,1786,1786,2232,2232
19,961,961,1166,1166,1509,1509,1886,1886,2357,2357
20,1012,1012,1227,1227,1588,1588,1985,1985,2481,2481
21,1063,1063,1289,1289,1668,1668,2085,2085,2606,2606
22,1113,1113,1350,1350,1747,1747,2183,2183,2728,2728
23,1164,1164,1411,1411,1827,1827,2283,2283,2853,2853
24,1215,1215,1473,1473,1906,1906,2382,2382,2977,2977
25,1265,1265,1534,1534,1985,1985,2481,2481,3101,3101
26,1316,1316,1596,1596,2065,2065,2581,2581,3226,3226
27,1366,1366,1657,1657,2144,2144,2680,2680,3350,3350
28,1417,1417,1718,1718,2224,2224,2780,2780,3475,3475
29,1468,1468,1780,1780,2303,2303,2878,2878,3597,3597
30,1518,1518,1841,1841,2383,2383,2978,2978,3722,3722
31,1569,1569,1903,1903,2462,2462,3077,3077,3846,3846
32,1620,1620,1964,1964,2542,2542,3177,3177,3971,3971
33,1670,1670,2025,2025,2621,2621,3276,3276,4095,4095
34,1721,1721,2087,2087,2700,2700,3375,3375,4218,4218
35,1771,1771,2148,2148,2780,2780,3475,3475,4343,4343
36,1822,1822,2210,2210,2859,2859,3573,3573,4466,4466
37,1873,1873,2271,2271,2939,2939,3673,3673,4591,4591
38,1923,1923,2332,2332,3018,3018,3772,3772,4715,4715
39,1974,1974,2394,2394,3098,3098,3872,3872,4840,4840
40,2025,2025,2455,2455,3177,3177,3971,3971,4963,4963
41,2075,2075,2517,2517,3257,3257,4071,4071,5088,5088
42,2126,2126,2578,2578,3336,3336,4170,4170,5212,5212
43,2177,2177,2639,2639,3415,3415,4268,4268,5335,5335
44,2227,2227,2701,2701,3495,3495,4368,4368,5460,5460
45,2278,2278,2762,2762,3574,3574,4467,4467,5583,5583
46,2328,2328,2823,2823,3654,3654,4567,4567,5708,5708
47,2379,2379,2885,2885,3733,3733,4666,4666,5832,5832
48,2430,2430,2946,2946,3813,3813,4766,4766,5957,5957
49,2480,2480,3008,3008,3892,3892,4865,4865,6081,6081
50,2531,2531,3069,3069,3971,3971,4963,4963,6203,6203
51,2582,2582,3130,3130,4051,4051,5063,5063,6328,6328
52,2632,2632,3192,3192,4130,4130,5162,5162,6452,6452
53,2683,2683,3253,3253,4210,4210,5262,5262,6577,6577
54,2733,2733,3315,3315,4289,4289,5361,5361,6701,6701
55,2784,2784,3376,3376,4369,4369,5461,5461,6826,6826
56,2835,2835,3437,3437,4448,4448,5560,5560,6950,6950
57,2885,2885,3499,3499,4528,4528,5660,5660,7075,7075
58,2936,2936,3560,3560,4607,4607,5758,5758,7197,7197
59,2987,2987,3622,3622,4686,4686,5857,5857,7321,7321
60,3037,3037,3683,3683,4766,4766,5957,5957,7446,7446
61,3088,3088,3744,3744,4845,4845,6056,6056,7570,7570
62,3138,3138,3806,3806,4925,4925,6156,6156,7695,7695
63,3189,3189,3867,3867,5004,5004,6255,6255,7818,7818
64,3240,3240,3928,3928,5084,5084,6355,6355,7943,7943
65,3290,3290,3990,3990,5163,5163,6453,6453,8066,8066
66,3341,3341,4051,4051,5243,5243,6553,6553,8191,8191
67,3392,3392,4113,4113,5322,5322,6652,6652,8315,8315
68,3442,3442,4174,4174,5401,5401,6751,6751,8438,8438
69,3493,3493,4235,4235,5481,5481,6851,6851,8563,8563
70,3543,3543,4297,4297,5560,5560,6950,6950,8687,8687
