level,2min,2max,3min,3max,4min,4max,5min,5max,6min,6max
1,1,1,2,2,2,2,2,2,2,2
2,3,3,4,4,5,5,6,6,7,7
3,5,5,7,7,8,8,10,10,12,12
4,7,7,9,9,10,10,12,12,15,15
5,9,9,11,11,13,13,16,16,20,20
6,11,11,14,14,16,16,20,20,25,25
7,13,13,16,16,19,19,23,23,28,28
8,15,15,18,18,21,21,26,26,32,32
9,17,17,21,21,24,24,30,30,37,37
10,19,19,23,23,27,27,33,33,41,41
11,21,21,25,25,30,30,37,37,46,46
12,23,23,28,28,32,32,40,40,50,50
13,25,25,30,30,35,35,43,43,53,53
14,27,27,32,32,38,38,47,47,58,58
15,29,29,35,35,40,40,50,50,62,62
16,31,31,37,37,43,43,53,53,66,66
17,33,33,39,39,46,46,57,57,71,71
18,35,35,42,42,49,49,61,61,76,76
19,37,37,44,44,51,51,63,63,78,78
20,39,39,46,46,54,54,67,67,83,83
21,40,40,49,49,57,57,71,71,88,88
22,42,42,51,51,60,60,75,75,93,93
23,44,44,53,53,62,62,77,77,96,96
24,46,46,56,56,65,65,81,81,101,101
25,48,48,58,58,68,68,85,85,106,106
26,50,50,60,60,70,70,87,87,108,108
27,52,52,63,63,73,73,91,91,113,113
28,54,54,65,65,76,76,95,95,118,118
29,56,56,67,67,79,79,98,98,122,122
30,58,58,70,70,81,81,101,101,126,126
31,60,60,72,72,84,84,105,105,131,131
32,62,62,74,74,87,87,108,108,135,135
33,64,64,77,77,90,90,112,112,140,140
34,66,66,79,79,92,92,115,115,143,143
35,68,68,82,82,95,95,118,118,147,147
36,70,70,84,84,98,98,122,122,152,152
37,72,72,86,86,101,101,126,126,157,157
38,74,74,89,89,103,103,128,128,160,160
39,76,76,91,91,106,106,132,132,165,165
40,78,78,93,93,109,109,136,136,170,170
41,79,79,96,96,111,111,138,138,172,172
42,81,81,98,98,114,114,142,142,177,177
43,83,83,100,100,117,117,146,146,182,182
44,85,85,103,103,120,120,150,150,187,187
45,87,87,105,105,122,122,152,152,190,190
46,89,89,107,107,125,125,156,156,195,195
47,91,91,110,110,128,128,160,160,200,200
48,93,93,112,112,131,131,163,163,203,203
49,95,95,114,114,133,133,166,166,207,207
50,97,97,117,117,136,136,170,170,212,212
51,99,99,119,119,139,139,173,173,216,216
52,101,101,121,121,141,141,176,176,220,220
53,103,103,124,124,144,144,180,180,225,225
54,105,105,126,126,147,147,183,183,228,228
55,107,107,128,128,150,150,187,187,233,233
56,109,109,131,131,152,152,190,190,237,237
57,111,111,133,133,155,155,193,193,241,241
58,113,113,135,135,158,158,197,197,246,246
59,115,115,138,138,161,161,201,201,251,251
60,117,117,140,140,163,163,203,203,253,253
61,118,118,142,142,166,166,207,207,258,258
62,120,120,145,145,169,169,211,211,263,263
63,122,122,147,147,171,171,213,213,266,266
64,124,124,149,149,174,174,217,217,271,271
65,126,126,152,152,177,177,221,221,276,276
66,128,128,154,154,180,180,225,225,281,281
67,130,130,156,156,182,182,227,227,283,283
68,132,132,159,159,185,185,231,231,288,288
69,134,134,161,161,188,188,235,235,293,293
70,136,136,164,164,191,191,238,238,297,297
