level,2min,2max,3min,3max,4min,4max,5min,5max,6min,6max
1,0,0,0,0,0,0,1,1,1,1
2,0,0,1,1,1,1,1,1,1,1
3,1,1,1,1,2,2,2,2,2,2
4,1,1,2,2,3,3,3,3,3,3
5,1,1,3,3,3,3,3,3,3,3
6,2,2,3,3,4,4,5,5,6,6
7,2,2,4,4,5,5,6,6,7,7
8,3,3,5,5,6,6,7,7,8,8
9,3,3,5,5,7,7,8,8,10,10
10,3,3,6,6,7,7,8,8,10,10
11,4,4,6,6,8,8,10,10,12,12
12,4,4,7,7,9,9,11,11,13,13
13,4,4,8,8,10,10,12,12,15,15
14,5,5,8,8,11,11,13,13,16,16
15,5,5,9,9,11,11,13,13,16,16
16,6,6,10,10,12,12,15,15,18,18
17,6,6,10,10,13,13,16,16,20,20
18,6,6,11,11,14,14,17,17,21,21
19,7,7,11,11,15,15,18,18,22,22
20,7,7,12,12,15,15,18,18,22,22
21,8,8,13,13,16,16,20,20,25,25
22,8,8,13,13,17,17,21,21,26,26
23,8,8,14,14,18,18,22,22,27,27
24,9,9,15,15,19,19,23,23,28,28
25,9,9,15,15,19,19,23,23,28,28
26,9,9,16,16,20,20,25,25,31,31
27,10,10,16,16,21,21,26,26,32,32
28,10,10,17,17,22,22,27,27,33,33
29,11,11,18,18,22,22,27,27,33,33
30,11,11,18,18,23,23,28,28,35,35
31,11,11,19,19,24,24,30,30,37,37
32,12,12,20,20,25,25,31,31,38,38
33,12,12,20,20,26,26,32,32,40,40
34,12,12,21,21,26,26,32,32,40,40
35,13,13,21,21,27,27,33,33,41,41
36,13,13,22,22,28,28,35,35,43,43
37,14,14,23,23,29,29,36,36,45,45
38,14,14,23,23,30,30,37,37,46,46
39,14,14,24,24,30,30,37,37,46,46
40,15,15,25,25,31,31,38,38,47,47
41,15,15,25,25,32,32,40,40,50,50
42,16,16,26,26,33,33,41,41,51,51
43,16,16,26,26,34,34,42,42,52,52
44,16,16,27,27,34,34,42,42,52,52
45,17,17,28,28,35,35,43,43,53,53
46,17,17,28,28,36,36,45,45,56,56
47,17,17,29,29,37,37,46,46,57,57
48,18,18,30,30,38,38,47,47,58,58
49,18,18,30,30,38,38,47,47,58,58
50,19,19,31,31,39,39,48,48,60,60
51,19,19,31,31,40,40,50,50,62,62
52,19,19,32,32,41,41,51,51,63,63
53,20,20,33,33,41,41,51,51,63,63
54,20,20,33,33,42,42,52,52,65,65
55,20,20,34,34,43,43,53,53,66,66
56,21,21,35,35,44,44,55,55,68,68
57,21,21,35,35,45,45,56,56,70,70
58,22,22,36,36,45,45,56,56,70,70
59,22,22,36,36,46,46,57,57,71,71
60,22,22,37,37,47,47,58,58,72,72
61,23,23,38,38,48,48,60,60,75,75
62,23,23,38,38,49,49,61,61,76,76
63,24,24,39,39,49,49,61,61,76,76
64,24,24,40,40,50,50,62,62,77,77
65,24,24,40,40,51,51,63,63,78,78
66,25,25,41,41,52,52,65,65,81,81
67,25,25,41,41,53,53,66,66,82,82
68,25,25,42,42,53,53,66,66,82,82
69,26,26,43,43,54,54,67,67,83,83
70,26,26,43,43,55,55,68,68,85,85
