level,2min,2max,3min,3max,4min,4max,5min,5max,6min,6max
1,103,103,107,107,129,129,161,161,201,201
2,206,206,214,214,258,258,322,322,402,402
3,309,309,321,321,387,387,483,483,603,603
4,412,412,428,428,516,516,645,645,806,806
5,515,515,535,535,645,645,806,806,1007,1007
6,619,619,642,642,774,774,967,967,1208,1208
7,722,722,749,749,903,903,1128,1128,1410,1410
8,825,825,856,856,1032,1032,1290,1290,1612,1612
9,928,928,963,963,1161,1161,1451,1451,1813,1813
10,1031,1031,1070,1070,1290,1290,1612,1612,2015,2015
11,1134,1134,1177,1177,1420,1420,1775,1775,2218,2218
12,1238,1238,1284,1284,1549,1549,1936,1936,2420,2420
13,1341,1341,1391,1391,1678,1678,2097,2097,2621,2621
14,1444,1444,1498,1498,1807,1807,2258,2258,2822,2822
15,1547,1547,1605,1605,1936,1936,2420,2420,3025,3025
16,1650,1650,1712,1712,2065,2065,2581,2581,3226,3226
17,1754,1754,1819,1819,2194,2194,2742,2742,3427,3427
18,1857,1857,1926,1926,2323,2323,2903,2903,3628,3628
19,1960,1960,2033,2033,2452,2452,3065,3065,3831,3831
20,2063,2063,2140,2140,2581,2581,3226,3226,4032,4032
21,2166,2166,2247,2247,2710,2710,3387,3387,4233,4233
22,2269,2269,2354,2354,2840,2840,3550,3550,4437,4437
23,2373,2373,2461,2461,2969,2969,3711,3711,4638,4638
24,2476,2476,2568,2568,3098,3098,3872,3872,4840,4840
25,2579,2579,2675,2675,3227,3227,4033,4033,5041,5041
26,2682,2682,2782,2782,3356,3356,4195,4195,5243,5243
27,2785,2785,2889,2889,3485,3485,4356,4356,5445,5445
28,2888,2888,2996,2996,3614,3614,4517,4517,5646,5646
29,2992,2992,3103,3103,3743,3743,4678,4678,5847,5847
30,3095,3095,3210,3210,3872,3872,4840,4840,6050,6050
31,3198,3198,3317,3317,4001,4001,5001,5001,6251,6251
32,3301,3301,3424,3424,4130,4130,5162,5162,6452,6452
33,3404,3404,3531,3531,4260,4260,5325,5325,6656,6656
34,3508,3508,3638,3638,4389,4389,5486,5486,6857,6857
35,3611,3611,3745,3745,4518,4518,5647,5647,7058,7058
36,3714,3714,3852,3852,4647,4647,5808,5808,7260,7260
37,3817,3817,3959,3959,4776,4776,5970,5970,7462,7462
38,3920,3920,4066,4066,4905,4905,6131,6131,7663,7663
39,4023,4023,4173,4173,5034,5034,6292,6292,7865,7865
40,4127,4127,4280,4280,5163,5163,6453,6453,8066,8066
41,4230,4230,4387,4387,5292,5292,6615,6615,8268,8268
42,4333,4333,4494,4494,5421,5421,6776,6776,8470,8470
43,4436,4436,4601,4601,5550,5550,6937,6937,8671,8671
44,4539,4539,4708,4708,5680,5680,7100,7100,8875,8875
45,4642,4642,4815,4815,5809,5809,7261,7261,9076,9076
46,4746,4746,4922,4922,5938,5938,7422,7422,9277,9277
47,4849,4849,5029,5029,6067,6067,7583,7583,9478,9478
48,4952,4952,5136,5136,6196,6196,7745,7745,9681,9681
49,5055,5055,5243,5243,6325,6325,7906,7906,9882,9882
50,5158,5158,5350,5350,6454,6454,8067,8067,10083,10083
51,5262,5262,5457,5457,6583,6583,8228,8228,10285,10285
52,5365,5365,5564,5564,6712,6712,8390,8390,10487,10487
53,5468,5468,5671,5671,6841,6841,8551,8551,10688,10688
54,5571,5571,5778,5778,6971,6971,8713,8713,10891,10891
55,5674,5674,5885,5885,7100,7100,8875,8875,11093,11093
56,5777,5777,5992,5992,7229,7229,9036,9036,11295,11295
57,5881,5881,6099,6099,7358,7358,9197,9197,11496,11496
58,5984,5984,6206,6206,7487,7487,9358,9358,11697,11697
59,6087,6087,6313,6313,7616,7616,9520,9520,11900,11900
60,6190,6190,6420,6420,7745,7745,9681,9681,12101,12101
61,6293,6293,6527,6527,7874,7874,9842,9842,12302,12302
62,6396,6396,6634,6634,8003,8003,10003,10003,12503,12503
63,6500,6500,6741,6741,8132,8132,10165,10165,12706,12706
64,6603,6603,6848,6848,8261,8261,10326,10326,12907,12907
65,6706,6706,6955,6955,8391,8391,10488,10488,13110,13110
66,6809,6809,7062,7062,8520,8520,10650,10650,13312,13312
67,6912,6912,7169,7169,8649,8649,10811,10811,13513,13513
68,7016,7016,7276,7276,8778,8778,10972,10972,13715,13715
69,7119,7119,7383,7383,8907,8907,11133,11133,13916,13916
70,7222,7222,7490,7490,9036,9036,11295,11295,14118,14118
