level,2min,2max,3min,3max,4min,4max,5min,5max,6min,6max
1,0,0,0,0,0,0,1,1,1,1
2,0,0,1,1,1,1,1,1,1,1
3,1,1,1,1,2,2,2,2,2,2
4,1,1,2,2,3,3,3,3,3,3
5,1,1,3,3,3,3,3,3,3,3
6,2,2,3,3,4,4,5,5,6,6
7,2,2,4,4,5,5,6,6,7,7
8,3,3,4,4,6,6,7,7,8,8
9,3,3,5,5,7,7,8,8,10,10
10,3,3,6,6,7,7,8,8,10,10
11,4,4,6,6,8,8,10,10,12,12
12,4,4,7,7,9,9,11,11,13,13
13,5,5,7,7,10,10,12,12,15,15
14,5,5,8,8,10,10,12,12,15,15
15,5,5,9,9,11,11,13,13,16,16
16,6,6,9,9,12,12,15,15,18,18
17,6,6,10,10,13,13,16,16,20,20
18,7,7,10,10,14,14,17,17,21,21
19,7,7,11,11,14,14,17,17,21,21
20,7,7,12,12,15,15,18,18,22,22
21,8,8,12,12,16,16,20,20,25,25
22,8,8,13,13,17,17,21,21,26,26
23,9,9,13,13,18,18,22,22,27,27
24,9,9,14,14,18,18,22,22,27,27
25,9,9,15,15,19,19,23,23,28,28
26,10,10,15,15,20,20,25,25,31,31
27,10,10,16,16,21,21,26,26,32,32
28,11,11,17,17,21,21,26,26,32,32
29,11,11,17,17,22,22,27,27,33,33
30,11,11,18,18,23,23,28,28,35,35
31,12,12,18,18,24,24,30,30,37,37
32,12,12,19,19,25,25,31,31,38,38
33,13,13,20,20,25,25,31,31,38,38
34,13,13,20,20,26,26,32,32,40,40
35,13,13,21,21,27,27,33,33,41,41
36,14,14,21,21,28,28,35,35,43,43
37,14,14,22,22,29,29,36,36,45,45
38,15,15,23,23,29,29,36,36,45,45
39,15,15,23,23,30,30,37,37,46,46
40,15,15,24,24,31,31,38,38,47,47
41,16,16,24,24,32,32,40,40,50,50
42,16,16,25,25,32,32,40,40,50,50
43,17,17,26,26,33,33,41,41,51,51
44,17,17,26,26,34,34,42,42,52,52
45,17,17,27,27,35,35,43,43,53,53
46,18,18,27,27,36,36,45,45,56,56
47,18,18,28,28,36,36,45,45,56,56
48,18,18,29,29,37,37,46,46,57,57
49,19,19,29,29,38,38,47,47,58,58
50,19,19,30,30,39,39,48,48,60,60
51,20,20,30,30,40,40,50,50,62,62
52,20,20,31,31,40,40,50,50,62,62
53,20,20,32,32,41,41,51,51,63,63
54,21,21,32,32,42,42,52,52,65,65
55,21,21,33,33,43,43,53,53,66,66
56,22,22,34,34,43,43,53,53,66,66
57,22,22,34,34,44,44,55,55,68,68
58,22,22,35,35,45,45,56,56,70,70
59,23,23,35,35,46,46,57,57,71,71
60,23,23,36,36,47,47,58,58,72,72
61,24,24,37,37,47,47,58,58,72,72
62,24,24,37,37,48,48,60,60,75,75
63,24,24,38,38,49,49,61,61,76,76
64,25,25,38,38,50,50,62,62,77,77
65,25,25,39,39,50,50,62,62,77,77
66,26,26,40,40,51,51,63,63,78,78
67,26,26,40,40,52,52,65,65,81,81
68,26,26,41,41,53,53,66,66,82,82
69,27,27,41,41,54,54,67,67,83,83
70,27,27,42,42,54,54,67,67,83,83
