level,2min,2max,3min,3max,4min,4max,5min,5max,6min,6max
1,84,84,97,97,129,129,161,161,201,201
2,169,169,195,195,258,258,322,322,402,402
3,254,254,293,293,387,387,483,483,603,603
4,339,339,390,390,516,516,645,645,806,806
5,424,424,488,488,645,645,806,806,1007,1007
6,509,509,586,586,774,774,967,967,1208,1208
7,594,594,684,684,903,903,1128,1128,1410,1410
8,679,679,781,781,1032,1032,1290,1290,1612,1612
9,764,764,879,879,1161,1161,1451,1451,1813,1813
10,849,849,977,977,1290,1290,1612,1612,2015,2015
11,934,934,1075,1075,1420,1420,1775,1775,2218,2218
12,1019,1019,1172,1172,1549,1549,1936,1936,2420,2420
13,1104,1104,1270,1270,1678,1678,2097,2097,2621,2621
14,1189,1189,1368,1368,1807,1807,2258,2258,2822,2822
15,1274,1274,1466,1466,1936,1936,2420,2420,3025,3025
16,1359,1359,1563,1563,2065,2065,2581,2581,3226,3226
17,1444,1444,1661,1661,2194,2194,2742,2742,3427,3427
18,1529,1529,1759,1759,2323,2323,2903,2903,3628,3628
19,1614,1614,1857,1857,2452,2452,3065,3065,3831,3831
20,1699,1699,1954,1954,2581,2581,3226,3226,4032,4032
21,1784,1784,2052,2052,2710,2710,3387,3387,4233,4233
22,1869,1869,2150,2150,2840,2840,3550,3550,4437,4437
23,1954,1954,2248,2248,2969,2969,3711,3711,4638,4638
24,2039,2039,2345,2345,3098,3098,3872,3872,4840,4840
25,2124,2124,2443,2443,3227,3227,4033,4033,5041,5041
26,2209,2209,2541,2541,3356,3356,4195,4195,5243,5243
27,2294,2294,2639,2639,3485,3485,4356,4356,5445,5445
28,2379,2379,2736,2736,3614,3614,4517,4517,5646,5646
29,2464,2464,2834,2834,3743,3743,4678,4678,5847,5847
30,2549,2549,2932,2932,3872,3872,4840,4840,6050,6050
31,2634,2634,3030,3030,4001,4001,5001,5001,6251,6251
32,2719,2719,3127,3127,4130,4130,5162,5162,6452,6452
33,2804,2804,3225,3225,4260,4260,5325,5325,6656,6656
34,2889,2889,3323,3323,4389,4389,5486,5486,6857,6857
35,2974,2974,3421,3421,4518,4518,5647,5647,7058,7058
36,3059,3059,3518,3518,4647,4647,5808,5808,7260,7260
37,3144,3144,3616,3616,4776,4776,5970,5970,7462,7462
38,3229,3229,3714,3714,4905,4905,6131,6131,7663,7663
39,3314,3314,3812,3812,5034,5034,6292,6292,7865,7865
40,3399,3399,3909,3909,5163,5163,6453,6453,8066,8066
41,3483,3483,4007,4007,5292,5292,6615,6615,8268,8268
42,3568,3568,4105,4105,5421,5421,6776,6776,8470,8470
43,3653,3653,4203,4203,5550,5550,6937,6937,8671,8671
44,3738,3738,4300,4300,5680,5680,7100,7100,8875,8875
45,3823,3823,4398,4398,5809,5809,7261,7261,9076,9076
46,3908,3908,4496,4496,5938,5938,7422,7422,9277,9277
47,3993,3993,4594,4594,6067,6067,7583,7583,9478,9478
48,4078,4078,4691,4691,6196,6196,7745,7745,9681,9681
49,4163,4163,4789,4789,6325,6325,7906,7906,9882,9882
50,4248,4248,4887,4887,6454,6454,8067,8067,10083,10083
51,4333,4333,4985,4985,6583,6583,8228,8228,10285,10285
52,4418,4418,5082,5082,6712,6712,8390,8390,10487,10487
53,4503,4503,5180,5180,6841,6841,8551,8551,10688,10688
54,4588,4588,5278,5278,6971,6971,8713,8713,10891,10891
55,4673,4673,5376,5376,7100,7100,8875,8875,11093,11093
56,4758,4758,5473,5473,7229,7229,9036,9036,11295,11295
57,4843,4843,5571,5571,7358,7358,9197,9197,11496,11496
58,4928,4928,5669,5669,7487,7487,9358,9358,11697,11697
59,5013,5013,5767,5767,7616,7616,9520,9520,11900,11900
60,5098,5098,5864,5864,7745,7745,9681,9681,12101,12101
61,5183,5183,5962,5962,7874,7874,9842,9842,12302,12302
62,5268,5268,6060,6060,8003,8003,10003,10003,12503,12503
63,5353,5353,6158,6158,8132,8132,10165,10165,12706,12706
64,5438,5438,6255,6255,8261,8261,10326,10326,12907,12907
65,5523,5523,6353,6353,8391,8391,10488,10488,13110,13110
66,5608,5608,6451,6451,8520,8520,10650,10650,13312,13312
67,5693,5693,6549,6549,8649,8649,10811,10811,13513,13513
68,5778,5778,6646,6646,8778,8778,10972,10972,13715,13715
69,5863,5863,6744,6744,8907,8907,11133,11133,13916,13916
70,5948,5948,6842,6842,9036,9036,11295,11295,14118,14118
