level,2min,2max,3min,3max,4min,4max,5min,5max,6min,6max
1,0,0,0,0,0,0,1,1,1,1
2,0,0,0,0,0,0,1,1,1,1
3,0,0,0,0,0,0,1,1,1,1
4,0,0,0,0,1,1,1,1,1,1
5,0,0,1,1,1,1,1,1,1,1
6,0,0,1,1,1,1,1,1,1,1
7,1,1,1,1,2,2,2,2,2,2
8,1,1,1,1,2,2,2,2,2,2
9,1,1,2,2,2,2,2,2,2,2
10,1,1,2,2,3,3,3,3,3,3
11,1,1,2,2,3,3,3,3,3,3
12,1,1,2,2,3,3,3,3,3,3
13,1,1,2,2,3,3,3,3,3,3
14,2,2,3,3,4,4,5,5,6,6
15,2,2,3,3,4,4,5,5,6,6
16,2,2,3,3,4,4,5,5,6,6
17,2,2,3,3,5,5,6,6,7,7
18,2,2,4,4,5,5,6,6,7,7
19,2,2,4,4,5,5,6,6,7,7
20,2,2,4,4,6,6,7,7,8,8
21,3,3,4,4,6,6,7,7,8,8
22,3,3,5,5,6,6,7,7,8,8
23,3,3,5,5,6,6,7,7,8,8
24,3,3,5,5,7,7,8,8,10,10
25,3,3,5,5,7,7,8,8,10,10
26,3,3,5,5,7,7,8,8,10,10
27,3,3,6,6,8,8,10,10,12,12
28,4,4,6,6,8,8,10,10,12,12
29,4,4,6,6,8,8,10,10,12,12
30,4,4,6,6,9,9,11,11,13,13
31,4,4,7,7,9,9,11,11,13,13
32,4,4,7,7,9,9,11,11,13,13
33,4,4,7,7,9,9,11,11,13,13
34,4,4,7,7,10,10,12,12,15,15
35,5,5,8,8,10,10,12,12,15,15
36,5,5,8,8,10,10,12,12,15,15
37,5,5,8,8,11,11,13,13,16,16
38,5,5,8,8,11,11,13,13,16,16
39,5,5,8,8,11,11,13,13,16,16
40,5,5,9,9,12,12,15,15,18,18
41,5,5,9,9,12,12,15,15,18,18
42,6,6,9,9,12,12,15,15,18,18
43,6,6,9,9,13,13,16,16,20,20
44,6,6,10,10,13,13,16,16,20,20
45,6,6,10,10,13,13,16,16,20,20
46,6,6,10,10,13,13,16,16,20,20
47,6,6,10,10,14,14,17,17,21,21
48,6,6,11,11,14,14,17,17,21,21
49,7,7,11,11,14,14,17,17,21,21
50,7,7,11,11,15,15,18,18,22,22
51,7,7,11,11,15,15,18,18,22,22
52,7,7,11,11,15,15,18,18,22,22
53,7,7,12,12,16,16,20,20,25,25
54,7,7,12,12,16,16,20,20,25,25
55,7,7,12,12,16,16,20,20,25,25
56,8,8,12,12,16,16,20,20,25,25
57,8,8,13,13,17,17,21,21,26,26
58,8,8,13,13,17,17,21,21,26,26
59,8,8,13,13,17,17,21,21,26,26
60,8,8,13,13,18,18,22,22,27,27
61,8,8,14,14,18,18,22,22,27,27
62,9,9,14,14,18,18,22,22,27,27
63,9,9,14,14,19,19,23,23,28,28
64,9,9,14,14,19,19,23,23,28,28
65,9,9,14,14,19,19,23,23,28,28
66,9,9,15,15,19,19,23,23,28,28
67,9,9,15,15,20,20,25,25,31,31
68,9,9,15,15,20,20,25,25,31,31
69,10,10,15,15,20,20,25,25,31,31
70,10,10,16,16,21,21,26,26,32,32
