level,2min,2max,3min,3max,4min,4max,5min,5max,6min,6max
1,69,69,70,70,99,99,123,123,153,153
2,139,139,141,141,198,198,247,247,308,308
3,208,208,212,212,297,297,371,371,463,463
4,278,278,283,283,397,397,496,496,620,620
5,348,348,354,354,496,496,620,620,775,775
6,417,417,425,425,595,595,743,743,928,928
7,487,487,496,496,695,695,868,868,1085,1085
8,557,557,567,567,794,794,992,992,1240,1240
9,626,626,638,638,893,893,1116,1116,1395,1395
10,696,696,709,709,993,993,1241,1241,1551,1551
11,766,766,780,780,1092,1092,1365,1365,1706,1706
12,835,835,851,851,1191,1191,1488,1488,1860,1860
13,905,905,922,922,1290,1290,1612,1612,2015,2015
14,975,975,993,993,1390,1390,1737,1737,2171,2171
15,1044,1044,1064,1064,1489,1489,1861,1861,2326,2326
16,1114,1114,1135,1135,1588,1588,1985,1985,2481,2481
17,1184,1184,1206,1206,1688,1688,2110,2110,2637,2637
18,1253,1253,1277,1277,1787,1787,2233,2233,2791,2791
19,1323,1323,1348,1348,1886,1886,2357,2357,2946,2946
20,1392,1392,1419,1419,1986,1986,2482,2482,3102,3102
21,1462,1462,1490,1490,2085,2085,2606,2606,3257,3257
22,1532,1532,1561,1561,2184,2184,2730,2730,3412,3412
23,1601,1601,1632,1632,2283,2283,2853,2853,3566,3566
24,1671,1671,1703,1703,2383,2383,2978,2978,3722,3722
25,1741,1741,1774,1774,2482,2482,3102,3102,3877,3877
26,1810,1810,1845,1845,2581,2581,3226,3226,4032,4032
27,1880,1880,1916,1916,2681,2681,3351,3351,4188,4188
28,1950,1950,1987,1987,2780,2780,3475,3475,4343,4343
29,2019,2019,2058,2058,2879,2879,3598,3598,4497,4497
30,2089,2089,2129,2129,2979,2979,3723,3723,4653,4653
31,2159,2159,2200,2200,3078,3078,3847,3847,4808,4808
32,2228,2228,2271,2271,3177,3177,3971,3971,4963,4963
33,2298,2298,2342,2342,3277,3277,4096,4096,5120,5120
34,2368,2368,2413,2413,3376,3376,4220,4220,5275,5275
35,2437,2437,2484,2484,3475,3475,4343,4343,5428,5428
36,2507,2507,2555,2555,3574,3574,4467,4467,5583,5583
37,2577,2577,2626,2626,3674,3674,4592,4592,5740,5740
38,2646,2646,2697,2697,3773,3773,4716,4716,5895,5895
39,2716,2716,2768,2768,3872,3872,4840,4840,6050,6050
40,2785,2785,2839,2839,3972,3972,4965,4965,6206,6206
41,2855,2855,2910,2910,4071,4071,5088,5088,6360,6360
42,2925,2925,2981,2981,4170,4170,5212,5212,6515,6515
43,2994,2994,3052,3052,4270,4270,5337,5337,6671,6671
44,3064,3064,3123,3123,4369,4369,5461,5461,6826,6826
45,3134,3134,3193,3193,4468,4468,5585,5585,6981,6981
46,3203,3203,3264,3264,4567,4567,5708,5708,7135,7135
47,3273,3273,3335,3335,4667,4667,5833,5833,7291,7291
48,3343,3343,3406,3406,4766,4766,5957,5957,7446,7446
49,3412,3412,3477,3477,4865,4865,6081,6081,7601,7601
50,3482,3482,3548,3548,4965,4965,6206,6206,7757,7757
51,3552,3552,3619,3619,5064,5064,6330,6330,7912,7912
52,3621,3621,3690,3690,5163,5163,6453,6453,8066,8066
53,3691,3691,3761,3761,5263,5263,6578,6578,8222,8222
54,3761,3761,3832,3832,5362,5362,6702,6702,8377,8377
55,3830,3830,3903,3903,5461,5461,6826,6826,8532,8532
56,3900,3900,3974,3974,5560,5560,6950,6950,8687,8687
57,3969,3969,4045,4045,5660,5660,7075,7075,8843,8843
58,4039,4039,4116,4116,5759,5759,7198,7198,8997,8997
59,4109,4109,4187,4187,5858,5858,7322,7322,9152,9152
60,4178,4178,4258,4258,5958,5958,7447,7447,9308,9308
61,4248,4248,4329,4329,6057,6057,7571,7571,9463,9463
62,4318,4318,4400,4400,6156,6156,7695,7695,9618,9618
63,4387,4387,4471,4471,6256,6256,7820,7820,9775,9775
64,4457,4457,4542,4542,6355,6355,7943,7943,9928,9928
65,4527,4527,4613,4613,6454,6454,8067,8067,10083,10083
66,4596,4596,4684,4684,6554,6554,8192,8192,10240,10240
67,4666,4666,4755,4755,6653,6653,8316,8316,10395,10395
68,4736,4736,4826,4826,6752,6752,8440,8440,10550,10550
69,4805,4805,4897,4897,6851,6851,8563,8563,10703,10703
70,4875,4875,4968,4968,6951,6951,8688,8688,10860,10860
