level,2min,2max,3min,3max,4min,4max,5min,5max,6min,6max
1,4,4,5,5,6,6,7,7,8,8
2,9,9,10,10,12,12,15,15,18,18
3,13,13,16,16,18,18,22,22,27,27
4,18,18,21,21,25,25,31,31,38,38
5,22,22,27,27,31,31,38,38,47,47
6,27,27,32,32,37,37,46,46,57,57
7,31,31,37,37,44,44,55,55,68,68
8,36,36,43,43,50,50,62,62,77,77
9,40,40,48,48,56,56,70,70,87,87
10,45,45,54,54,63,63,78,78,97,97
11,49,49,59,59,69,69,86,86,107,107
12,54,54,64,64,75,75,93,93,116,116
13,58,58,70,70,81,81,101,101,126,126
14,63,63,75,75,88,88,110,110,137,137
15,67,67,81,81,94,94,117,117,146,146
16,72,72,86,86,100,100,125,125,156,156
17,76,76,91,91,107,107,133,133,166,166
18,81,81,97,97,113,113,141,141,176,176
19,85,85,102,102,119,119,148,148,185,185
20,90,90,108,108,126,126,157,157,196,196
21,94,94,113,113,132,132,165,165,206,206
22,99,99,118,118,138,138,172,172,215,215
23,103,103,124,124,144,144,180,180,225,225
24,108,108,129,129,151,151,188,188,235,235
25,113,113,135,135,157,157,196,196,245,245
26,117,117,140,140,163,163,203,203,253,253
27,122,122,145,145,170,170,212,212,265,265
28,126,126,151,151,176,176,220,220,275,275
29,131,131,156,156,182,182,227,227,283,283
30,135,135,162,162,189,189,236,236,295,295
31,140,140,167,167,195,195,243,243,303,303
32,144,144,172,172,201,201,251,251,313,313
33,149,149,178,178,208,208,260,260,325,325
34,153,153,183,183,214,214,267,267,333,333
35,158,158,189,189,220,220,275,275,343,343
36,162,162,194,194,226,226,282,282,352,352
37,167,167,199,199,233,233,291,291,363,363
38,171,171,205,205,239,239,298,298,372,372
39,176,176,210,210,245,245,306,306,382,382
40,180,180,216,216,252,252,315,315,393,393
41,185,185,221,221,258,258,322,322,402,402
42,189,189,226,226,264,264,330,330,412,412
43,194,194,232,232,271,271,338,338,422,422
44,198,198,237,237,277,277,346,346,432,432
45,203,203,243,243,283,283,353,353,441,441
46,207,207,248,248,289,289,361,361,451,451
47,212,212,253,253,296,296,370,370,462,462
48,216,216,259,259,302,302,377,377,471,471
49,221,221,264,264,308,308,385,385,481,481
50,226,226,270,270,315,315,393,393,491,491
51,230,230,275,275,321,321,401,401,501,501
52,235,235,280,280,327,327,408,408,510,510
53,239,239,286,286,334,334,417,417,521,521
54,244,244,291,291,340,340,425,425,531,531
55,248,248,297,297,346,346,432,432,540,540
56,253,253,302,302,353,353,441,441,551,551
57,257,257,307,307,359,359,448,448,560,560
58,262,262,313,313,365,365,456,456,570,570
59,266,266,318,318,371,371,463,463,578,578
60,271,271,324,324,378,378,472,472,590,590
61,275,275,329,329,384,384,480,480,600,600
62,280,280,334,334,390,390,487,487,608,608
63,284,284,340,340,397,397,496,496,620,620
64,289,289,345,345,403,403,503,503,628,628
65,293,293,351,351,409,409,511,511,638,638
66,298,298,356,356,416,416,520,520,650,650
67,302,302,361,361,422,422,527,527,658,658
68,307,307,367,367,428,428,535,535,668,668
69,311,311,372,372,434,434,542,542,677,677
70,316,316,378,378,441,441,551,551,688,688
