level,2min,2max,3min,3max,4min,4max,5min,5max,6min,6max
1,0,0,0,0,0,0,1,1,1,1
2,0,0,1,1,1,1,1,1,1,1
3,0,0,1,1,2,2,2,2,2,2
4,1,1,2,2,2,2,2,2,2,2
5,1,1,2,2,3,3,3,3,3,3
6,1,1,3,3,4,4,5,5,6,6
7,2,2,3,3,4,4,5,5,6,6
8,2,2,4,4,5,5,6,6,7,7
9,2,2,4,4,6,6,7,7,8,8
10,3,3,5,5,6,6,7,7,8,8
11,3,3,5,5,7,7,8,8,10,10
12,3,3,6,6,8,8,10,10,12,12
13,3,3,6,6,8,8,10,10,12,12
14,4,4,7,7,9,9,11,11,13,13
15,4,4,7,7,10,10,12,12,15,15
16,4,4,8,8,10,10,12,12,15,15
17,5,5,8,8,11,11,13,13,16,16
18,5,5,9,9,12,12,15,15,18,18
19,5,5,9,9,12,12,15,15,18,18
20,6,6,10,10,13,13,16,16,20,20
21,6,6,11,11,14,14,17,17,21,21
22,6,6,11,11,14,14,17,17,21,21
23,7,7,12,12,15,15,18,18,22,22
24,7,7,12,12,16,16,20,20,25,25
25,7,7,13,13,16,16,20,20,25,25
26,7,7,13,13,17,17,21,21,26,26
27,8,8,14,14,18,18,22,22,27,27
28,8,8,14,14,18,18,22,22,27,27
29,8,8,15,15,19,19,23,23,28,28
30,9,9,15,15,20,20,25,25,31,31
31,9,9,16,16,20,20,25,25,31,31
32,9,9,16,16,21,21,26,26,32,32
33,10,10,17,17,22,22,27,27,33,33
34,10,10,17,17,22,22,27,27,33,33
35,10,10,18,18,23,23,28,28,35,35
36,10,10,18,18,24,24,30,30,37,37
37,11,11,19,19,24,24,30,30,37,37
38,11,11,19,19,25,25,31,31,38,38
39,11,11,20,20,26,26,32,32,40,40
40,12,12,21,21,26,26,32,32,40,40
41,12,12,21,21,27,27,33,33,41,41
42,12,12,22,22,28,28,35,35,43,43
43,13,13,22,22,28,28,35,35,43,43
44,13,13,23,23,29,29,36,36,45,45
45,13,13,23,23,30,30,37,37,46,46
46,14,14,24,24,30,30,37,37,46,46
47,14,14,24,24,31,31,38,38,47,47
48,14,14,25,25,32,32,40,40,50,50
49,14,14,25,25,32,32,40,40,50,50
50,15,15,26,26,33,33,41,41,51,51
51,15,15,26,26,34,34,42,42,52,52
52,15,15,27,27,34,34,42,42,52,52
53,16,16,27,27,35,35,43,43,53,53
54,16,16,28,28,36,36,45,45,56,56
55,16,16,28,28,36,36,45,45,56,56
56,17,17,29,29,37,37,46,46,57,57
57,17,17,29,29,38,38,47,47,58,58
58,17,17,30,30,38,38,47,47,58,58
59,18,18,30,30,39,39,48,48,60,60
60,18,18,31,31,40,40,50,50,62,62
61,18,18,32,32,40,40,50,50,62,62
62,18,18,32,32,41,41,51,51,63,63
63,19,19,33,33,42,42,52,52,65,65
64,19,19,33,33,42,42,52,52,65,65
65,19,19,34,34,43,43,53,53,66,66
66,20,20,34,34,44,44,55,55,68,68
67,20,20,35,35,44,44,55,55,68,68
68,20,20,35,35,45,45,56,56,70,70
69,21,21,36,36,46,46,57,57,71,71
70,21,21,36,36,46,46,57,57,71,71
