level,2min,2max,3min,3max,4min,4max,5min,5max,6min,6max
1,74,74,78,78,99,99,123,123,153,153
2,148,148,157,157,198,198,247,247,308,308
3,223,223,235,235,297,297,371,371,463,463
4,297,297,314,314,397,397,496,496,620,620
5,372,372,393,393,496,496,620,620,775,775
6,446,446,471,471,595,595,743,743,928,928
7,521,521,550,550,695,695,868,868,1085,1085
8,595,595,629,629,794,794,992,992,1240,1240
9,670,670,707,707,893,893,1116,1116,1395,1395
10,744,744,786,786,993,993,1241,1241,1551,1551
11,819,819,865,865,1092,1092,1365,1365,1706,1706
12,893,893,943,943,1191,1191,1488,1488,1860,1860
13,968,968,1022,1022,1290,1290,1612,1612,2015,2015
14,1042,1042,1101,1101,1390,1390,1737,1737,2171,2171
15,1116,1116,1179,1179,1489,1489,1861,1861,2326,2326
16,1191,1191,1258,1258,1588,1588,1985,1985,2481,2481
17,1265,1265,1337,1337,1688,1688,2110,2110,2637,2637
18,1340,1340,1415,1415,1787,1787,2233,2233,2791,2791
19,1414,1414,1494,1494,1886,1886,2357,2357,2946,2946
20,1489,1489,1573,1573,1986,1986,2482,2482,3102,3102
21,1563,1563,1651,1651,2085,2085,2606,2606,3257,3257
22,1638,1638,1730,1730,2184,2184,2730,2730,3412,3412
23,1712,1712,1809,1809,2283,2283,2853,2853,3566,3566
24,1787,1787,1887,1887,2383,2383,2978,2978,3722,3722
25,1861,1861,1966,1966,2482,2482,3102,3102,3877,3877
26,1936,1936,2045,2045,2581,2581,3226,3226,4032,4032
27,2010,2010,2123,2123,2681,2681,3351,3351,4188,4188
28,2084,2084,2202,2202,2780,2780,3475,3475,4343,4343
29,2159,2159,2281,2281,2879,2879,3598,3598,4497,4497
30,2233,2233,2359,2359,2979,2979,3723,3723,4653,4653
31,2308,2308,2438,2438,3078,3078,3847,3847,4808,4808
32,2382,2382,2517,2517,3177,3177,3971,3971,4963,4963
33,2457,2457,2595,2595,3277,3277,4096,4096,5120,5120
34,2531,2531,2674,2674,3376,3376,4220,4220,5275,5275
35,2606,2606,2752,2752,3475,3475,4343,4343,5428,5428
36,2680,2680,2831,2831,3574,3574,4467,4467,5583,5583
37,2755,2755,2910,2910,3674,3674,4592,4592,5740,5740
38,2829,2829,2988,2988,3773,3773,4716,4716,5895,5895
39,2904,2904,3067,3067,3872,3872,4840,4840,6050,6050
40,2978,2978,3146,3146,3972,3972,4965,4965,6206,6206
41,3052,3052,3224,3224,4071,4071,5088,5088,6360,6360
42,3127,3127,3303,3303,4170,4170,5212,5212,6515,6515
43,3201,3201,3382,3382,4270,4270,5337,5337,6671,6671
44,3276,3276,3460,3460,4369,4369,5461,5461,6826,6826
45,3350,3350,3539,3539,4468,4468,5585,5585,6981,6981
46,3425,3425,3618,3618,4567,4567,5708,5708,7135,7135
47,3499,3499,3696,3696,4667,4667,5833,5833,7291,7291
48,3574,3574,3775,3775,4766,4766,5957,5957,7446,7446
49,3648,3648,3854,3854,4865,4865,6081,6081,7601,7601
50,3723,3723,3932,3932,4965,4965,6206,6206,7757,7757
51,3797,3797,4011,4011,5064,5064,6330,6330,7912,7912
52,3872,3872,4090,4090,5163,5163,6453,6453,8066,8066
53,3946,3946,4168,4168,5263,5263,6578,6578,8222,8222
54,4020,4020,4247,4247,5362,5362,6702,6702,8377,8377
55,4095,4095,4326,4326,5461,5461,6826,6826,8532,8532
56,4169,4169,4404,4404,5560,5560,6950,6950,8687,8687
57,4244,4244,4483,4483,5660,5660,7075,7075,8843,8843
58,4318,4318,4562,4562,5759,5759,7198,7198,8997,8997
59,4393,4393,4640,4640,5858,5858,7322,7322,9152,9152
60,4467,4467,4719,4719,5958,5958,7447,7447,9308,9308
61,4542,4542,4798,4798,6057,6057,7571,7571,9463,9463
62,4616,4616,4876,4876,6156,6156,7695,7695,9618,9618
63,4691,4691,4955,4955,6256,6256,7820,7820,9775,9775
64,4765,4765,5034,5034,6355,6355,7943,7943,9928,9928
65,4840,4840,5112,5112,6454,6454,8067,8067,10083,10083
66,4914,4914,5191,5191,6554,6554,8192,8192,10240,10240
67,4989,4989,5270,5270,6653,6653,8316,8316,10395,10395
68,5063,5063,5348,5348,6752,6752,8440,8440,10550,10550
69,5137,5137,5427,5427,6851,6851,8563,8563,10703,10703
70,5212,5212,5505,5505,6951,6951,8688,8688,10860,10860
