level,2min,2max,3min,3max,4min,4max,5min,5max,6min,6max
1,47,47,49,49,69,69,86,86,107,107
2,95,95,99,99,139,139,173,173,216,216
3,143,143,149,149,208,208,260,260,325,325
4,191,191,198,198,278,278,347,347,433,433
5,238,238,248,248,347,347,433,433,541,541
6,286,286,298,298,417,417,521,521,651,651
7,334,334,347,347,486,486,607,607,758,758
8,382,382,397,397,556,556,695,695,868,868
9,430,430,447,447,625,625,781,781,976,976
10,477,477,496,496,695,695,868,868,1085,1085
11,525,525,546,546,764,764,955,955,1193,1193
12,573,573,596,596,834,834,1042,1042,1302,1302
13,621,621,645,645,903,903,1128,1128,1410,1410
14,669,669,695,695,973,973,1216,1216,1520,1520
15,716,716,745,745,1042,1042,1302,1302,1627,1627
16,764,764,794,794,1112,1112,1390,1390,1737,1737
17,812,812,844,844,1181,1181,1476,1476,1845,1845
18,860,860,894,894,1251,1251,1563,1563,1953,1953
19,908,908,943,943,1320,1320,1650,1650,2062,2062
20,955,955,993,993,1390,1390,1737,1737,2171,2171
21,1003,1003,1043,1043,1459,1459,1823,1823,2278,2278
22,1051,1051,1093,1093,1529,1529,1911,1911,2388,2388
23,1099,1099,1142,1142,1598,1598,1997,1997,2496,2496
24,1147,1147,1192,1192,1668,1668,2085,2085,2606,2606
25,1194,1194,1242,1242,1737,1737,2171,2171,2713,2713
26,1242,1242,1291,1291,1807,1807,2258,2258,2822,2822
27,1290,1290,1341,1341,1876,1876,2345,2345,2931,2931
28,1338,1338,1391,1391,1946,1946,2432,2432,3040,3040
29,1385,1385,1440,1440,2015,2015,2518,2518,3147,3147
30,1433,1433,1490,1490,2085,2085,2606,2606,3257,3257
31,1481,1481,1540,1540,2154,2154,2692,2692,3365,3365
32,1529,1529,1589,1589,2224,2224,2780,2780,3475,3475
33,1577,1577,1639,1639,2293,2293,2866,2866,3582,3582
34,1624,1624,1689,1689,2363,2363,2953,2953,3691,3691
35,1672,1672,1738,1738,2432,2432,3040,3040,3800,3800
36,1720,1720,1788,1788,2502,2502,3127,3127,3908,3908
37,1768,1768,1838,1838,2571,2571,3213,3213,4016,4016
38,1816,1816,1887,1887,2641,2641,3301,3301,4126,4126
39,1863,1863,1937,1937,2710,2710,3387,3387,4233,4233
40,1911,1911,1987,1987,2780,2780,3475,3475,4343,4343
41,1959,1959,2036,2036,2849,2849,3561,3561,4451,4451
42,2007,2007,2086,2086,2919,2919,3648,3648,4560,4560
43,2055,2055,2136,2136,2988,2988,3735,3735,4668,4668
44,2102,2102,2186,2186,3058,3058,3822,3822,4777,4777
45,2150,2150,2235,2235,3127,3127,3908,3908,4885,4885
46,2198,2198,2285,2285,3197,3197,3996,3996,4995,4995
47,2246,2246,2335,2335,3266,3266,4082,4082,5102,5102
48,2294,2294,2384,2384,3336,3336,4170,4170,5212,5212
49,2341,2341,2434,2434,3405,3405,4256,4256,5320,5320
50,2389,2389,2484,2484,3475,3475,4343,4343,5428,5428
51,2437,2437,2533,2533,3544,3544,4430,4430,5537,5537
52,2485,2485,2583,2583,3614,3614,4517,4517,5646,5646
53,2532,2532,2633,2633,3683,3683,4603,4603,5753,5753
54,2580,2580,2682,2682,3753,3753,4691,4691,5863,5863
55,2628,2628,2732,2732,3822,3822,4777,4777,5971,5971
56,2676,2676,2782,2782,3892,3892,4865,4865,6081,6081
57,2724,2724,2831,2831,3961,3961,4951,4951,6188,6188
58,2771,2771,2881,2881,4031,4031,5038,5038,6297,6297
59,2819,2819,2931,2931,4100,4100,5125,5125,6406,6406
60,2867,2867,2980,2980,4170,4170,5212,5212,6515,6515
61,2915,2915,3030,3030,4239,4239,5298,5298,6622,6622
62,2963,2963,3080,3080,4309,4309,5386,5386,6732,6732
63,3010,3010,3130,3130,4378,4378,5472,5472,6840,6840
64,3058,3058,3179,3179,4448,4448,5560,5560,6950,6950
65,3106,3106,3229,3229,4517,4517,5646,5646,7057,7057
66,3154,3154,3279,3279,4587,4587,5733,5733,7166,7166
67,3202,3202,3328,3328,4656,4656,5820,5820,7275,7275
68,3249,3249,3378,3378,4726,4726,5907,5907,7383,7383
69,3297,3297,3428,3428,4795,4795,5993,5993,7491,7491
70,3345,3345,3477,3477,4865,4865,6081,6081,7601,7601
