level,2min,2max,3min,3max,4min,4max,5min,5max,6min,6max
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2
4,-1,-1,-1,-1,-1,-1,-1,-2,-1,-2
5,-1,-1,-1,-1,-1,-2,-1,-2,-1,-2
6,-1,-1,-1,-2,-1,-2,-1,-2,-1,-3
7,-1,-2,-1,-2,-1,-2,-1,-3,-1,-3
8,-1,-2,-1,-2,-1,-2,-1,-3,-2,-3
9,-1,-2,-1,-2,-1,-3,-1,-3,-2,-4
10,-1,-2,-1,-2,-1,-3,-2,-3,-2,-4
11,-1,-2,-1,-3,-1,-3,-2,-4,-2,-4
12,-1,-2,-1,-3,-2,-3,-2,-4,-2,-5
13,-1,-2,-1,-3,-2,-4,-2,-4,-2,-5
14,-1,-3,-1,-3,-2,-4,-2,-5,-2,-5
15,-1,-3,-2,-3,-2,-4,-2,-5,-2,-6
16,-1,-3,-2,-4,-2,-4,-2,-5,-3,-6
17,-1,-3,-2,-4,-2,-5,-2,-6,-3,-6
18,-1,-3,-2,-4,-2,-5,-2,-6,-3,-7
19,-1,-3,-2,-4,-2,-5,-3,-6,-3,-7
20,-1,-3,-2,-4,-2,-5,-3,-6,-3,-7
21,-2,-4,-2,-5,-2,-6,-3,-7,-3,-8
22,-2,-4,-2,-5,-2,-6,-3,-7,-3,-8
23,-2,-4,-2,-5,-3,-6,-3,-7,-3,-9
24,-2,-4,-2,-5,-3,-6,-3,-8,-4,-9
25,-2,-4,-2,-5,-3,-7,-3,-8,-4,-9
26,-2,-4,-2,-6,-3,-7,-3,-8,-4,-10
27,-2,-5,-2,-6,-3,-7,-3,-9,-4,-10
28,-2,-5,-2,-6,-3,-7,-4,-9,-4,-10
29,-2,-5,-3,-6,-3,-8,-4,-9,-4,-11
30,-2,-5,-3,-6,-3,-8,-4,-9,-4,-11
31,-2,-5,-3,-7,-3,-8,-4,-10,-5,-11
32,-2,-5,-3,-7,-3,-8,-4,-10,-5,-12
33,-2,-5,-3,-7,-3,-9,-4,-10,-5,-12
34,-2,-6,-3,-7,-4,-9,-4,-11,-5,-12
35,-2,-6,-3,-7,-4,-9,-4,-11,-5,-13
36,-2,-6,-3,-8,-4,-9,-4,-11,-5,-13
37,-2,-6,-3,-8,-4,-10,-5,-12,-5,-13
38,-2,-6,-3,-8,-4,-10,-5,-12,-5,-14
39,-2,-6,-3,-8,-4,-10,-5,-12,-6,-14
40,-2,-6,-3,-8,-4,-10,-5,-12,-6,-14
41,-3,-7,-3,-9,-4,-11,-5,-13,-6,-15
42,-3,-7,-3,-9,-4,-11,-5,-13,-6,-15
43,-3,-7,-4,-9,-4,-11,-5,-13,-6,-16
44,-3,-7,-4,-9,-4,-11,-5,-14,-6,-16
45,-3,-7,-4,-9,-5,-12,-5,-14,-6,-16
46,-3,-7,-4,-10,-5,-12,-6,-14,-6,-17
47,-3,-8,-4,-10,-5,-12,-6,-15,-7,-17
48,-3,-8,-4,-10,-5,-12,-6,-15,-7,-17
49,-3,-8,-4,-10,-5,-13,-6,-15,-7,-18
50,-3,-8,-4,-10,-5,-13,-6,-15,-7,-18
51,-3,-8,-4,-11,-5,-13,-6,-16,-7,-18
52,-3,-8,-4,-11,-5,-13,-6,-16,-7,-19
53,-3,-8,-4,-11,-5,-14,-6,-16,-7,-19
54,-3,-9,-4,-11,-5,-14,-6,-17,-8,-19
55,-3,-9,-4,-11,-5,-14,-7,-17,-8,-20
56,-3,-9,-4,-12,-6,-14,-7,-17,-8,-20
57,-3,-9,-4,-12,-6,-15,-7,-18,-8,-20
58,-3,-9,-5,-12,-6,-15,-7,-18,-8,-21
59,-3,-9,-5,-12,-6,-15,-7,-18,-8,-21
60,-3,-9,-5,-12,-6,-15,-7,-18,-8,-21
61,-4,-10,-5,-13,-6,-16,-7,-19,-8,-22
62,-4,-10,-5,-13,-6,-16,-7,-19,-9,-22
63,-4,-10,-5,-13,-6,-16,-7,-19,-9,-23
64,-4,-10,-5,-13,-6,-16,-8,-20,-9,-23
65,-4,-10,-5,-13,-6,-17,-8,-20,-9,-23
66,-4,-10,-5,-14,-6,-17,-8,-20,-9,-24
67,-4,-11,-5,-14,-7,-17,-8,-21,-9,-24
68,-4,-11,-5,-14,-7,-17,-8,-21,-9,-24
69,-4,-11,-5,-14,-7,-18,-8,-21,-9,-25
70,-4,-11,-5,-14,-7,-18,-8,-21,-10,-25
