level,uncMin,uncMax,rareMin,rareMax,epicMin,epicMax,legMin,legMax,artMin,artMax
1,1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1,2
3,1,2,1,2,1,2,1,2,1,2
4,1,2,1,2,1,2,2,2,2,2
5,1,2,1,2,2,2,2,2,2,3
6,1,2,1,2,2,2,2,3,2,3
7,1,2,2,2,2,3,2,3,2,3
8,1,2,2,2,2,3,2,3,3,3
9,1,2,2,2,2,3,2,3,3,3
10,1,2,2,2,2,3,3,3,3,4
11,1,2,2,3,2,3,3,4,3,4
12,1,2,2,3,3,3,3,4,3,4
13,1,2,2,3,3,3,3,4,4,4
14,2,2,2,3,3,4,3,4,4,5
15,2,2,2,3,3,4,4,4,4,5
16,2,2,2,3,3,4,4,4,4,5
17,2,2,3,3,3,4,4,5,5,5
18,2,2,3,3,4,4,4,5,5,5
19,2,2,3,3,4,4,4,5,5,6
20,2,2,3,3,4,4,4,5,5,6
21,2,3,3,4,4,5,5,5,5,6
22,2,3,3,4,4,5,5,6,6,6
23,2,3,3,4,4,5,5,6,6,6
24,2,3,3,4,4,5,5,6,6,7
25,2,3,3,4,5,5,5,6,6,7
26,2,3,3,4,5,5,6,6,6,7
27,2,3,4,4,5,6,6,6,7,7
28,2,3,4,4,5,6,6,7,7,8
29,2,3,4,4,5,6,6,7,7,8
30,2,3,4,4,5,6,6,7,7,8
31,2,3,4,5,5,6,7,7,8,9
32,2,3,4,5,6,6,7,7,8,9
33,2,3,4,5,6,6,7,8,8,9
34,3,3,4,5,6,7,7,8,9,9
35,3,3,4,5,6,7,7,8,9,9
36,3,3,4,5,6,7,7,8,9,10
37,3,3,5,5,6,7,8,9,9,10
38,3,3,5,5,7,7,8,9,9,10
39,3,3,5,5,7,7,8,9,10,10
40,3,3,5,5,7,7,8,9,10,10
41,3,4,5,6,7,8,9,9,10,11
42,3,4,5,6,7,8,9,10,10,11
43,3,4,5,6,7,8,9,10,10,11
44,3,4,5,6,7,8,9,10,11,11
45,3,4,5,6,8,9,9,10,11,12
46,3,4,5,6,8,9,10,10,11,12
47,3,4,6,6,8,9,10,10,11,12
48,3,4,6,6,8,9,10,11,12,12
49,3,4,6,6,9,9,10,11,12,12
50,3,4,6,6,9,9,10,11,12,13
51,3,4,6,7,9,9,11,11,12,13
52,3,4,6,7,9,10,11,11,12,13
53,3,4,6,7,9,10,11,12,13,13
54,4,4,6,7,9,10,11,12,13,14
55,4,4,6,7,9,10,11,12,13,14
56,4,4,6,7,10,10,11,12,13,14
57,4,4,7,7,10,10,12,12,14,14
58,4,4,7,7,10,11,12,12,14,14
59,4,4,7,7,10,11,12,13,14,15
60,4,4,7,7,10,11,12,13,14,15
61,4,5,7,8,10,11,12,13,14,15
62,4,5,7,8,10,11,13,13,15,16
63,4,5,7,8,11,11,13,13,15,16
64,4,5,7,8,11,11,13,14,15,16
65,4,5,7,8,11,12,13,14,16,16
66,4,5,7,8,11,12,13,14,16,16
67,4,5,8,9,11,12,13,14,16,17
68,4,5,8,9,11,12,14,14,16,17
69,4,5,8,9,12,12,14,14,16,17
70,4,5,8,9,12,12,14,15,17,17
