level,2min,2max,3min,3max,4min,4max,5min,5max,6min,6max
1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1,1,2
4,1,1,1,1,1,1,1,2,2,2
5,1,1,1,1,1,2,2,2,2,2
6,1,1,1,2,2,2,2,2,2,3
7,1,2,2,2,2,2,2,3,3,3
8,1,2,2,2,2,2,2,3,3,3
9,1,2,2,2,2,3,3,3,3,4
10,1,2,2,2,2,3,3,3,3,4
11,2,2,2,3,3,3,3,4,4,4
12,2,2,2,3,3,3,3,4,4,5
13,2,2,2,3,3,4,4,4,4,5
14,2,3,3,3,3,4,4,5,5,5
15,2,3,3,3,3,4,4,5,5,6
16,2,3,3,4,4,4,4,5,5,6
17,2,3,3,4,4,5,5,6,6,6
18,2,3,3,4,4,5,5,6,6,7
19,2,3,3,4,4,5,5,6,6,7
20,2,3,3,4,4,5,5,6,6,7
21,3,4,4,5,5,6,6,7,7,8
22,3,4,4,5,5,6,6,7,7,8
23,3,4,4,5,5,6,6,7,7,9
24,3,4,4,5,5,6,6,8,8,9
25,3,4,4,5,5,7,7,8,8,9
26,3,4,4,6,6,7,7,8,8,10
27,3,5,5,6,6,7,7,9,9,10
28,3,5,5,6,6,7,7,9,9,10
29,3,5,5,6,6,8,8,9,9,11
30,3,5,5,6,6,8,8,9,9,11
31,4,5,5,7,7,8,8,10,10,11
32,4,5,5,7,7,8,8,10,10,12
33,4,5,5,7,7,9,9,10,10,12
34,4,6,6,7,7,9,9,11,11,12
35,4,6,6,7,7,9,9,11,11,13
36,4,6,6,8,8,9,9,11,11,13
37,4,6,6,8,8,10,10,12,12,13
38,4,6,6,8,8,10,10,12,12,14
39,4,6,6,8,8,10,10,12,12,14
40,4,6,6,8,8,10,10,12,12,14
41,5,7,7,9,9,11,11,13,13,15
42,5,7,7,9,9,11,11,13,13,15
43,5,7,7,9,9,11,11,13,13,16
44,5,7,7,9,9,11,11,14,14,16
45,5,7,7,9,9,12,12,14,14,16
46,5,7,7,10,10,12,12,14,14,17
47,5,8,8,10,10,12,12,15,15,17
48,5,8,8,10,10,12,12,15,15,17
49,5,8,8,10,10,13,13,15,15,18
50,5,8,8,10,10,13,13,15,15,18
51,6,8,8,11,11,13,13,16,16,18
52,6,8,8,11,11,13,13,16,16,19
53,6,8,8,11,11,14,14,16,16,19
54,6,9,9,11,11,14,14,17,17,19
55,6,9,9,11,11,14,14,17,17,20
56,6,9,9,12,12,14,14,17,17,20
57,6,9,9,12,12,15,15,18,18,20
58,6,9,9,12,12,15,15,18,18,21
59,6,9,9,12,12,15,15,18,18,21
60,6,9,9,12,12,15,15,18,18,21
61,7,10,10,13,13,16,16,19,19,22
62,7,10,10,13,13,16,16,19,19,22
63,7,10,10,13,13,16,16,19,19,23
64,7,10,10,13,13,16,16,20,20,23
65,7,10,10,13,13,17,17,20,20,23
66,7,10,10,14,14,17,17,20,20,24
67,7,11,11,14,14,17,17,21,21,24
68,7,11,11,14,14,17,17,21,21,24
69,7,11,11,14,14,18,18,21,21,25
70,7,11,11,14,14,18,18,21,21,25
