level,uncMin,uncMax,rareMin,rareMax,epicMin,epicMax,legMin,legMax,artMin,artMax
1,1,6,2,7,2,7,3,8,3,8
2,2,7,3,8,4,9,5,10,5,10
3,3,8,5,10,6,11,7,12,8,13
4,4,9,6,11,8,13,9,14,10,15
5,5,10,8,13,10,15,12,17,13,18
6,6,11,9,14,12,17,14,19,15,20
7,7,12,11,16,14,19,16,21,18,23
8,8,13,12,17,16,21,18,23,20,25
9,9,14,14,19,18,23,21,26,23,28
10,10,15,15,20,20,25,23,28,25,30
11,11,16,17,22,22,27,25,30,28,33
12,12,17,18,23,24,29,27,32,30,35
13,13,18,20,25,26,31,30,35,33,38
14,14,19,21,26,28,33,32,37,35,40
15,15,20,23,28,30,35,34,39,38,43
16,16,21,24,29,32,37,36,41,40,45
17,17,22,26,31,34,39,39,44,43,48
18,18,23,27,32,36,41,41,46,45,50
19,19,24,29,34,38,43,43,48,48,53
20,20,25,30,35,40,45,45,50,50,55
21,21,26,32,37,42,47,48,53,53,58
22,22,27,33,38,44,49,50,55,55,60
23,23,28,35,40,46,51,52,57,58,63
24,24,29,36,41,48,53,54,59,60,65
25,25,30,38,43,50,55,57,62,63,68
26,26,31,39,44,52,57,59,64,65,70
27,27,32,41,46,54,59,61,66,68,73
28,28,33,42,47,56,61,63,68,70,75
29,29,34,44,49,58,63,66,71,73,78
30,30,35,45,50,60,65,68,73,75,80
31,31,36,47,52,62,67,70,75,78,83
32,32,37,48,53,64,69,72,77,80,85
33,33,38,50,55,66,71,75,80,83,88
34,34,39,51,56,68,73,77,82,85,90
35,35,40,53,58,70,75,79,84,88,93
36,36,41,54,59,72,77,81,86,90,95
37,37,42,56,61,74,79,84,89,93,98
38,38,43,57,62,76,81,86,91,95,100
39,39,44,59,64,78,83,88,93,98,103
40,40,45,60,65,80,85,90,95,100,105
41,41,46,62,67,82,87,93,98,103,108
42,42,47,63,68,84,89,95,100,105,110
43,43,48,65,70,86,91,97,102,108,113
44,44,49,66,71,88,93,99,104,110,115
45,45,50,68,73,90,95,102,107,113,118
46,46,51,69,74,92,97,104,109,115,120
47,47,52,71,76,94,99,106,111,118,123
48,48,53,72,77,96,101,108,113,120,125
49,49,54,74,79,98,103,111,116,123,128
50,50,55,75,80,100,105,113,118,125,130
51,51,56,77,82,102,107,115,120,128,133
52,52,57,78,83,104,109,117,122,130,135
53,53,58,80,85,106,111,120,125,133,138
54,54,59,81,86,108,113,122,127,135,140
55,55,60,83,88,110,115,124,129,138,143
56,56,61,84,89,112,117,126,131,140,145
57,57,62,86,91,114,119,129,134,143,148
58,58,63,87,92,116,121,131,136,145,150
59,59,64,89,94,118,123,133,138,148,153
60,60,65,90,95,120,125,135,140,150,155
61,61,66,92,97,122,127,138,143,153,158
62,62,67,93,98,124,129,140,145,155,160
63,63,68,95,100,126,131,142,147,158,163
64,64,69,96,101,128,133,144,149,160,165
65,65,70,98,103,130,135,147,152,163,168
66,66,71,99,104,132,137,149,154,165,170
67,67,72,101,106,134,139,151,156,168,173
68,68,73,102,107,136,141,153,158,170,175
69,69,74,104,109,138,143,156,161,173,178
70,70,75,105,110,140,145,158,163,175,180
