level,uncMin,uncMax,rareMin,rareMax,epicMin,epicMax,legMin,legMax,artMin,artMax
1,1,3,1,3,1,3,2,3,2,3
2,1,3,2,3,2,4,2,4,2,4
3,2,3,2,4,3,4,3,5,3,5
4,2,4,3,4,3,5,4,5,4,6
5,2,4,3,5,4,6,5,6,5,7
6,3,4,4,5,5,6,5,7,6,7
7,3,5,4,6,5,7,6,8,7,9
8,3,5,5,6,6,8,7,9,7,9
9,4,5,5,7,7,9,8,10,9,10
10,4,6,6,7,7,9,9,10,9,11
11,4,6,6,8,8,10,9,11,10,12
12,5,6,7,9,9,11,10,12,11,13
13,5,7,7,9,10,11,11,13,12,14
14,5,7,8,10,10,12,12,13,13,14
15,6,7,9,10,11,13,12,14,14,16
16,6,8,9,11,12,13,13,15,14,16
17,6,8,10,11,12,14,14,16,16,17
18,7,9,10,12,13,15,15,17,16,18
19,7,9,11,12,14,16,16,17,17,19
20,7,9,11,13,14,16,16,18,18,20
21,8,10,12,13,15,17,17,19,19,21
22,8,10,12,14,16,18,18,20,20,21
23,9,10,13,14,17,18,19,20,21,23
24,9,11,13,15,17,19,19,21,21,23
25,9,11,14,16,18,20,20,22,23,24
26,10,11,14,16,19,20,21,23,23,25
27,10,12,15,17,19,21,22,24,24,26
28,10,12,15,17,20,22,23,24,25,27
29,11,12,16,18,21,23,24,25,26,28
30,11,13,16,18,21,23,24,26,27,28
31,11,13,17,19,22,24,25,27,28,30
32,12,13,17,19,23,25,26,27,28,30
33,12,14,18,20,24,25,27,28,30,31
34,12,14,18,20,24,26,27,29,30,32
35,13,14,19,21,25,27,28,30,31,33
36,13,15,19,21,26,27,29,31,32,34
37,13,15,20,22,26,28,30,32,33,35
38,14,16,20,22,27,29,31,32,34,35
39,14,16,21,23,28,30,31,33,35,37
40,14,16,21,23,28,30,32,34,35,37
41,15,17,22,24,29,31,33,35,37,38
42,15,17,23,24,30,32,34,35,37,39
43,16,17,23,25,31,32,34,36,38,40
44,16,18,24,25,31,33,35,37,39,41
45,16,18,24,26,32,34,36,38,40,42
46,17,18,25,26,33,34,37,39,41,42
47,17,19,25,27,33,35,38,39,42,44
48,17,19,26,27,34,36,38,40,42,44
49,18,19,26,28,35,37,39,41,44,45
50,18,20,27,28,35,37,40,42,44,46
51,18,20,27,29,36,38,41,42,45,47
52,19,20,28,30,37,39,41,43,46,48
53,19,21,28,30,38,39,42,44,47,49
54,19,21,29,31,38,40,43,45,48,49
55,20,21,30,31,39,41,44,46,49,51
56,20,22,30,32,40,41,45,46,49,51
57,20,22,31,32,40,42,46,47,51,52
58,21,23,31,33,41,43,46,48,51,53
59,21,23,32,33,42,44,47,49,52,54
60,21,23,32,34,42,44,48,49,53,55
61,22,24,33,34,43,45,49,51,54,56
62,22,24,33,35,44,46,49,51,55,56
63,23,24,34,35,45,46,50,52,56,58
64,23,25,34,36,45,47,51,53,56,58
65,23,25,35,37,46,48,52,54,58,59
66,24,25,35,37,47,48,53,54,58,60
67,24,26,36,38,47,49,53,55,59,61
68,24,26,36,38,48,50,54,56,60,62
69,25,26,37,39,49,51,55,57,61,63
70,25,27,37,39,49,51,56,58,62,63
