level,uncMin,uncMax,rareMin,rareMax,epicMin,epicMax,legMin,legMax,artMin,artMax
1,1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1,2
3,1,2,1,2,1,2,1,2,1,2
4,1,2,1,2,1,2,1,2,1,2
5,1,2,1,2,1,2,1,2,1,2
6,1,2,1,2,1,2,1,2,2,3
7,1,2,1,2,1,2,2,3,2,3
8,1,2,1,2,1,2,2,3,2,3
9,1,2,1,2,2,3,2,3,2,3
10,1,2,1,2,2,3,2,3,2,3
11,1,2,2,3,2,3,2,3,2,3
12,1,2,2,3,2,3,2,3,3,4
13,1,2,2,3,2,3,2,3,3,4
14,2,3,2,3,2,3,3,4,3,4
15,2,3,2,3,2,3,3,4,3,4
16,2,3,2,3,2,3,3,4,3,4
17,2,3,2,3,3,4,3,4,3,4
18,2,3,2,3,3,4,3,4,4,5
19,2,3,2,3,3,4,3,4,4,5
20,2,3,2,3,3,4,3,4,4,5
21,2,3,3,4,3,4,4,5,4,5
22,2,3,3,4,3,4,4,5,4,5
23,2,3,3,4,3,4,4,5,5,6
24,2,3,3,4,3,4,4,5,5,6
25,2,3,3,4,4,5,4,5,5,6
26,2,3,3,4,4,5,4,5,5,6
27,3,4,3,4,4,5,5,6,5,6
28,3,4,3,4,4,5,5,6,5,6
29,3,4,3,4,4,5,5,6,6,7
30,3,4,3,4,4,5,5,6,6,7
31,3,4,4,5,4,5,5,6,6,7
32,3,4,4,5,4,5,5,6,6,7
33,3,4,4,5,5,6,5,6,6,7
34,3,4,4,5,5,6,6,7,6,7
35,3,4,4,5,5,6,6,7,7,8
36,3,4,4,5,5,6,6,7,7,8
37,3,4,4,5,5,6,6,7,7,8
38,3,4,4,5,5,6,6,7,7,8
39,3,4,4,5,5,6,6,7,7,8
40,3,4,4,5,5,6,6,7,7,8
41,4,5,5,6,6,7,7,8,8,9
42,4,5,5,6,6,7,7,8,8,9
43,4,5,5,6,6,7,7,8,8,9
44,4,5,5,6,6,7,7,8,8,9
45,4,5,5,6,6,7,7,8,8,9
46,4,5,5,6,6,7,7,8,9,10
47,4,5,5,6,6,7,8,9,9,10
48,4,5,5,6,6,7,8,9,9,10
49,4,5,5,6,7,8,8,9,9,10
50,4,5,5,6,7,8,8,9,9,10
51,4,5,6,7,7,8,8,9,9,10
52,4,5,6,7,7,8,8,9,10,11
53,4,5,6,7,7,8,8,9,10,11
54,5,6,6,7,7,8,9,10,10,11
55,5,6,6,7,7,8,9,10,10,11
56,5,6,6,7,7,8,9,10,10,11
57,5,6,6,7,8,9,9,10,10,11
58,5,6,6,7,8,9,9,10,11,12
59,5,6,6,7,8,9,9,10,11,12
60,5,6,6,7,8,9,9,10,11,12
61,5,6,7,8,8,9,10,11,11,12
62,5,6,7,8,8,9,10,11,11,12
63,5,6,7,8,8,9,10,11,12,13
64,5,6,7,8,8,9,10,11,12,13
65,5,6,7,8,9,10,10,11,12,13
66,5,6,7,8,9,10,10,11,12,13
67,6,7,7,8,9,10,11,12,12,13
68,6,7,7,8,9,10,11,12,12,13
69,6,7,7,8,9,10,11,12,13,14
70,6,7,7,8,9,10,11,12,13,14
