level,2min,2max,3min,3max,4min,4max,5min,5max,6min,6max
1,1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1,2
3,1,2,1,2,1,2,1,3,1,3
4,1,2,1,2,1,3,1,3,2,3
5,1,2,1,3,1,3,2,3,2,3
6,1,3,1,3,2,3,2,4,2,4
7,1,3,2,3,2,4,2,4,3,4
8,1,3,2,3,2,4,2,4,3,5
9,1,3,2,4,2,4,3,5,3,5
10,1,3,2,4,2,4,3,5,3,5
11,2,4,2,4,3,5,3,5,4,6
12,2,4,2,4,3,5,3,6,4,6
13,2,4,2,5,3,5,4,6,4,7
14,2,4,3,5,3,6,4,6,5,7
15,2,4,3,5,3,6,4,7,5,7
16,2,5,3,5,4,6,4,7,5,8
17,2,5,3,6,4,7,5,7,6,8
18,2,5,3,6,4,7,5,8,6,9
19,2,5,3,6,4,7,5,8,6,9
20,2,5,3,6,4,7,5,8,6,9
21,3,6,4,7,5,8,6,9,7,10
22,3,6,4,7,5,8,6,9,7,10
23,3,6,4,7,5,8,6,10,7,11
24,3,6,4,7,5,9,6,10,8,11
25,3,6,4,8,5,9,7,10,8,11
26,3,7,4,8,6,9,7,11,8,12
27,3,7,5,8,6,10,7,11,9,12
28,3,7,5,8,6,10,7,11,9,13
29,3,7,5,9,6,10,8,12,9,13
30,3,7,5,9,6,10,8,12,9,13
31,4,8,5,9,7,11,8,12,10,14
32,4,8,5,9,7,11,8,13,10,14
33,4,8,5,10,7,11,9,13,10,15
34,4,8,6,10,7,12,9,13,11,15
35,4,8,6,10,7,12,9,14,11,15
36,4,9,6,10,8,12,9,14,11,16
37,4,9,6,11,8,13,10,14,12,16
38,4,9,6,11,8,13,10,15,12,17
39,4,9,6,11,8,13,10,15,12,17
40,4,9,6,11,8,13,10,15,12,17
41,5,10,7,12,9,14,11,16,13,18
42,5,10,7,12,9,14,11,16,13,18
43,5,10,7,12,9,14,11,17,13,19
44,5,10,7,12,9,15,11,17,14,19
45,5,10,7,13,9,15,12,17,14,19
46,5,11,7,13,10,15,12,18,14,20
47,5,11,8,13,10,16,12,18,15,20
48,5,11,8,13,10,16,12,18,15,21
49,5,11,8,14,10,16,13,19,15,21
50,5,11,8,14,10,16,13,19,15,21
51,6,12,8,14,11,17,13,19,16,22
52,6,12,8,14,11,17,13,20,16,22
53,6,12,8,15,11,17,14,20,16,23
54,6,12,9,15,11,18,14,20,17,23
55,6,12,9,15,11,18,14,21,17,23
56,6,13,9,15,12,18,14,21,17,24
57,6,13,9,16,12,19,15,21,18,24
58,6,13,9,16,12,19,15,22,18,25
59,6,13,9,16,12,19,15,22,18,25
60,6,13,9,16,12,19,15,22,18,25
61,7,14,10,17,13,20,16,23,19,26
62,7,14,10,17,13,20,16,23,19,26
63,7,14,10,17,13,20,16,24,19,27
64,7,14,10,17,13,21,16,24,20,27
65,7,14,10,18,13,21,17,24,20,27
66,7,15,10,18,14,21,17,25,20,28
67,7,15,11,18,14,22,17,25,21,28
68,7,15,11,18,14,22,17,25,21,29
69,7,15,11,19,14,22,18,26,21,29
70,7,15,11,19,14,22,18,26,21,29
