level,2min,2max,3min,3max,4min,4max,5min,5max,6min,6max
1,0,0,0,0,0,0,1,1,1,1
2,0,0,0,0,1,1,1,1,1,1
3,0,0,1,1,1,1,1,1,1,1
4,1,1,1,1,2,2,2,2,2,2
5,1,1,2,2,3,3,3,3,3,3
6,1,1,2,2,3,3,3,3,3,3
7,2,2,3,3,4,4,5,5,6,6
8,2,2,3,3,4,4,5,5,6,6
9,2,2,4,4,5,5,6,6,7,7
10,3,3,4,4,6,6,7,7,8,8
11,3,3,5,5,6,6,7,7,8,8
12,3,3,5,5,7,7,8,8,10,10
13,4,4,6,6,8,8,10,10,12,12
14,4,4,6,6,8,8,10,10,12,12
15,4,4,7,7,9,9,11,11,13,13
16,5,5,7,7,9,9,11,11,13,13
17,5,5,8,8,10,10,12,12,15,15
18,5,5,8,8,11,11,13,13,16,16
19,5,5,9,9,11,11,13,13,16,16
20,6,6,9,9,12,12,15,15,18,18
21,6,6,9,9,13,13,16,16,20,20
22,6,6,10,10,13,13,16,16,20,20
23,7,7,10,10,14,14,17,17,21,21
24,7,7,11,11,14,14,17,17,21,21
25,7,7,11,11,15,15,18,18,22,22
26,8,8,12,12,16,16,20,20,25,25
27,8,8,12,12,16,16,20,20,25,25
28,8,8,13,13,17,17,21,21,26,26
29,9,9,13,13,17,17,21,21,26,26
30,9,9,14,14,18,18,22,22,27,27
31,9,9,14,14,19,19,23,23,28,28
32,10,10,15,15,19,19,23,23,28,28
33,10,10,15,15,20,20,25,25,31,31
34,10,10,16,16,21,21,26,26,32,32
35,11,11,16,16,21,21,26,26,32,32
36,11,11,17,17,22,22,27,27,33,33
37,11,11,17,17,22,22,27,27,33,33
38,11,11,18,18,23,23,28,28,35,35
39,12,12,18,18,24,24,30,30,37,37
40,12,12,18,18,24,24,30,30,37,37
41,12,12,19,19,25,25,31,31,38,38
42,13,13,19,19,26,26,32,32,40,40
43,13,13,20,20,26,26,32,32,40,40
44,13,13,20,20,27,27,33,33,41,41
45,14,14,21,21,27,27,33,33,41,41
46,14,14,21,21,28,28,35,35,43,43
47,14,14,22,22,29,29,36,36,45,45
48,15,15,22,22,29,29,36,36,45,45
49,15,15,23,23,30,30,37,37,46,46
50,15,15,23,23,30,30,37,37,46,46
51,16,16,24,24,31,31,38,38,47,47
52,16,16,24,24,32,32,40,40,50,50
53,16,16,25,25,32,32,40,40,50,50
54,17,17,25,25,33,33,41,41,51,51
55,17,17,26,26,34,34,42,42,52,52
56,17,17,26,26,34,34,42,42,52,52
57,17,17,27,27,35,35,43,43,53,53
58,18,18,27,27,35,35,43,43,53,53
59,18,18,27,27,36,36,45,45,56,56
60,18,18,28,28,37,37,46,46,57,57
61,19,19,28,28,37,37,46,46,57,57
62,19,19,29,29,38,38,47,47,58,58
63,19,19,29,29,39,39,48,48,60,60
64,20,20,30,30,39,39,48,48,60,60
65,20,20,30,30,40,40,50,50,62,62
66,20,20,31,31,40,40,50,50,62,62
67,21,21,31,31,41,41,51,51,63,63
68,21,21,32,32,42,42,52,52,65,65
69,21,21,32,32,42,42,52,52,65,65
70,22,22,33,33,43,43,53,53,66,66
