level,2min,2max,3min,3max,4min,4max,5min,5max,6min,6max
1,1,3,2,3,2,4,2,5,2,6
2,1,3,2,3,2,4,2,5,2,6
3,2,4,3,5,3,6,3,7,3,8
4,3,6,4,7,5,8,6,9,7,12
5,4,7,5,9,6,10,7,12,8,14
6,5,9,6,10,7,12,8,14,9,17
7,6,11,7,12,8,14,9,16,12,20
8,7,12,8,14,10,16,12,18,14,23
9,8,14,9,16,11,19,13,22,15,26
10,9,15,10,18,12,21,14,24,17,30
11,10,17,11,19,13,23,15,26,18,32
12,11,18,12,21,15,25,17,29,21,36
13,12,20,13,23,16,27,18,31,23,38
14,13,22,15,25,17,29,20,33,24,41
15,14,23,16,27,18,31,21,36,25,44
16,14,25,17,28,20,33,23,38,29,47
17,15,26,18,30,21,35,24,40,30,49
18,16,28,19,32,22,38,25,44,31,54
19,17,29,20,34,24,40,28,46,35,58
20,18,31,21,36,25,42,29,48,36,60
21,19,33,22,37,26,44,30,51,37,63
22,20,34,23,39,27,46,31,53,38,66
23,21,36,24,41,29,48,33,55,41,69
24,22,37,25,43,30,50,35,58,43,71
25,23,39,26,45,31,52,36,60,44,75
26,24,40,27,46,32,55,37,63,46,78
27,25,42,29,48,34,57,39,66,48,82
28,26,44,30,50,35,59,40,68,49,84
29,27,45,31,52,36,61,41,70,52,87
30,28,47,32,54,37,63,43,72,53,90
31,29,48,33,55,39,65,45,75,55,93
32,29,50,34,57,40,67,46,77,58,95
33,30,52,35,59,41,69,47,79,59,99
34,31,53,36,61,42,71,48,82,60,101
35,32,55,37,63,44,74,51,85,63,106
36,33,56,38,64,45,76,52,87,64,109
37,34,58,39,66,46,78,53,90,66,112
38,35,59,40,68,48,80,55,92,69,115
39,36,61,41,70,49,82,56,94,70,117
40,37,63,42,72,50,84,58,97,71,121
41,38,64,44,73,51,86,59,99,72,123
42,39,66,45,75,53,88,61,101,76,127
43,40,67,46,77,54,91,62,105,77,130
44,41,69,47,79,55,93,63,107,78,133
45,42,70,48,81,56,95,64,109,81,136
46,43,72,49,82,58,97,67,112,83,139
47,43,74,50,84,59,99,68,114,84,141
48,44,75,51,86,60,101,69,116,86,145
49,45,77,52,88,61,103,70,118,87,147
50,46,78,53,90,63,105,72,121,90,151
51,47,80,54,92,64,107,74,123,92,153
52,48,81,55,93,65,110,75,127,93,158
53,49,83,56,95,66,112,76,129,94,161
54,50,85,58,97,68,114,78,131,98,163
55,51,86,59,99,69,116,79,133,99,167
56,52,88,60,101,70,118,81,136,100,169
57,53,89,61,102,72,120,83,138,104,173
58,54,91,62,104,73,122,84,140,105,175
59,55,92,63,106,74,124,85,143,106,178
60,56,94,64,108,75,127,86,146,107,182
61,57,96,65,110,77,129,89,148,110,185
62,58,97,66,111,78,131,90,151,112,187
63,58,99,67,113,79,133,91,153,113,191
64,59,100,68,115,80,135,92,155,115,193
65,60,102,69,117,82,137,94,158,117,197
66,61,104,70,119,83,139,95,160,118,199
67,62,105,71,120,84,141,97,162,121,202
68,63,107,73,122,85,143,98,164,122,205
69,64,108,74,124,87,146,100,168,124,209
70,65,110,75,126,88,148,101,170,127,213
