level,2min,2max,3min,3max,4min,4max,5min,5max,6min,6max
1,61,61,73,73,100,100,125,125,156,156
2,122,122,146,146,201,201,251,251,313,313
3,183,183,219,219,301,301,376,376,470,470
4,244,244,292,292,402,402,502,502,627,627
5,305,305,365,365,503,503,628,628,785,785
6,366,366,438,438,603,603,753,753,941,941
7,427,427,511,511,704,704,880,880,1100,1100
8,488,488,584,584,805,805,1006,1006,1257,1257
9,549,549,657,657,905,905,1131,1131,1413,1413
10,610,610,730,730,1006,1006,1257,1257,1571,1571
11,671,671,803,803,1107,1107,1383,1383,1728,1728
12,732,732,876,876,1207,1207,1508,1508,1885,1885
13,793,793,949,949,1308,1308,1635,1635,2043,2043
14,854,854,1022,1022,1409,1409,1761,1761,2201,2201
15,915,915,1095,1095,1509,1509,1886,1886,2357,2357
16,976,976,1168,1168,1610,1610,2012,2012,2515,2515
17,1037,1037,1241,1241,1711,1711,2138,2138,2672,2672
18,1098,1098,1314,1314,1811,1811,2263,2263,2828,2828
19,1159,1159,1388,1388,1912,1912,2390,2390,2987,2987
20,1220,1220,1461,1461,2013,2013,2516,2516,3145,3145
21,1282,1282,1534,1534,2113,2113,2641,2641,3301,3301
22,1343,1343,1607,1607,2214,2214,2767,2767,3458,3458
23,1404,1404,1680,1680,2314,2314,2892,2892,3615,3615
24,1465,1465,1753,1753,2415,2415,3018,3018,3772,3772
25,1526,1526,1826,1826,2516,2516,3145,3145,3931,3931
26,1587,1587,1899,1899,2616,2616,3270,3270,4087,4087
27,1648,1648,1972,1972,2717,2717,3396,3396,4245,4245
28,1709,1709,2045,2045,2818,2818,3522,3522,4402,4402
29,1770,1770,2118,2118,2918,2918,3647,3647,4558,4558
30,1831,1831,2191,2191,3019,3019,3773,3773,4716,4716
31,1892,1892,2264,2264,3120,3120,3900,3900,4875,4875
32,1953,1953,2337,2337,3220,3220,4025,4025,5031,5031
33,2014,2014,2410,2410,3321,3321,4151,4151,5188,5188
34,2075,2075,2483,2483,3422,3422,4277,4277,5346,5346
35,2136,2136,2556,2556,3522,3522,4402,4402,5502,5502
36,2197,2197,2629,2629,3623,3623,4528,4528,5660,5660
37,2258,2258,2702,2702,3724,3724,4655,4655,5818,5818
38,2319,2319,2776,2776,3824,3824,4780,4780,5975,5975
39,2380,2380,2849,2849,3925,3925,4906,4906,6132,6132
40,2441,2441,2922,2922,4026,4026,5032,5032,6290,6290
41,2502,2502,2995,2995,4126,4126,5157,5157,6446,6446
42,2564,2564,3068,3068,4227,4227,5283,5283,6603,6603
43,2625,2625,3141,3141,4328,4328,5410,5410,6762,6762
44,2686,2686,3214,3214,4428,4428,5535,5535,6918,6918
45,2747,2747,3287,3287,4529,4529,5661,5661,7076,7076
46,2808,2808,3360,3360,4629,4629,5786,5786,7232,7232
47,2869,2869,3433,3433,4730,4730,5912,5912,7390,7390
48,2930,2930,3506,3506,4831,4831,6038,6038,7547,7547
49,2991,2991,3579,3579,4931,4931,6163,6163,7703,7703
50,3052,3052,3652,3652,5032,5032,6290,6290,7862,7862
51,3113,3113,3725,3725,5133,5133,6416,6416,8020,8020
52,3174,3174,3798,3798,5233,5233,6541,6541,8176,8176
53,3235,3235,3871,3871,5334,5334,6667,6667,8333,8333
54,3296,3296,3944,3944,5435,5435,6793,6793,8491,8491
55,3357,3357,4017,4017,5535,5535,6918,6918,8647,8647
56,3418,3418,4091,4091,5636,5636,7045,7045,8806,8806
57,3479,3479,4164,4164,5737,5737,7171,7171,8963,8963
58,3540,3540,4237,4237,5837,5837,7296,7296,9120,9120
59,3601,3601,4310,4310,5938,5938,7422,7422,9277,9277
60,3662,3662,4383,4383,6039,6039,7548,7548,9435,9435
61,3723,3723,4456,4456,6139,6139,7673,7673,9591,9591
62,3784,3784,4529,4529,6240,6240,7800,7800,9750,9750
63,3846,3846,4602,4602,6341,6341,7926,7926,9907,9907
64,3907,3907,4675,4675,6441,6441,8051,8051,10063,10063
65,3968,3968,4748,4748,6542,6542,8177,8177,10221,10221
66,4029,4029,4821,4821,6643,6643,8303,8303,10378,10378
67,4090,4090,4894,4894,6743,6743,8428,8428,10535,10535
68,4151,4151,4967,4967,6844,6844,8555,8555,10693,10693
69,4212,4212,5040,5040,6944,6944,8680,8680,10850,10850
70,4273,4273,5113,5113,7045,7045,8806,8806,11007,11007
