level,2min,2max,3min,3max,4min,4max,5min,5max,6min,6max
1,0,0,0,0,0,0,1,1,1,1
2,0,0,0,0,1,1,1,1,1,1
3,0,0,1,1,1,1,1,1,1,1
4,1,1,1,1,2,2,2,2,2,2
5,1,1,2,2,3,3,3,3,3,3
6,1,1,2,2,3,3,3,3,3,3
7,2,2,2,2,4,4,5,5,6,6
8,2,2,3,3,5,5,6,6,7,7
9,2,2,3,3,5,5,6,6,7,7
10,2,2,4,4,6,6,7,7,8,8
11,3,3,4,4,7,7,8,8,10,10
12,3,3,5,5,7,7,8,8,10,10
13,3,3,5,5,8,8,10,10,12,12
14,4,4,5,5,8,8,10,10,12,12
15,4,4,6,6,9,9,11,11,13,13
16,4,4,6,6,10,10,12,12,15,15
17,4,4,7,7,10,10,12,12,15,15
18,5,5,7,7,11,11,13,13,16,16
19,5,5,8,8,12,12,15,15,18,18
20,5,5,8,8,12,12,15,15,18,18
21,6,6,8,8,13,13,16,16,20,20
22,6,6,9,9,14,14,17,17,21,21
23,6,6,9,9,14,14,17,17,21,21
24,6,6,10,10,15,15,18,18,22,22
25,7,7,10,10,15,15,18,18,22,22
26,7,7,11,11,16,16,20,20,25,25
27,7,7,11,11,17,17,21,21,26,26
28,8,8,11,11,17,17,21,21,26,26
29,8,8,12,12,18,18,22,22,27,27
30,8,8,12,12,19,19,23,23,28,28
31,9,9,13,13,19,19,23,23,28,28
32,9,9,13,13,20,20,25,25,31,31
33,9,9,14,14,21,21,26,26,32,32
34,9,9,14,14,21,21,26,26,32,32
35,10,10,14,14,22,22,27,27,33,33
36,10,10,15,15,23,23,28,28,35,35
37,10,10,15,15,23,23,28,28,35,35
38,11,11,16,16,24,24,30,30,37,37
39,11,11,16,16,24,24,30,30,37,37
40,11,11,17,17,25,25,31,31,38,38
41,11,11,17,17,26,26,32,32,40,40
42,12,12,17,17,26,26,32,32,40,40
43,12,12,18,18,27,27,33,33,41,41
44,12,12,18,18,28,28,35,35,43,43
45,13,13,19,19,28,28,35,35,43,43
46,13,13,19,19,29,29,36,36,45,45
47,13,13,20,20,30,30,37,37,46,46
48,13,13,20,20,30,30,37,37,46,46
49,14,14,20,20,31,31,38,38,47,47
50,14,14,21,21,31,31,38,38,47,47
51,14,14,21,21,32,32,40,40,50,50
52,15,15,22,22,33,33,41,41,51,51
53,15,15,22,22,33,33,41,41,51,51
54,15,15,23,23,34,34,42,42,52,52
55,15,15,23,23,35,35,43,43,53,53
56,16,16,23,23,35,35,43,43,53,53
57,16,16,24,24,36,36,45,45,56,56
58,16,16,24,24,37,37,46,46,57,57
59,17,17,25,25,37,37,46,46,57,57
60,17,17,25,25,38,38,47,47,58,58
61,17,17,25,25,38,38,47,47,58,58
62,18,18,26,26,39,39,48,48,60,60
63,18,18,26,26,40,40,50,50,62,62
64,18,18,27,27,40,40,50,50,62,62
65,18,18,27,27,41,41,51,51,63,63
66,19,19,28,28,42,42,52,52,65,65
67,19,19,28,28,42,42,52,52,65,65
68,19,19,28,28,43,43,53,53,66,66
69,20,20,29,29,44,44,55,55,68,68
70,20,20,29,29,44,44,55,55,68,68
