level,2min,2max,3min,3max,4min,4max,5min,5max,6min,6max
1,1,3,2,3,2,4,2,5,2,6
2,1,3,2,3,2,4,2,5,2,6
3,2,4,3,5,3,6,3,7,3,8
4,3,6,4,7,5,8,6,9,7,12
5,4,7,5,9,6,10,7,12,8,14
6,5,9,6,10,7,12,8,14,9,17
7,6,11,7,12,8,14,9,16,12,20
8,7,12,8,14,10,17,12,20,14,24
9,8,14,9,16,11,19,13,22,15,26
10,9,15,10,18,12,21,14,24,17,30
11,10,17,11,19,14,23,16,26,20,32
12,11,18,13,21,15,25,17,29,21,36
13,12,20,14,23,16,27,18,31,23,38
14,13,22,15,25,17,29,20,33,24,41
15,14,23,16,27,19,31,22,36,26,44
16,15,25,17,29,20,34,23,39,29,48
17,15,26,18,30,21,36,24,41,30,52
18,16,28,19,32,22,38,25,44,31,54
19,17,30,20,34,24,40,28,46,35,58
20,18,31,21,36,25,42,29,48,36,60
21,19,33,22,38,26,44,30,51,37,63
22,20,34,23,39,28,46,32,53,40,66
23,21,36,24,41,29,49,33,56,41,70
24,22,37,26,43,30,51,35,59,43,72
25,23,39,27,45,31,53,36,61,44,76
26,24,41,28,47,33,55,38,63,47,78
27,25,42,29,49,34,57,39,66,48,82
28,26,44,30,50,35,59,40,68,49,84
29,27,45,31,52,36,61,41,70,52,87
30,28,47,32,54,38,63,44,72,54,90
31,29,48,33,56,39,66,45,76,55,94
32,30,50,34,58,40,68,46,78,58,98
33,30,52,35,59,42,70,48,81,60,100
34,31,53,36,61,43,72,49,83,61,104
35,32,55,37,63,44,74,51,85,63,106
36,33,56,39,65,45,76,52,87,64,109
37,34,58,40,67,47,78,54,90,67,112
38,35,60,41,69,48,81,55,93,69,116
39,36,61,42,70,49,83,56,95,70,118
40,37,63,43,72,51,85,59,98,72,122
41,38,64,44,74,52,87,60,100,75,124
42,39,66,45,76,53,89,61,102,76,128
43,40,67,46,78,54,91,62,105,77,130
44,41,69,47,79,56,93,64,107,81,133
45,42,71,48,81,57,95,66,109,82,136
46,43,72,49,83,58,98,67,113,83,140
47,44,74,50,85,59,100,68,115,84,144
48,45,75,52,87,61,102,70,117,87,146
49,46,77,53,89,62,104,71,120,89,150
50,46,78,54,90,63,106,72,122,90,152
51,47,80,55,92,65,108,75,124,93,155
52,48,82,56,94,66,110,76,127,94,158
53,49,83,57,96,67,113,77,130,95,162
54,50,85,58,98,68,115,78,132,98,164
55,51,86,59,99,70,117,81,135,100,168
56,52,88,60,101,71,119,82,137,101,170
57,53,90,61,103,72,121,83,139,104,174
58,54,91,62,105,73,123,84,141,105,176
59,55,93,63,107,75,125,86,144,107,179
60,56,94,65,109,76,127,87,146,109,182
61,57,96,66,110,77,130,89,150,110,186
62,58,97,67,112,79,132,91,152,113,190
63,59,99,68,114,80,134,92,154,115,192
64,60,101,69,116,81,136,93,156,116,196
65,61,102,70,118,82,138,94,159,117,198
66,61,104,71,119,84,140,97,161,121,201
67,62,105,72,121,85,142,98,163,122,204
68,63,107,73,123,86,145,99,167,123,208
69,64,108,74,125,87,147,100,169,124,210
70,65,110,75,127,89,149,102,171,128,214
