level,2min,2max,3min,3max,4min,4max,5min,5max,6min,6max
1,64,64,75,75,105,105,131,131,163,163
2,129,129,151,151,211,211,263,263,328,328
3,194,194,227,227,317,317,396,396,495,495
4,258,258,302,302,423,423,528,528,660,660
5,323,323,378,378,529,529,661,661,826,826
6,388,388,454,454,635,635,793,793,991,991
7,453,453,530,530,741,741,926,926,1157,1157
8,517,517,605,605,846,846,1057,1057,1321,1321
9,582,582,681,681,952,952,1190,1190,1487,1487
10,647,647,757,757,1058,1058,1322,1322,1652,1652
11,711,711,833,833,1164,1164,1455,1455,1818,1818
12,776,776,908,908,1270,1270,1587,1587,1983,1983
13,841,841,984,984,1376,1376,1720,1720,2150,2150
14,906,906,1060,1060,1482,1482,1852,1852,2315,2315
15,970,970,1136,1136,1587,1587,1983,1983,2478,2478
16,1035,1035,1211,1211,1693,1693,2116,2116,2645,2645
17,1100,1100,1287,1287,1799,1799,2248,2248,2810,2810
18,1165,1165,1363,1363,1905,1905,2381,2381,2976,2976
19,1229,1229,1439,1439,2011,2011,2513,2513,3141,3141
20,1294,1294,1514,1514,2117,2117,2646,2646,3307,3307
21,1359,1359,1590,1590,2223,2223,2778,2778,3472,3472
22,1423,1423,1666,1666,2329,2329,2911,2911,3638,3638
23,1488,1488,1742,1742,2434,2434,3042,3042,3802,3802
24,1553,1553,1817,1817,2540,2540,3175,3175,3968,3968
25,1618,1618,1893,1893,2646,2646,3307,3307,4133,4133
26,1682,1682,1969,1969,2752,2752,3440,3440,4300,4300
27,1747,1747,2045,2045,2858,2858,3572,3572,4465,4465
28,1812,1812,2120,2120,2964,2964,3705,3705,4631,4631
29,1877,1877,2196,2196,3070,3070,3837,3837,4796,4796
30,1941,1941,2272,2272,3175,3175,3968,3968,4960,4960
31,2006,2006,2348,2348,3281,3281,4101,4101,5126,5126
32,2071,2071,2423,2423,3387,3387,4233,4233,5291,5291
33,2135,2135,2499,2499,3493,3493,4366,4366,5457,5457
34,2200,2200,2575,2575,3599,3599,4498,4498,5622,5622
35,2265,2265,2651,2651,3705,3705,4631,4631,5788,5788
36,2330,2330,2726,2726,3811,3811,4763,4763,5953,5953
37,2394,2394,2802,2802,3916,3916,4895,4895,6118,6118
38,2459,2459,2878,2878,4022,4022,5027,5027,6283,6283
39,2524,2524,2954,2954,4128,4128,5160,5160,6450,6450
40,2588,2588,3029,3029,4234,4234,5292,5292,6615,6615
41,2653,2653,3105,3105,4340,4340,5425,5425,6781,6781
42,2718,2718,3181,3181,4446,4446,5557,5557,6946,6946
43,2783,2783,3257,3257,4552,4552,5690,5690,7112,7112
44,2847,2847,3332,3332,4658,4658,5822,5822,7277,7277
45,2912,2912,3408,3408,4763,4763,5953,5953,7441,7441
46,2977,2977,3484,3484,4869,4869,6086,6086,7607,7607
47,3042,3042,3560,3560,4975,4975,6218,6218,7772,7772
48,3106,3106,3635,3635,5081,5081,6351,6351,7938,7938
49,3171,3171,3711,3711,5187,5187,6483,6483,8103,8103
50,3236,3236,3787,3787,5293,5293,6616,6616,8270,8270
51,3300,3300,3863,3863,5399,5399,6748,6748,8435,8435
52,3365,3365,3938,3938,5504,5504,6880,6880,8600,8600
53,3430,3430,4014,4014,5610,5610,7012,7012,8765,8765
54,3495,3495,4090,4090,5716,5716,7145,7145,8931,8931
55,3559,3559,4165,4165,5822,5822,7277,7277,9096,9096
56,3624,3624,4241,4241,5928,5928,7410,7410,9262,9262
57,3689,3689,4317,4317,6034,6034,7542,7542,9427,9427
58,3754,3754,4393,4393,6140,6140,7675,7675,9593,9593
59,3818,3818,4468,4468,6246,6246,7807,7807,9758,9758
60,3883,3883,4544,4544,6351,6351,7938,7938,9922,9922
61,3948,3948,4620,4620,6457,6457,8071,8071,10088,10088
62,4012,4012,4696,4696,6563,6563,8203,8203,10253,10253
63,4077,4077,4771,4771,6669,6669,8336,8336,10420,10420
64,4142,4142,4847,4847,6775,6775,8468,8468,10585,10585
65,4207,4207,4923,4923,6881,6881,8601,8601,10751,10751
66,4271,4271,4999,4999,6987,6987,8733,8733,10916,10916
67,4336,4336,5074,5074,7092,7092,8865,8865,11081,11081
68,4401,4401,5150,5150,7198,7198,8997,8997,11246,11246
69,4466,4466,5226,5226,7304,7304,9130,9130,11412,11412
70,4530,4530,5302,5302,7410,7410,9262,9262,11577,11577
