level,2min,2max,3min,3max,4min,4max,5min,5max,6min,6max
1,65,65,74,74,105,105,131,131,163,163
2,130,130,148,148,211,211,263,263,328,328
3,196,196,222,222,317,317,396,396,495,495
4,261,261,297,297,423,423,528,528,660,660
5,327,327,371,371,529,529,661,661,826,826
6,392,392,445,445,635,635,793,793,991,991
7,457,457,519,519,741,741,926,926,1157,1157
8,523,523,594,594,846,846,1057,1057,1321,1321
9,588,588,668,668,952,952,1190,1190,1487,1487
10,654,654,742,742,1058,1058,1322,1322,1652,1652
11,719,719,816,816,1164,1164,1455,1455,1818,1818
12,784,784,891,891,1270,1270,1587,1587,1983,1983
13,850,850,965,965,1376,1376,1720,1720,2150,2150
14,915,915,1039,1039,1482,1482,1852,1852,2315,2315
15,981,981,1113,1113,1587,1587,1983,1983,2478,2478
16,1046,1046,1188,1188,1693,1693,2116,2116,2645,2645
17,1112,1112,1262,1262,1799,1799,2248,2248,2810,2810
18,1177,1177,1336,1336,1905,1905,2381,2381,2976,2976
19,1242,1242,1410,1410,2011,2011,2513,2513,3141,3141
20,1308,1308,1485,1485,2117,2117,2646,2646,3307,3307
21,1373,1373,1559,1559,2223,2223,2778,2778,3472,3472
22,1439,1439,1633,1633,2329,2329,2911,2911,3638,3638
23,1504,1504,1707,1707,2434,2434,3042,3042,3802,3802
24,1569,1569,1782,1782,2540,2540,3175,3175,3968,3968
25,1635,1635,1856,1856,2646,2646,3307,3307,4133,4133
26,1700,1700,1930,1930,2752,2752,3440,3440,4300,4300
27,1766,1766,2004,2004,2858,2858,3572,3572,4465,4465
28,1831,1831,2079,2079,2964,2964,3705,3705,4631,4631
29,1896,1896,2153,2153,3070,3070,3837,3837,4796,4796
30,1962,1962,2227,2227,3175,3175,3968,3968,4960,4960
31,2027,2027,2302,2302,3281,3281,4101,4101,5126,5126
32,2093,2093,2376,2376,3387,3387,4233,4233,5291,5291
33,2158,2158,2450,2450,3493,3493,4366,4366,5457,5457
34,2224,2224,2524,2524,3599,3599,4498,4498,5622,5622
35,2289,2289,2599,2599,3705,3705,4631,4631,5788,5788
36,2354,2354,2673,2673,3811,3811,4763,4763,5953,5953
37,2420,2420,2747,2747,3916,3916,4895,4895,6118,6118
38,2485,2485,2821,2821,4022,4022,5027,5027,6283,6283
39,2551,2551,2896,2896,4128,4128,5160,5160,6450,6450
40,2616,2616,2970,2970,4234,4234,5292,5292,6615,6615
41,2681,2681,3044,3044,4340,4340,5425,5425,6781,6781
42,2747,2747,3118,3118,4446,4446,5557,5557,6946,6946
43,2812,2812,3193,3193,4552,4552,5690,5690,7112,7112
44,2878,2878,3267,3267,4658,4658,5822,5822,7277,7277
45,2943,2943,3341,3341,4763,4763,5953,5953,7441,7441
46,3009,3009,3415,3415,4869,4869,6086,6086,7607,7607
47,3074,3074,3490,3490,4975,4975,6218,6218,7772,7772
48,3139,3139,3564,3564,5081,5081,6351,6351,7938,7938
49,3205,3205,3638,3638,5187,5187,6483,6483,8103,8103
50,3270,3270,3712,3712,5293,5293,6616,6616,8270,8270
51,3336,3336,3787,3787,5399,5399,6748,6748,8435,8435
52,3401,3401,3861,3861,5504,5504,6880,6880,8600,8600
53,3466,3466,3935,3935,5610,5610,7012,7012,8765,8765
54,3532,3532,4009,4009,5716,5716,7145,7145,8931,8931
55,3597,3597,4084,4084,5822,5822,7277,7277,9096,9096
56,3663,3663,4158,4158,5928,5928,7410,7410,9262,9262
57,3728,3728,4232,4232,6034,6034,7542,7542,9427,9427
58,3793,3793,4307,4307,6140,6140,7675,7675,9593,9593
59,3859,3859,4381,4381,6246,6246,7807,7807,9758,9758
60,3924,3924,4455,4455,6351,6351,7938,7938,9922,9922
61,3990,3990,4529,4529,6457,6457,8071,8071,10088,10088
62,4055,4055,4604,4604,6563,6563,8203,8203,10253,10253
63,4121,4121,4678,4678,6669,6669,8336,8336,10420,10420
64,4186,4186,4752,4752,6775,6775,8468,8468,10585,10585
65,4251,4251,4826,4826,6881,6881,8601,8601,10751,10751
66,4317,4317,4901,4901,6987,6987,8733,8733,10916,10916
67,4382,4382,4975,4975,7092,7092,8865,8865,11081,11081
68,4448,4448,5049,5049,7198,7198,8997,8997,11246,11246
69,4513,4513,5123,5123,7304,7304,9130,9130,11412,11412
70,4578,4578,5198,5198,7410,7410,9262,9262,11577,11577
