level,2min,2max,3min,3max,4min,4max,5min,5max,6min,6max
1,0,0,0,0,1,1,1,1,1,1
2,1,1,1,1,2,2,2,2,2,2
3,1,1,2,2,3,3,3,3,3,3
4,2,2,3,3,5,5,6,6,7,7
5,2,2,4,4,6,6,7,7,8,8
6,3,3,5,5,7,7,8,8,10,10
7,4,4,6,6,8,8,10,10,12,12
8,4,4,6,6,10,10,12,12,15,15
9,5,5,7,7,11,11,13,13,16,16
10,5,5,8,8,12,12,15,15,18,18
11,6,6,9,9,14,14,17,17,21,21
12,7,7,10,10,15,15,18,18,22,22
13,7,7,11,11,16,16,20,20,25,25
14,8,8,12,12,17,17,21,21,26,26
15,8,8,12,12,19,19,23,23,28,28
16,9,9,13,13,20,20,25,25,31,31
17,10,10,14,14,21,21,26,26,32,32
18,10,10,15,15,23,23,28,28,35,35
19,11,11,16,16,24,24,30,30,37,37
20,11,11,17,17,25,25,31,31,38,38
21,12,12,18,18,26,26,32,32,40,40
22,12,12,18,18,28,28,35,35,43,43
23,13,13,19,19,29,29,36,36,45,45
24,14,14,20,20,30,30,37,37,46,46
25,14,14,21,21,32,32,40,40,50,50
26,15,15,22,22,33,33,41,41,51,51
27,15,15,23,23,34,34,42,42,52,52
28,16,16,24,24,35,35,43,43,53,53
29,17,17,24,24,37,37,46,46,57,57
30,17,17,25,25,38,38,47,47,58,58
31,18,18,26,26,39,39,48,48,60,60
32,18,18,27,27,41,41,51,51,63,63
33,19,19,28,28,42,42,52,52,65,65
34,20,20,29,29,43,43,53,53,66,66
35,20,20,30,30,44,44,55,55,68,68
36,21,21,30,30,46,46,57,57,71,71
37,21,21,31,31,47,47,58,58,72,72
38,22,22,32,32,48,48,60,60,75,75
39,22,22,33,33,50,50,62,62,77,77
40,23,23,34,34,51,51,63,63,78,78
41,24,24,35,35,52,52,65,65,81,81
42,24,24,36,36,53,53,66,66,82,82
43,25,25,36,36,55,55,68,68,85,85
44,25,25,37,37,56,56,70,70,87,87
45,26,26,38,38,57,57,71,71,88,88
46,27,27,39,39,59,59,73,73,91,91
47,27,27,40,40,60,60,75,75,93,93
48,28,28,41,41,61,61,76,76,95,95
49,28,28,42,42,62,62,77,77,96,96
50,29,29,42,42,64,64,80,80,100,100
51,30,30,43,43,65,65,81,81,101,101
52,30,30,44,44,66,66,82,82,102,102
53,31,31,45,45,68,68,85,85,106,106
54,31,31,46,46,69,69,86,86,107,107
55,32,32,47,47,70,70,87,87,108,108
56,32,32,48,48,71,71,88,88,110,110
57,33,33,49,49,73,73,91,91,113,113
58,34,34,49,49,74,74,92,92,115,115
59,34,34,50,50,75,75,93,93,116,116
60,35,35,51,51,77,77,96,96,120,120
61,35,35,52,52,78,78,97,97,121,121
62,36,36,53,53,79,79,98,98,122,122
63,37,37,54,54,80,80,100,100,125,125
64,37,37,55,55,82,82,102,102,127,127
65,38,38,55,55,83,83,103,103,128,128
66,38,38,56,56,84,84,105,105,131,131
67,39,39,57,57,85,85,106,106,132,132
68,40,40,58,58,87,87,108,108,135,135
69,40,40,59,59,88,88,110,110,137,137
70,41,41,60,60,89,89,111,111,138,138
