level,2min,2max,3min,3max,4min,4max,5min,5max,6min,6max
1,93,93,106,106,158,158,197,197,246,246
2,187,187,212,212,317,317,396,396,495,495
3,281,281,318,318,476,476,595,595,743,743
4,374,374,424,424,635,635,793,793,991,991
5,468,468,531,531,793,793,991,991,1238,1238
6,562,562,637,637,952,952,1190,1190,1487,1487
7,655,655,743,743,1111,1111,1388,1388,1735,1735
8,749,749,849,849,1270,1270,1587,1587,1983,1983
9,843,843,955,955,1429,1429,1786,1786,2232,2232
10,937,937,1062,1062,1587,1587,1983,1983,2478,2478
11,1030,1030,1168,1168,1746,1746,2182,2182,2727,2727
12,1124,1124,1274,1274,1905,1905,2381,2381,2976,2976
13,1218,1218,1380,1380,2064,2064,2580,2580,3225,3225
14,1311,1311,1486,1486,2223,2223,2778,2778,3472,3472
15,1405,1405,1593,1593,2381,2381,2976,2976,3720,3720
16,1499,1499,1699,1699,2540,2540,3175,3175,3968,3968
17,1592,1592,1805,1805,2699,2699,3373,3373,4216,4216
18,1686,1686,1911,1911,2858,2858,3572,3572,4465,4465
19,1780,1780,2018,2018,3017,3017,3771,3771,4713,4713
20,1874,1874,2124,2124,3175,3175,3968,3968,4960,4960
21,1967,1967,2230,2230,3334,3334,4167,4167,5208,5208
22,2061,2061,2336,2336,3493,3493,4366,4366,5457,5457
23,2155,2155,2442,2442,3652,3652,4565,4565,5706,5706
24,2248,2248,2549,2549,3810,3810,4762,4762,5952,5952
25,2342,2342,2655,2655,3969,3969,4961,4961,6201,6201
26,2436,2436,2761,2761,4128,4128,5160,5160,6450,6450
27,2529,2529,2867,2867,4287,4287,5358,5358,6697,6697
28,2623,2623,2973,2973,4446,4446,5557,5557,6946,6946
29,2717,2717,3080,3080,4604,4604,5755,5755,7193,7193
30,2811,2811,3186,3186,4763,4763,5953,5953,7441,7441
31,2904,2904,3292,3292,4922,4922,6152,6152,7690,7690
32,2998,2998,3398,3398,5081,5081,6351,6351,7938,7938
33,3092,3092,3504,3504,5240,5240,6550,6550,8187,8187
34,3185,3185,3611,3611,5398,5398,6747,6747,8433,8433
35,3279,3279,3717,3717,5557,5557,6946,6946,8682,8682
36,3373,3373,3823,3823,5716,5716,7145,7145,8931,8931
37,3466,3466,3929,3929,5875,5875,7343,7343,9178,9178
38,3560,3560,4036,4036,6034,6034,7542,7542,9427,9427
39,3654,3654,4142,4142,6192,6192,7740,7740,9675,9675
40,3748,3748,4248,4248,6351,6351,7938,7938,9922,9922
41,3841,3841,4354,4354,6510,6510,8137,8137,10171,10171
42,3935,3935,4460,4460,6669,6669,8336,8336,10420,10420
43,4029,4029,4567,4567,6828,6828,8535,8535,10668,10668
44,4122,4122,4673,4673,6986,6986,8732,8732,10915,10915
45,4216,4216,4779,4779,7145,7145,8931,8931,11163,11163
46,4310,4310,4885,4885,7304,7304,9130,9130,11412,11412
47,4404,4404,4991,4991,7463,7463,9328,9328,11660,11660
48,4497,4497,5098,5098,7621,7621,9526,9526,11907,11907
49,4591,4591,5204,5204,7780,7780,9725,9725,12156,12156
50,4685,4685,5310,5310,7939,7939,9923,9923,12403,12403
51,4778,4778,5416,5416,8098,8098,10122,10122,12652,12652
52,4872,4872,5522,5522,8257,8257,10321,10321,12901,12901
53,4966,4966,5629,5629,8415,8415,10518,10518,13147,13147
54,5059,5059,5735,5735,8574,8574,10717,10717,13396,13396
55,5153,5153,5841,5841,8733,8733,10916,10916,13645,13645
56,5247,5247,5947,5947,8892,8892,11115,11115,13893,13893
57,5341,5341,6054,6054,9051,9051,11313,11313,14141,14141
58,5434,5434,6160,6160,9209,9209,11511,11511,14388,14388
59,5528,5528,6266,6266,9368,9368,11710,11710,14637,14637
60,5622,5622,6372,6372,9527,9527,11908,11908,14885,14885
61,5715,5715,6478,6478,9686,9686,12107,12107,15133,15133
62,5809,5809,6585,6585,9845,9845,12306,12306,15382,15382
63,5903,5903,6691,6691,10003,10003,12503,12503,15628,15628
64,5996,5996,6797,6797,10162,10162,12702,12702,15877,15877
65,6090,6090,6903,6903,10321,10321,12901,12901,16126,16126
66,6184,6184,7009,7009,10480,10480,13100,13100,16375,16375
67,6278,6278,7116,7116,10639,10639,13298,13298,16622,16622
68,6371,6371,7222,7222,10797,10797,13496,13496,16870,16870
69,6465,6465,7328,7328,10956,10956,13695,13695,17118,17118
70,6559,6559,7434,7434,11115,11115,13893,13893,17366,17366
