level,2min,2max,3min,3max,4min,4max,5min,5max,6min,6max
1,0,0,0,0,1,1,1,1,1,1
2,1,1,1,1,2,2,2,2,2,2
3,1,1,2,2,3,3,3,3,3,3
4,2,2,3,3,4,4,5,5,6,6
5,2,2,4,4,6,6,7,7,8,8
6,3,3,5,5,7,7,8,8,10,10
7,4,4,6,6,8,8,10,10,12,12
8,4,4,6,6,9,9,11,11,13,13
9,5,5,7,7,11,11,13,13,16,16
10,5,5,8,8,12,12,15,15,18,18
11,6,6,9,9,13,13,16,16,20,20
12,7,7,10,10,14,14,17,17,21,21
13,7,7,11,11,15,15,18,18,22,22
14,8,8,12,12,17,17,21,21,26,26
15,8,8,12,12,18,18,22,22,27,27
16,9,9,13,13,19,19,23,23,28,28
17,9,9,14,14,20,20,25,25,31,31
18,10,10,15,15,22,22,27,27,33,33
19,11,11,16,16,23,23,28,28,35,35
20,11,11,17,17,24,24,30,30,37,37
21,12,12,18,18,25,25,31,31,38,38
22,12,12,18,18,27,27,33,33,41,41
23,13,13,19,19,28,28,35,35,43,43
24,14,14,20,20,29,29,36,36,45,45
25,14,14,21,21,30,30,37,37,46,46
26,15,15,22,22,31,31,38,38,47,47
27,15,15,23,23,33,33,41,41,51,51
28,16,16,24,24,34,34,42,42,52,52
29,16,16,24,24,35,35,43,43,53,53
30,17,17,25,25,36,36,45,45,56,56
31,18,18,26,26,38,38,47,47,58,58
32,18,18,27,27,39,39,48,48,60,60
33,19,19,28,28,40,40,50,50,62,62
34,19,19,29,29,41,41,51,51,63,63
35,20,20,30,30,43,43,53,53,66,66
36,21,21,30,30,44,44,55,55,68,68
37,21,21,31,31,45,45,56,56,70,70
38,22,22,32,32,46,46,57,57,71,71
39,22,22,33,33,47,47,58,58,72,72
40,23,23,34,34,49,49,61,61,76,76
41,24,24,35,35,50,50,62,62,77,77
42,24,24,36,36,51,51,63,63,78,78
43,25,25,37,37,52,52,65,65,81,81
44,25,25,37,37,54,54,67,67,83,83
45,26,26,38,38,55,55,68,68,85,85
46,26,26,39,39,56,56,70,70,87,87
47,27,27,40,40,57,57,71,71,88,88
48,28,28,41,41,58,58,72,72,90,90
49,28,28,42,42,60,60,75,75,93,93
50,29,29,43,43,61,61,76,76,95,95
51,29,29,43,43,62,62,77,77,96,96
52,30,30,44,44,63,63,78,78,97,97
53,31,31,45,45,65,65,81,81,101,101
54,31,31,46,46,66,66,82,82,102,102
55,32,32,47,47,67,67,83,83,103,103
56,32,32,48,48,68,68,85,85,106,106
57,33,33,49,49,70,70,87,87,108,108
58,33,33,49,49,71,71,88,88,110,110
59,34,34,50,50,72,72,90,90,112,112
60,35,35,51,51,73,73,91,91,113,113
61,35,35,52,52,74,74,92,92,115,115
62,36,36,53,53,76,76,95,95,118,118
63,36,36,54,54,77,77,96,96,120,120
64,37,37,55,55,78,78,97,97,121,121
65,38,38,55,55,79,79,98,98,122,122
66,38,38,56,56,81,81,101,101,126,126
67,39,39,57,57,82,82,102,102,127,127
68,39,39,58,58,83,83,103,103,128,128
69,40,40,59,59,84,84,105,105,131,131
70,40,40,60,60,86,86,107,107,133,133
