level,2min,2max,3min,3max,4min,4max,5min,5max,6min,6max
1,2,4,3,5,3,6,3,7,3,8
2,2,4,3,5,3,6,3,7,3,8
3,4,7,4,8,5,9,6,10,7,13
4,5,9,6,11,7,12,8,14,9,17
5,7,11,8,13,9,16,10,18,13,23
6,8,14,9,16,11,19,13,22,15,26
7,10,16,11,19,13,22,15,25,18,31
8,11,19,13,22,15,25,17,29,21,36
9,12,21,14,24,17,28,20,32,24,40
10,14,23,16,27,19,32,22,37,26,46
11,15,26,18,30,21,35,24,40,30,49
12,17,28,19,33,23,38,26,44,32,54
13,18,31,21,35,24,41,28,47,35,59
14,20,33,23,38,26,44,30,51,37,63
15,21,35,24,41,28,48,32,55,40,69
16,22,38,26,44,30,51,35,59,43,72
17,24,40,28,46,32,54,37,62,46,77
18,25,43,29,49,34,57,39,66,48,82
19,27,45,31,52,36,60,41,69,52,86
20,28,47,33,55,38,64,44,74,54,92
21,30,50,34,57,40,67,46,77,58,95
22,31,52,36,60,42,70,48,81,60,100
23,32,55,38,63,44,73,51,84,63,105
24,34,57,39,66,46,76,53,87,66,109
25,35,59,41,69,47,80,54,92,67,115
26,37,62,43,71,49,83,56,95,70,118
27,38,64,44,74,51,86,59,99,72,123
28,40,66,46,77,53,89,61,102,76,128
29,41,69,48,80,55,93,63,107,78,133
30,42,71,49,82,57,96,66,110,82,138
31,44,74,51,85,59,99,68,114,84,141
32,45,76,52,88,61,102,70,117,87,146
33,47,78,54,91,63,105,72,121,90,151
34,48,81,56,93,65,109,75,125,93,156
35,50,83,57,96,67,112,77,129,95,161
36,51,86,59,99,69,115,79,132,99,164
37,52,88,61,102,70,118,81,136,100,169
38,54,90,62,104,72,121,83,139,104,174
39,55,93,64,107,74,125,85,144,106,179
40,57,95,66,110,76,128,87,147,109,184
41,58,98,67,113,78,131,90,151,112,187
42,60,100,69,115,80,134,92,154,115,192
43,61,102,71,118,82,137,94,158,117,197
44,62,105,72,121,84,141,97,162,121,202
45,64,107,74,124,86,144,99,166,123,207
46,65,110,76,126,88,147,101,169,127,210
47,67,112,77,129,90,150,104,173,129,215
48,68,114,79,132,92,153,106,176,132,220
49,70,117,81,135,93,157,107,181,133,225
50,71,119,82,138,95,160,109,184,136,230
51,72,121,84,140,97,163,112,187,139,233
52,74,124,86,143,99,166,114,191,141,238
53,75,126,87,146,101,170,116,196,145,244
54,77,129,89,149,103,173,118,199,147,248
55,78,131,91,151,105,176,121,202,151,253
56,80,133,92,154,107,179,123,206,153,256
57,81,136,94,157,109,182,125,209,156,261
58,82,138,96,160,111,186,128,214,159,267
59,84,141,97,162,113,189,130,217,162,271
60,85,143,99,165,115,192,132,221,164,276
61,87,145,100,168,116,195,133,224,167,279
62,88,148,102,171,118,198,136,228,169,284
63,90,150,104,173,120,202,138,232,173,290
64,91,153,105,176,122,205,140,236,175,294
65,92,155,107,179,124,208,143,239,178,299
66,94,157,109,182,126,211,145,243,181,302
67,95,160,110,184,128,214,147,246,184,307
68,97,162,112,187,130,218,150,251,186,313
69,98,165,114,190,132,221,152,254,190,317
70,100,167,115,193,134,224,154,258,192,322
