level,2min,2max,3min,3max,4min,4max,5min,5max,6min,6max
1,91,91,102,102,158,158,197,197,246,246
2,182,182,205,205,317,317,396,396,495,495
3,273,273,308,308,476,476,595,595,743,743
4,364,364,411,411,635,635,793,793,991,991
5,455,455,514,514,793,793,991,991,1238,1238
6,546,546,617,617,952,952,1190,1190,1487,1487
7,637,637,720,720,1111,1111,1388,1388,1735,1735
8,728,728,822,822,1270,1270,1587,1587,1983,1983
9,820,820,925,925,1429,1429,1786,1786,2232,2232
10,911,911,1028,1028,1587,1587,1983,1983,2478,2478
11,1002,1002,1131,1131,1746,1746,2182,2182,2727,2727
12,1093,1093,1234,1234,1905,1905,2381,2381,2976,2976
13,1184,1184,1337,1337,2064,2064,2580,2580,3225,3225
14,1275,1275,1440,1440,2223,2223,2778,2778,3472,3472
15,1366,1366,1542,1542,2381,2381,2976,2976,3720,3720
16,1457,1457,1645,1645,2540,2540,3175,3175,3968,3968
17,1549,1549,1748,1748,2699,2699,3373,3373,4216,4216
18,1640,1640,1851,1851,2858,2858,3572,3572,4465,4465
19,1731,1731,1954,1954,3017,3017,3771,3771,4713,4713
20,1822,1822,2057,2057,3175,3175,3968,3968,4960,4960
21,1913,1913,2160,2160,3334,3334,4167,4167,5208,5208
22,2004,2004,2263,2263,3493,3493,4366,4366,5457,5457
23,2095,2095,2365,2365,3652,3652,4565,4565,5706,5706
24,2186,2186,2468,2468,3810,3810,4762,4762,5952,5952
25,2278,2278,2571,2571,3969,3969,4961,4961,6201,6201
26,2369,2369,2674,2674,4128,4128,5160,5160,6450,6450
27,2460,2460,2777,2777,4287,4287,5358,5358,6697,6697
28,2551,2551,2880,2880,4446,4446,5557,5557,6946,6946
29,2642,2642,2983,2983,4604,4604,5755,5755,7193,7193
30,2733,2733,3085,3085,4763,4763,5953,5953,7441,7441
31,2824,2824,3188,3188,4922,4922,6152,6152,7690,7690
32,2915,2915,3291,3291,5081,5081,6351,6351,7938,7938
33,3007,3007,3394,3394,5240,5240,6550,6550,8187,8187
34,3098,3098,3497,3497,5398,5398,6747,6747,8433,8433
35,3189,3189,3600,3600,5557,5557,6946,6946,8682,8682
36,3280,3280,3703,3703,5716,5716,7145,7145,8931,8931
37,3371,3371,3806,3806,5875,5875,7343,7343,9178,9178
38,3462,3462,3908,3908,6034,6034,7542,7542,9427,9427
39,3553,3553,4011,4011,6192,6192,7740,7740,9675,9675
40,3644,3644,4114,4114,6351,6351,7938,7938,9922,9922
41,3736,3736,4217,4217,6510,6510,8137,8137,10171,10171
42,3827,3827,4320,4320,6669,6669,8336,8336,10420,10420
43,3918,3918,4423,4423,6828,6828,8535,8535,10668,10668
44,4009,4009,4526,4526,6986,6986,8732,8732,10915,10915
45,4100,4100,4628,4628,7145,7145,8931,8931,11163,11163
46,4191,4191,4731,4731,7304,7304,9130,9130,11412,11412
47,4282,4282,4834,4834,7463,7463,9328,9328,11660,11660
48,4373,4373,4937,4937,7621,7621,9526,9526,11907,11907
49,4465,4465,5040,5040,7780,7780,9725,9725,12156,12156
50,4556,4556,5143,5143,7939,7939,9923,9923,12403,12403
51,4647,4647,5246,5246,8098,8098,10122,10122,12652,12652
52,4738,4738,5349,5349,8257,8257,10321,10321,12901,12901
53,4829,4829,5451,5451,8415,8415,10518,10518,13147,13147
54,4920,4920,5554,5554,8574,8574,10717,10717,13396,13396
55,5011,5011,5657,5657,8733,8733,10916,10916,13645,13645
56,5102,5102,5760,5760,8892,8892,11115,11115,13893,13893
57,5193,5193,5863,5863,9051,9051,11313,11313,14141,14141
58,5285,5285,5966,5966,9209,9209,11511,11511,14388,14388
59,5376,5376,6069,6069,9368,9368,11710,11710,14637,14637
60,5467,5467,6171,6171,9527,9527,11908,11908,14885,14885
61,5558,5558,6274,6274,9686,9686,12107,12107,15133,15133
62,5649,5649,6377,6377,9845,9845,12306,12306,15382,15382
63,5740,5740,6480,6480,10003,10003,12503,12503,15628,15628
64,5831,5831,6583,6583,10162,10162,12702,12702,15877,15877
65,5922,5922,6686,6686,10321,10321,12901,12901,16126,16126
66,6014,6014,6789,6789,10480,10480,13100,13100,16375,16375
67,6105,6105,6891,6891,10639,10639,13298,13298,16622,16622
68,6196,6196,6994,6994,10797,10797,13496,13496,16870,16870
69,6287,6287,7097,7097,10956,10956,13695,13695,17118,17118
70,6378,6378,7200,7200,11115,11115,13893,13893,17366,17366
