level,2min,2max,3min,3max,4min,4max,5min,5max,6min,6max
1,59,59,68,68,95,95,118,118,147,147
2,119,119,136,136,190,190,237,237,296,296
3,178,178,204,204,285,285,356,356,445,445
4,238,238,272,272,381,381,476,476,595,595
5,297,297,340,340,476,476,595,595,743,743
6,357,357,408,408,571,571,713,713,891,891
7,416,416,476,476,666,666,832,832,1040,1040
8,476,476,544,544,762,762,952,952,1190,1190
9,535,535,612,612,857,857,1071,1071,1338,1338
10,595,595,680,680,952,952,1190,1190,1487,1487
11,655,655,748,748,1048,1048,1310,1310,1637,1637
12,714,714,817,817,1143,1143,1428,1428,1785,1785
13,774,774,885,885,1238,1238,1547,1547,1933,1933
14,833,833,953,953,1333,1333,1666,1666,2082,2082
15,893,893,1021,1021,1429,1429,1786,1786,2232,2232
16,952,952,1089,1089,1524,1524,1905,1905,2381,2381
17,1012,1012,1157,1157,1619,1619,2023,2023,2528,2528
18,1071,1071,1225,1225,1715,1715,2143,2143,2678,2678
19,1131,1131,1293,1293,1810,1810,2262,2262,2827,2827
20,1190,1190,1361,1361,1905,1905,2381,2381,2976,2976
21,1250,1250,1429,1429,2000,2000,2500,2500,3125,3125
22,1310,1310,1497,1497,2096,2096,2620,2620,3275,3275
23,1369,1369,1565,1565,2191,2191,2738,2738,3422,3422
24,1429,1429,1634,1634,2286,2286,2857,2857,3571,3571
25,1488,1488,1702,1702,2381,2381,2976,2976,3720,3720
26,1548,1548,1770,1770,2477,2477,3096,3096,3870,3870
27,1607,1607,1838,1838,2572,2572,3215,3215,4018,4018
28,1667,1667,1906,1906,2667,2667,3333,3333,4166,4166
29,1726,1726,1974,1974,2763,2763,3453,3453,4316,4316
30,1786,1786,2042,2042,2858,2858,3572,3572,4465,4465
31,1845,1845,2110,2110,2953,2953,3691,3691,4613,4613
32,1905,1905,2178,2178,3048,3048,3810,3810,4762,4762
33,1965,1965,2246,2246,3144,3144,3930,3930,4912,4912
34,2024,2024,2314,2314,3239,3239,4048,4048,5060,5060
35,2084,2084,2383,2383,3334,3334,4167,4167,5208,5208
36,2143,2143,2451,2451,3430,3430,4287,4287,5358,5358
37,2203,2203,2519,2519,3525,3525,4406,4406,5507,5507
38,2262,2262,2587,2587,3620,3620,4525,4525,5656,5656
39,2322,2322,2655,2655,3715,3715,4643,4643,5803,5803
40,2381,2381,2723,2723,3811,3811,4763,4763,5953,5953
41,2441,2441,2791,2791,3906,3906,4882,4882,6102,6102
42,2500,2500,2859,2859,4001,4001,5001,5001,6251,6251
43,2560,2560,2927,2927,4097,4097,5121,5121,6401,6401
44,2620,2620,2995,2995,4192,4192,5240,5240,6550,6550
45,2679,2679,3063,3063,4287,4287,5358,5358,6697,6697
46,2739,2739,3131,3131,4382,4382,5477,5477,6846,6846
47,2798,2798,3200,3200,4478,4478,5597,5597,6996,6996
48,2858,2858,3268,3268,4573,4573,5716,5716,7145,7145
49,2917,2917,3336,3336,4668,4668,5835,5835,7293,7293
50,2977,2977,3404,3404,4763,4763,5953,5953,7441,7441
51,3036,3036,3472,3472,4859,4859,6073,6073,7591,7591
52,3096,3096,3540,3540,4954,4954,6192,6192,7740,7740
53,3155,3155,3608,3608,5049,5049,6311,6311,7888,7888
54,3215,3215,3676,3676,5145,5145,6431,6431,8038,8038
55,3275,3275,3744,3744,5240,5240,6550,6550,8187,8187
56,3334,3334,3812,3812,5335,5335,6668,6668,8335,8335
57,3394,3394,3880,3880,5430,5430,6787,6787,8483,8483
58,3453,3453,3949,3949,5526,5526,6907,6907,8633,8633
59,3513,3513,4017,4017,5621,5621,7026,7026,8782,8782
60,3572,3572,4085,4085,5716,5716,7145,7145,8931,8931
61,3632,3632,4153,4153,5812,5812,7265,7265,9081,9081
62,3691,3691,4221,4221,5907,5907,7383,7383,9228,9228
63,3751,3751,4289,4289,6002,6002,7502,7502,9377,9377
64,3810,3810,4357,4357,6097,6097,7621,7621,9526,9526
65,3870,3870,4425,4425,6193,6193,7741,7741,9676,9676
66,3930,3930,4493,4493,6288,6288,7860,7860,9825,9825
67,3989,3989,4561,4561,6383,6383,7978,7978,9972,9972
68,4049,4049,4629,4629,6479,6479,8098,8098,10122,10122
69,4108,4108,4697,4697,6574,6574,8217,8217,10271,10271
70,4168,4168,4766,4766,6669,6669,8336,8336,10420,10420
