level,2min,2max,3min,3max,4min,4max,5min,5max,6min,6max
1,0,0,0,0,0,0,1,1,1,1
2,0,0,0,0,1,1,1,1,1,1
3,0,0,1,1,1,1,1,1,1,1
4,0,0,1,1,2,2,2,2,2,2
5,1,1,1,1,2,2,2,2,2,2
6,1,1,2,2,3,3,3,3,3,3
7,1,1,2,2,3,3,3,3,3,3
8,1,1,2,2,4,4,5,5,6,6
9,2,2,3,3,4,4,5,5,6,6
10,2,2,3,3,5,5,6,6,7,7
11,2,2,3,3,5,5,6,6,7,7
12,2,2,4,4,6,6,7,7,8,8
13,3,3,4,4,6,6,7,7,8,8
14,3,3,4,4,7,7,8,8,10,10
15,3,3,5,5,7,7,8,8,10,10
16,3,3,5,5,8,8,10,10,12,12
17,4,4,5,5,8,8,10,10,12,12
18,4,4,6,6,9,9,11,11,13,13
19,4,4,6,6,9,9,11,11,13,13
20,4,4,6,6,10,10,12,12,15,15
21,5,5,7,7,10,10,12,12,15,15
22,5,5,7,7,11,11,13,13,16,16
23,5,5,7,7,11,11,13,13,16,16
24,5,5,8,8,12,12,15,15,18,18
25,6,6,8,8,12,12,15,15,18,18
26,6,6,8,8,13,13,16,16,20,20
27,6,6,9,9,13,13,16,16,20,20
28,6,6,9,9,14,14,17,17,21,21
29,7,7,9,9,14,14,17,17,21,21
30,7,7,10,10,15,15,18,18,22,22
31,7,7,10,10,15,15,18,18,22,22
32,7,7,10,10,16,16,20,20,25,25
33,8,8,11,11,16,16,20,20,25,25
34,8,8,11,11,17,17,21,21,26,26
35,8,8,11,11,17,17,21,21,26,26
36,8,8,12,12,18,18,22,22,27,27
37,9,9,12,12,19,19,23,23,28,28
38,9,9,12,12,19,19,23,23,28,28
39,9,9,13,13,20,20,25,25,31,31
40,9,9,13,13,20,20,25,25,31,31
41,10,10,13,13,21,21,26,26,32,32
42,10,10,14,14,21,21,26,26,32,32
43,10,10,14,14,22,22,27,27,33,33
44,10,10,15,15,22,22,27,27,33,33
45,11,11,15,15,23,23,28,28,35,35
46,11,11,15,15,23,23,28,28,35,35
47,11,11,16,16,24,24,30,30,37,37
48,11,11,16,16,24,24,30,30,37,37
49,11,11,16,16,25,25,31,31,38,38
50,12,12,17,17,25,25,31,31,38,38
51,12,12,17,17,26,26,32,32,40,40
52,12,12,17,17,26,26,32,32,40,40
53,12,12,18,18,27,27,33,33,41,41
54,13,13,18,18,27,27,33,33,41,41
55,13,13,18,18,28,28,35,35,43,43
56,13,13,19,19,28,28,35,35,43,43
57,13,13,19,19,29,29,36,36,45,45
58,14,14,19,19,29,29,36,36,45,45
59,14,14,20,20,30,30,37,37,46,46
60,14,14,20,20,30,30,37,37,46,46
61,14,14,20,20,31,31,38,38,47,47
62,15,15,21,21,31,31,38,38,47,47
63,15,15,21,21,32,32,40,40,50,50
64,15,15,21,21,32,32,40,40,50,50
65,15,15,22,22,33,33,41,41,51,51
66,16,16,22,22,33,33,41,41,51,51
67,16,16,22,22,34,34,42,42,52,52
68,16,16,23,23,34,34,42,42,52,52
69,16,16,23,23,35,35,43,43,53,53
70,17,17,23,23,35,35,43,43,53,53
