level,2min,2max,3min,3max,4min,4max,5min,5max,6min,6max
1,1,2,1,2,2,3,2,3,2,3
2,1,2,1,2,2,3,2,3,2,3
3,2,3,2,4,3,5,3,6,3,7
4,2,5,3,5,4,6,5,7,6,8
5,3,6,4,7,5,8,6,9,7,12
6,4,7,5,8,6,10,7,12,8,14
7,5,8,6,10,7,11,8,13,9,15
8,5,10,6,11,8,13,9,15,12,18
9,6,11,7,13,9,15,10,17,13,21
10,7,12,8,14,10,16,12,18,14,23
11,8,13,9,16,11,18,13,21,15,25
12,8,15,10,17,12,20,14,23,17,29
13,9,16,11,19,13,22,15,25,18,31
14,10,17,12,20,14,23,16,26,20,32
15,11,18,13,21,15,25,17,29,21,36
16,11,20,13,23,16,27,18,31,23,38
17,12,21,14,24,17,28,20,32,24,40
18,13,22,15,26,18,30,21,35,25,43
19,14,23,16,27,19,32,22,37,26,46
20,14,25,17,29,20,33,23,38,29,47
21,15,26,18,30,21,35,24,40,30,49
22,16,27,19,32,22,37,25,43,31,53
23,17,28,20,33,23,38,26,44,32,54
24,17,30,20,35,24,40,28,46,35,58
25,18,31,21,36,25,42,29,48,36,60
26,19,32,22,38,26,44,30,51,37,63
27,19,33,23,39,27,45,31,52,38,64
28,20,35,24,40,28,47,32,54,40,67
29,21,36,25,42,29,49,33,56,41,70
30,22,37,26,43,30,50,35,58,43,71
31,22,38,27,45,31,52,36,60,44,75
32,23,40,27,46,32,54,37,62,46,77
33,24,41,28,48,33,55,38,63,47,78
34,25,42,29,49,34,57,39,66,48,82
35,25,43,30,51,35,59,40,68,49,84
36,26,45,31,52,36,60,41,69,52,86
37,27,46,32,54,37,62,43,71,53,89
38,28,47,33,55,38,64,44,74,54,92
39,28,48,34,57,39,66,45,76,55,94
40,29,50,34,58,40,67,46,77,58,95
41,30,51,35,59,41,69,47,79,59,99
42,31,52,36,61,42,71,48,82,60,101
43,31,53,37,62,43,72,49,83,61,104
44,32,55,38,64,44,74,51,85,63,106
45,33,56,39,65,45,76,52,87,64,109
46,34,57,40,67,46,77,53,89,66,110
47,34,58,41,68,47,79,54,91,67,113
48,35,60,41,70,48,81,55,93,69,116
49,36,61,42,71,49,82,56,94,70,117
50,37,62,43,73,50,84,58,97,71,121
51,37,63,44,74,51,86,59,99,72,123
52,38,65,45,76,52,88,60,101,75,127
53,39,66,46,77,53,89,61,102,76,128
54,39,67,47,78,54,91,62,105,77,130
55,40,68,48,80,55,93,63,107,78,133
56,41,70,48,81,56,94,64,108,81,135
57,42,71,49,83,57,96,66,110,82,138
58,42,72,50,84,58,98,67,113,83,140
59,43,73,51,86,59,99,68,114,84,141
60,44,75,52,87,60,101,69,116,86,145
61,45,76,53,89,61,103,70,118,87,147
62,45,77,54,90,62,105,71,121,89,151
63,46,78,55,92,63,106,72,122,90,152
64,47,80,55,93,64,108,74,124,92,155
65,48,81,56,95,65,110,75,127,93,158
66,48,82,57,96,66,111,76,128,94,159
67,49,84,58,98,67,113,77,130,95,162
68,50,85,59,99,68,115,78,132,98,164
69,51,86,60,100,69,116,79,133,99,167
70,51,87,61,102,70,118,81,136,100,169
