level,2min,2max,3min,3max,4min,4max,5min,5max,6min,6max
1,59,59,70,70,91,91,113,113,141,141
2,119,119,141,141,183,183,228,228,285,285
3,179,179,212,212,275,275,343,343,428,428
4,239,239,282,282,367,367,458,458,572,572
5,299,299,353,353,459,459,573,573,716,716
6,359,359,424,424,550,550,687,687,858,858
7,419,419,494,494,642,642,802,802,1002,1002
8,479,479,565,565,734,734,917,917,1146,1146
9,539,539,636,636,826,826,1032,1032,1290,1290
10,599,599,707,707,918,918,1147,1147,1433,1433
11,659,659,777,777,1009,1009,1261,1261,1576,1576
12,719,719,848,848,1101,1101,1376,1376,1720,1720
13,779,779,919,919,1193,1193,1491,1491,1863,1863
14,839,839,989,989,1285,1285,1606,1606,2007,2007
15,899,899,1060,1060,1377,1377,1721,1721,2151,2151
16,959,959,1131,1131,1468,1468,1835,1835,2293,2293
17,1019,1019,1202,1202,1560,1560,1950,1950,2437,2437
18,1079,1079,1272,1272,1652,1652,2065,2065,2581,2581
19,1139,1139,1343,1343,1744,1744,2180,2180,2725,2725
20,1199,1199,1414,1414,1836,1836,2295,2295,2868,2868
21,1259,1259,1484,1484,1927,1927,2408,2408,3010,3010
22,1319,1319,1555,1555,2019,2019,2523,2523,3153,3153
23,1379,1379,1626,1626,2111,2111,2638,2638,3297,3297
24,1439,1439,1697,1697,2203,2203,2753,2753,3441,3441
25,1499,1499,1767,1767,2295,2295,2868,2868,3585,3585
26,1559,1559,1838,1838,2386,2386,2982,2982,3727,3727
27,1619,1619,1909,1909,2478,2478,3097,3097,3871,3871
28,1679,1679,1979,1979,2570,2570,3212,3212,4015,4015
29,1739,1739,2050,2050,2662,2662,3327,3327,4158,4158
30,1799,1799,2121,2121,2754,2754,3442,3442,4302,4302
31,1859,1859,2192,2192,2845,2845,3556,3556,4445,4445
32,1919,1919,2262,2262,2937,2937,3671,3671,4588,4588
33,1979,1979,2333,2333,3029,3029,3786,3786,4732,4732
34,2039,2039,2404,2404,3121,3121,3901,3901,4876,4876
35,2099,2099,2474,2474,3213,3213,4016,4016,5020,5020
36,2159,2159,2545,2545,3304,3304,4130,4130,5162,5162
37,2219,2219,2616,2616,3396,3396,4245,4245,5306,5306
38,2279,2279,2686,2686,3488,3488,4360,4360,5450,5450
39,2339,2339,2757,2757,3580,3580,4475,4475,5593,5593
40,2399,2399,2828,2828,3672,3672,4590,4590,5737,5737
41,2459,2459,2899,2899,3763,3763,4703,4703,5878,5878
42,2519,2519,2969,2969,3855,3855,4818,4818,6022,6022
43,2579,2579,3040,3040,3947,3947,4933,4933,6166,6166
44,2639,2639,3111,3111,4039,4039,5048,5048,6310,6310
45,2699,2699,3181,3181,4131,4131,5163,5163,6453,6453
46,2759,2759,3252,3252,4222,4222,5277,5277,6596,6596
47,2819,2819,3323,3323,4314,4314,5392,5392,6740,6740
48,2879,2879,3394,3394,4406,4406,5507,5507,6883,6883
49,2939,2939,3464,3464,4498,4498,5622,5622,7027,7027
50,2999,2999,3535,3535,4590,4590,5737,5737,7171,7171
51,3059,3059,3606,3606,4681,4681,5851,5851,7313,7313
52,3119,3119,3676,3676,4773,4773,5966,5966,7457,7457
53,3179,3179,3747,3747,4865,4865,6081,6081,7601,7601
54,3239,3239,3818,3818,4957,4957,6196,6196,7745,7745
55,3299,3299,3889,3889,5049,5049,6311,6311,7888,7888
56,3359,3359,3959,3959,5140,5140,6425,6425,8031,8031
57,3419,3419,4030,4030,5232,5232,6540,6540,8175,8175
58,3479,3479,4101,4101,5324,5324,6655,6655,8318,8318
59,3539,3539,4171,4171,5416,5416,6770,6770,8462,8462
60,3599,3599,4242,4242,5508,5508,6885,6885,8606,8606
61,3659,3659,4313,4313,5599,5599,6998,6998,8747,8747
62,3719,3719,4384,4384,5691,5691,7113,7113,8891,8891
63,3779,3779,4454,4454,5783,5783,7228,7228,9035,9035
64,3839,3839,4525,4525,5875,5875,7343,7343,9178,9178
65,3899,3899,4596,4596,5967,5967,7458,7458,9322,9322
66,3959,3959,4666,4666,6058,6058,7572,7572,9465,9465
67,4019,4019,4737,4737,6150,6150,7687,7687,9608,9608
68,4079,4079,4808,4808,6242,6242,7802,7802,9752,9752
69,4139,4139,4878,4878,6334,6334,7917,7917,9896,9896
70,4199,4199,4949,4949,6426,6426,8032,8032,10040,10040
