level,2min,2max,3min,3max,4min,4max,5min,5max,6min,6max
1,1,2,1,2,2,3,2,3,2,3
2,1,2,1,2,2,3,2,3,2,3
3,2,3,2,4,3,5,3,6,3,7
4,2,5,3,5,4,6,5,7,6,8
5,3,6,4,7,5,8,6,9,7,12
6,4,7,5,8,6,10,7,12,8,14
7,5,8,6,10,7,11,8,13,9,15
8,5,10,6,11,8,13,9,15,12,18
9,6,11,7,13,9,15,10,17,13,21
10,7,12,8,14,10,17,12,20,14,24
11,8,13,9,15,11,18,13,21,15,25
12,8,15,10,17,12,20,14,23,17,29
13,9,16,11,18,13,22,15,25,18,31
14,10,17,12,20,14,23,16,26,20,32
15,11,18,12,21,15,25,17,29,21,36
16,11,20,13,23,16,27,18,31,23,38
17,12,21,14,24,17,28,20,32,24,40
18,13,22,15,26,18,30,21,35,25,43
19,14,23,16,27,19,32,22,37,26,46
20,14,25,17,29,20,34,23,39,29,48
21,15,26,18,30,21,35,24,40,30,49
22,16,27,19,31,22,37,25,43,31,53
23,17,28,19,33,23,39,26,45,32,55
24,17,30,20,34,24,40,28,46,35,58
25,18,31,21,36,25,42,29,48,36,60
26,19,32,22,37,26,44,30,51,37,63
27,20,33,23,39,27,46,31,53,38,66
28,20,35,24,40,28,47,32,54,40,67
29,21,36,25,42,29,49,33,56,41,70
30,22,37,25,43,30,51,35,59,43,72
31,23,39,26,45,31,52,36,60,44,75
32,23,40,27,46,32,54,37,62,46,77
33,24,41,28,47,33,56,38,64,47,81
34,25,42,29,49,34,57,39,66,48,82
35,26,44,30,50,35,59,40,68,49,84
36,26,45,31,52,36,61,41,70,52,87
37,27,46,31,53,37,63,43,72,53,90
38,28,47,32,55,38,64,44,74,54,92
39,29,49,33,56,39,66,45,76,55,94
40,29,50,34,58,40,68,46,78,58,98
41,30,51,35,59,41,69,47,79,59,99
42,31,52,36,60,42,71,48,82,60,101
43,32,54,37,62,43,73,49,84,61,105
44,32,55,38,63,44,74,51,85,63,106
45,33,56,38,65,45,76,52,87,64,109
46,34,57,39,66,46,78,53,90,66,112
47,35,59,40,68,47,80,54,92,67,115
48,35,60,41,69,48,81,55,93,69,116
49,36,61,42,71,49,83,56,95,70,118
50,37,62,43,72,50,85,58,98,71,122
51,38,64,44,74,51,86,59,99,72,123
52,38,65,44,75,52,88,60,101,75,127
53,39,66,45,76,53,90,61,104,76,129
54,40,67,46,78,54,92,62,106,77,132
55,41,69,47,79,55,93,63,107,78,133
56,41,70,48,81,56,95,64,109,81,136
57,42,71,49,82,58,97,67,112,83,139
58,43,73,50,84,59,98,68,113,84,140
59,44,74,51,85,60,100,69,115,86,144
60,44,75,51,87,61,102,70,117,87,146
61,45,76,52,88,62,103,71,118,89,147
62,46,78,53,90,63,105,72,121,90,151
63,47,79,54,91,64,107,74,123,92,153
64,47,80,55,92,65,109,75,125,93,156
65,48,81,56,94,66,110,76,127,94,158
66,49,83,57,95,67,112,77,129,95,161
67,50,84,57,97,68,114,78,131,98,163
68,50,85,58,98,69,115,79,132,99,164
69,51,86,59,100,70,117,81,135,100,168
70,52,88,60,101,71,119,82,137,101,170
