level,2min,2max,3min,3max,4min,4max,5min,5max,6min,6max
1,57,57,68,68,95,95,118,118,147,147
2,114,114,136,136,190,190,237,237,296,296
3,172,172,205,205,285,285,356,356,445,445
4,229,229,273,273,381,381,476,476,595,595
5,286,286,341,341,476,476,595,595,743,743
6,344,344,410,410,571,571,713,713,891,891
7,401,401,478,478,666,666,832,832,1040,1040
8,459,459,547,547,762,762,952,952,1190,1190
9,516,516,615,615,857,857,1071,1071,1338,1338
10,573,573,683,683,952,952,1190,1190,1487,1487
11,631,631,752,752,1048,1048,1310,1310,1637,1637
12,688,688,820,820,1143,1143,1428,1428,1785,1785
13,746,746,888,888,1238,1238,1547,1547,1933,1933
14,803,803,957,957,1333,1333,1666,1666,2082,2082
15,860,860,1025,1025,1429,1429,1786,1786,2232,2232
16,918,918,1094,1094,1524,1524,1905,1905,2381,2381
17,975,975,1162,1162,1619,1619,2023,2023,2528,2528
18,1033,1033,1230,1230,1715,1715,2143,2143,2678,2678
19,1090,1090,1299,1299,1810,1810,2262,2262,2827,2827
20,1147,1147,1367,1367,1905,1905,2381,2381,2976,2976
21,1205,1205,1435,1435,2000,2000,2500,2500,3125,3125
22,1262,1262,1504,1504,2096,2096,2620,2620,3275,3275
23,1320,1320,1572,1572,2191,2191,2738,2738,3422,3422
24,1377,1377,1641,1641,2286,2286,2857,2857,3571,3571
25,1434,1434,1709,1709,2381,2381,2976,2976,3720,3720
26,1492,1492,1777,1777,2477,2477,3096,3096,3870,3870
27,1549,1549,1846,1846,2572,2572,3215,3215,4018,4018
28,1607,1607,1914,1914,2667,2667,3333,3333,4166,4166
29,1664,1664,1982,1982,2763,2763,3453,3453,4316,4316
30,1721,1721,2051,2051,2858,2858,3572,3572,4465,4465
31,1779,1779,2119,2119,2953,2953,3691,3691,4613,4613
32,1836,1836,2188,2188,3048,3048,3810,3810,4762,4762
33,1894,1894,2256,2256,3144,3144,3930,3930,4912,4912
34,1951,1951,2324,2324,3239,3239,4048,4048,5060,5060
35,2008,2008,2393,2393,3334,3334,4167,4167,5208,5208
36,2066,2066,2461,2461,3430,3430,4287,4287,5358,5358
37,2123,2123,2529,2529,3525,3525,4406,4406,5507,5507
38,2181,2181,2598,2598,3620,3620,4525,4525,5656,5656
39,2238,2238,2666,2666,3715,3715,4643,4643,5803,5803
40,2295,2295,2735,2735,3811,3811,4763,4763,5953,5953
41,2353,2353,2803,2803,3906,3906,4882,4882,6102,6102
42,2410,2410,2871,2871,4001,4001,5001,5001,6251,6251
43,2468,2468,2940,2940,4097,4097,5121,5121,6401,6401
44,2525,2525,3008,3008,4192,4192,5240,5240,6550,6550
45,2582,2582,3077,3077,4287,4287,5358,5358,6697,6697
46,2640,2640,3145,3145,4382,4382,5477,5477,6846,6846
47,2697,2697,3213,3213,4478,4478,5597,5597,6996,6996
48,2754,2754,3282,3282,4573,4573,5716,5716,7145,7145
49,2812,2812,3350,3350,4668,4668,5835,5835,7293,7293
50,2869,2869,3418,3418,4763,4763,5953,5953,7441,7441
51,2927,2927,3487,3487,4859,4859,6073,6073,7591,7591
52,2984,2984,3555,3555,4954,4954,6192,6192,7740,7740
53,3041,3041,3624,3624,5049,5049,6311,6311,7888,7888
54,3099,3099,3692,3692,5145,5145,6431,6431,8038,8038
55,3156,3156,3760,3760,5240,5240,6550,6550,8187,8187
56,3214,3214,3829,3829,5335,5335,6668,6668,8335,8335
57,3271,3271,3897,3897,5430,5430,6787,6787,8483,8483
58,3328,3328,3965,3965,5526,5526,6907,6907,8633,8633
59,3386,3386,4034,4034,5621,5621,7026,7026,8782,8782
60,3443,3443,4102,4102,5716,5716,7145,7145,8931,8931
61,3501,3501,4171,4171,5812,5812,7265,7265,9081,9081
62,3558,3558,4239,4239,5907,5907,7383,7383,9228,9228
63,3615,3615,4307,4307,6002,6002,7502,7502,9377,9377
64,3673,3673,4376,4376,6097,6097,7621,7621,9526,9526
65,3730,3730,4444,4444,6193,6193,7741,7741,9676,9676
66,3788,3788,4512,4512,6288,6288,7860,7860,9825,9825
67,3845,3845,4581,4581,6383,6383,7978,7978,9972,9972
68,3902,3902,4649,4649,6479,6479,8098,8098,10122,10122
69,3960,3960,4718,4718,6574,6574,8217,8217,10271,10271
70,4017,4017,4786,4786,6669,6669,8336,8336,10420,10420
