PackageName	Auto	Flags	SetList
level_04	4	*	uncommon_Recruit_s,uncommon_Apprentice
level_05	5	*	uncommon_Recruit_s,uncommon_Apprentice
level_06	6	*	uncommon_Squire_s,uncommon_Disciple_s
level_07	7	*	uncommon_Squire_s,uncommon_Disciple_s
level_08	8	*	uncommon_Fortified,uncommon_Charmed
level_09	9	*	uncommon_Fortified,uncommon_Charmed
level_10	10	*	uncommon_Brambled,uncommon_Enchanted
level_11	11	*	uncommon_Brambled,uncommon_Enchanted
level_12	12	*	uncommon_Ardent,uncommon_Mystic
level_13	13	*	uncommon_Ardent,uncommon_Mystic
level_14	14	*	uncommon_Earthen,uncommon_Dusken,rare_Plains_Stalker,rare_Blightmist_
level_15	15	*	uncommon_Earthen,uncommon_Dusken,rare_Plains_Stalker,rare_Blightmist_
level_16	16	*	uncommon_Greymist,uncommon_Spidersilk,rare_Wild_Thorn,rare_Crypt_Creeper
level_17	17	*	uncommon_Greymist,uncommon_Spidersilk,rare_Wild_Thorn,rare_Crypt_Creeper
level_18	18	*	uncommon_Northlight,uncommon_Silversage,rare_Bandit_Slayer,rare_Shadowcaster
level_19	19	*	uncommon_Northlight,uncommon_Silversage,rare_Bandit_Slayer,rare_Shadowcaster
level_20	20	*	uncommon_Riversong,uncommon_Willowind,rare_Bonecrusher,rare_Verdant_Vine
level_21	21	*	uncommon_Riversong,uncommon_Willowind,rare_Bonecrusher,rare_Verdant_Vine
level_22	22	*	uncommon_Rosevine,uncommon_Starshine,rare_Duskstrider,rare_Etherwind
level_23	23	*	uncommon_Rosevine,uncommon_Starshine,rare_Duskstrider,rare_Etherwind
level_24	24	*	uncommon_Dewdrop,uncommon_Dewdrop,rare_Goliath_Stone,rare_Soulseer,epic_Dauntless,epic_Phantasmal
level_25	25	*	uncommon_Dewdrop,uncommon_Dewdrop,rare_Goliath_Stone,rare_Soulseer,epic_Dauntless,epic_Phantasmal
level_26	26	*	uncommon_Ironwood,uncommon_Lorekeeper,rare_Justiceborn,rare_Spirit_Woven,epic_Onyxheart,epic_Battlegrace
level_27	27	*	uncommon_Ironwood,uncommon_Lorekeeper,rare_Justiceborn,rare_Spirit_Woven,epic_Onyxheart,epic_Battlegrace
level_28	28	*	uncommon_Stonefist,uncommon_Earthweave,rare_Forsaken,rare_Burning_Grove,epic_Sparksmith,epic_Meteor_Shard
level_29	29	*	uncommon_Stonefist,uncommon_Earthweave,rare_Forsaken,rare_Burning_Grove,epic_Sparksmith,epic_Meteor_Shard
level_30	30	*	uncommon_Wolfsong,uncommon_Hollowind,rare_Grove_Guardian_s,rare_Gloomshadow,epic_Vigilant_Hunter,epic_Stormcaller
level_31	31	*	uncommon_Wolfsong,uncommon_Hollowind,rare_Grove_Guardian_s,rare_Gloomshadow,epic_Vigilant_Hunter,epic_Stormcaller
level_32	32	*	uncommon_Bloodlust,uncommon_Moonshadow,rare_Woodland_Tracker,rare_Essence_Walker,epic_Heaven_Shroud,epic_Tidewalker
level_33	33	*	uncommon_Bloodlust,uncommon_Moonshadow,rare_Woodland_Tracker,rare_Essence_Walker,epic_Heaven_Shroud,epic_Tidewalker
level_34	34	*	uncommon_Heirloom,uncommon_Goldenbirch,rare_Shadow_Stalker,rare_Aurora,epic_Rageborn,epic_Tranquillity
level_35	35	*	uncommon_Heirloom,uncommon_Goldenbirch,rare_Shadow_Stalker,rare_Aurora,epic_Rageborn,epic_Tranquillity
level_36	36	*	uncommon_Emberlaid,uncommon_Runelaid,rare_Cinder_Seared,rare_Illuminating,epic_Valiant_Soldier,epic_Pyre_Warden
level_37	37	*	uncommon_Emberlaid,uncommon_Runelaid,rare_Cinder_Seared,rare_Illuminating,epic_Valiant_Soldier,epic_Pyre_Warden
level_38	38	*	uncommon_Swiftfury,uncommon_Azureweave,rare_Honor_Guard,rare_Glyph_Scribed,epic_Lonewolf,epic_Faithkeeper
level_39	39	*	uncommon_Swiftfury,uncommon_Azureweave,rare_Honor_Guard,rare_Glyph_Scribed,epic_Lonewolf,epic_Faithkeeper
level_40	40	*	uncommon_Nightsong,uncommon_Flamewind,rare_Vengeance_Seeker,rare_Ambergem,epic_Blazing_Windrunner,epic_Prophet_Speaker
level_41	41	*	uncommon_Nightsong,uncommon_Flamewind,rare_Vengeance_Seeker,rare_Ambergem,epic_Blazing_Windrunner,epic_Prophet_Speaker
level_42	42	*	uncommon_Bloodfang,uncommon_Twilight,rare_Fireforged,rare_Djinn_Breath,epic_Resilient_Guardian,epic_Wrathbane
level_43	43	*	uncommon_Bloodfang,uncommon_Twilight,rare_Fireforged,rare_Djinn_Breath,epic_Resilient_Guardian,epic_Wrathbane
level_44	44	*	uncommon_Lurkwyrm,uncommon_Soulward,rare_Bloodfervor,rare_Sinstriker,epic_Death_Prowler,epic_Timeshift
level_45	45	*	uncommon_Lurkwyrm,uncommon_Soulward,rare_Bloodfervor,rare_Sinstriker,epic_Death_Prowler,epic_Timeshift
level_46	46	*	uncommon_Thunderbound,uncommon_Fatespeaker,rare_Chieftan_s,rare_Darksoul,epic_Fierce_General_s,epic_Pious_Apostle
level_47	47	*	uncommon_Thunderbound,uncommon_Fatespeaker,rare_Chieftan_s,rare_Darksoul,epic_Fierce_General_s,epic_Pious_Apostle
level_48	48	*	uncommon_Warmaster_s,uncommon_Spellchanter_s,rare_Glorybound,rare_Planeswalker,epic_Dragonbone,epic_Ghastly_Specter
level_49	49	*	uncommon_Warmaster_s,uncommon_Spellchanter_s,rare_Glorybound,rare_Planeswalker,epic_Dragonbone,epic_Ghastly_Specter
